Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Actively Hiring,Full Description,Hub Tags,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,School Method,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
TidyCMS,https://www.crunchbase.com/organization/tidycms-6b68,"Artificial Intelligence (AI), Information Technology, Software","Turku, Western Finland, Finland","Tidycms provides a content management system, mass production, website generation, artificial intelligence, and optimisation services.","1,374,733","European Union (EU), Nordic Countries, Scandinavia",20520,,,Active,2016-01-01,year,,,,,For Profit,https://tidycms.com/,https://twitter.com/TidyCMS,https://www.facebook.com/tidycms/,https://www.linkedin.com/showcase/tidycms/,,,,,"TidyCMS is a website mass production platform for directories, agencies, and freelancers. They automatically minimize and optimize code, styles, and assets for each device. They support file inclusions out of the box and configuring your own reusable building blocks.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",,,11-50,1,Seed,2012-01-01,,,,Seed,,,,Seed,,,,,,,Gorilla Ventures Oy,,1
UpPoints,https://www.crunchbase.com/organization/uppoints,"Analytics, Artificial Intelligence (AI), B2B, Big Data, Brand Marketing, Cloud Computing, Predictive Analytics, Software","Florianópolis, Santa Catarina, Brazil","UP POINTS, a high-tech company, delivers analysis solutions of products and campaign behavior by employing artificial neural networks.","1,376,141",Latin America,,,,Closed,2012-07-10,day,,none,2017-03-03,day,For Profit,http://uppoints.com/en/en_index.html,http://twitter.com/UP_POINTS,https://www.facebook.com/uppoints/,https://www.linkedin.com/company/up-points/,uppoints@uppoints.com,(55)-48-88308484,2,,"UP POINTS is a high-tech company that delivers analysis solutions of products and campaign behavior by employing artificial neural networks (ANNs). It offers monitoring and analysis tools to gather real-time data from POS systems and yield results for the industry and retail sector. UP POINTS is based in Florianópolis, Brazil.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Other, Sales and Marketing, Science and Engineering, Software",,,1-10,1,M&A,2014-08-15,,,,Seed,,,,Seed,,,,,,,TM3 Capital,1,1
Eduvee,https://www.crunchbase.com/organization/eduvee,"Artificial Intelligence (AI), EdTech, Education","London, England, United Kingdom",Eduvee is the brainchild of engineering graduates who want to bring education into the digital age.,"1,385,578","Europe, Middle East, and Africa (EMEA)",,,,Closed,2011-01-01,year,,none,,,For Profit,https://www.eduvee.com,http://twitter.com/Eduvee,http://www.facebook.com/eduvee,http://www.linkedin.com/company/eduvee,contact@eduvee.com,,,,"Eduvee is the brainchild of engineering graduates who want to bring education into the digital age. Exposed to all kinds of new technology every day, they want to make it accessible to students and teachers alike to help support what is being taught in class. The aim is to take the best practices of technology giants from around the world and bring them together to build a great online experience with solid educational content.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",3,"Chirag Patel, Stuart Coleman, Sunil Patel",11-50,1,Seed,2011-10-26,,,,Seed,,,,Seed,,,,,,,Rouven Dresselhaus,,1
Cepand,https://www.crunchbase.com/organization/cepand,"Assistive Technology, Information Technology, Machine Learning","San Francisco, California, United States",Cepand provides services and solutions in inventing and building technologies for companies.,"1,387,522","San Francisco Bay Area, West Coast, Western US",94107,,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,https://cepand.com,,,https://www.linkedin.com/company/cepand-inc-/about/,info@cepand.com,,,,"Cepand provides assistance for designers and creators towards innovative technologies. The company provides various services mostly leading to autonomous vehicles. Cepand provides AI/ML, autonomous vehicles, wireless technologies and wearable (VR/AR) blueprints for innovative strategies and roadmaps as their products. Cepand was founded in 2012 by Babak S. in San Francisco, California.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Software",1,Babak Soltanian,1-10,1,,2013-12-20,225000,USD,225000,Grant,,,,,,,,225000,USD,225000,National Science Foundation,1,1
DMO Systems,https://www.crunchbase.com/organization/dmo-systems,"Analytics, Big Data, Data Mining, Machine Learning",,DMO Systems specializes in developing system products for data mining and data analytics.,"1,388,713",,,,,Active,2012-01-01,year,,,2018-10-01,day,For Profit,https://dmo-sys.com,,,,,,,,"DMO Systems specializes in developing system products for data mining and data analytics. Its systems apply big data, machine learning, computer vision, and high-performance computing technologies to innovative products and solutions.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Software",,,,1,M&A,2012-01-01,,,,Pre-Seed,,,,Pre-Seed,,,,,,,U.S. Venture Partners,,1
InvenZone,https://www.crunchbase.com/organization/invenzone,"Artificial Intelligence (AI), Internet, Semantic Search, Social Media Management","Mumbai, Maharashtra, India","InvenZone, niche social platform and vertical search for researchers and high end academic data.","1,388,930",Asia-Pacific (APAC),400072,,,Closed,2013-08-26,day,,none,,,For Profit,http://www.invenzone.com/,http://twitter.com/InvenZone,http://www.facebook.com/invenzone,http://www.linkedin.com/company/invenzone,info@invenzone.com,,4,,"InvenZone is a niche networking platform for researchers and scientists focusing on solving the core pain points of researchers like discovering the right data, complexity of the research papers, tracking the research updates and connecting with the right community or people. The platform is backed by huge AI in solving the pain points. We have built contextual semantic search & we are also including conceptual semantic search to make the discovery a very simple task. With Sparq (Semantic Parsing And Reasoning of Query), finding the answers to complex questions is effortless. Doing research becomes a lot simpler & efficient with many other technologies and tools that InvenZone offers. With research papers heading the social conversations, finding the right connections is now easy.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Science and Engineering, Software",2,"Deekshith Marla, Vinay Kumar Sankarapu",1-10,1,Seed,2014-05-30,,,,Seed,,,,Seed,,,,,,,"Anand Ladsariya, Arihant Patni, Sanjay Mehta, VentureNursery, Amit Patni",1,12
Eagle Vision Systems,https://www.crunchbase.com/organization/eagle-vision-systems-dee1,"Artificial Intelligence (AI), Business Information Systems, Industrial Automation, Machine Learning","Kitchener, Ontario, Canada",Eagle Vision Systems is a company that uses AI-based recognition technology for curbside waste that fully operates the truck.,"1,394,000",Great Lakes,,,,Active,2014-01-01,day,,,,,For Profit,http://eaglevisionsystems.com/,,,https://www.linkedin.com/company/eagle-vision-systems,sales@eaglevisionsystems.com,1-519-574-2079,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Manufacturing, Science and Engineering, Software",,,1-10,1,Seed,2016-01-01,,,,Seed,,,,Seed,,,,,,,Accelerator Centre,1,1
eReplicant,https://www.crunchbase.com/organization/ereplicant,"Artificial Intelligence (AI), Customer Service","Barcelona, Catalonia, Spain",eReplicant is an online application that enables its users to create speaking avatars for websites.,"1,395,727","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,$1M to $10M,Active,2017-01-01,day,,,,,For Profit,http://www.ereplicant.com/prod,http://twitter.com/ereplicant,https://www.facebook.com/ereplicant,,,,,,e-Replicant lets SME's have access to AI technologies usually only available to big corporations. What is eReplicant®? •An easy-to-use service that allows you to create a speaking avatar for your website. •Use pre-built customizable avatars or send us a photo. •Record your own voice or use built-in Text-To-Speech in multiple languages •Choose an AI provider from our partners list and bring intelligence to your avatar. •Programming skills not required •API for advanced users Why use eReplicant®? •Be close to your customers •Cause impact •Use the auditive channel to communicate. •Communicate intelligently based on user actions. •Do your customers know the emotions behind your messages,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Other, Professional Services, Science and Engineering, Software",,,1-10,1,Seed,2011-05-29,170000,USD,170000,Seed,170000,USD,170000,Seed,170000,USD,170000,170000,USD,170000,,,
The GunBox,https://www.crunchbase.com/organization/the-gunbox,"Consumer Electronics, Information Technology, Intelligent Systems, Manufacturing","Lehi, Utah, United States","The Gun Box stores handguns safely and securely, and provides owners quick access when required.","1,397,281",Western US,84043,,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,http://thegunbox.com,http://twitter.com/thegunbox,http://www.facebook.com/pages/The-Gun-Box/169939436528458,,pr@thegunbox.com,801-331-8655,,,"Ryan Hyde has been inventing, designing, and manufacturing products since 1990. Whether pushing the G force limits on roller coasters, strengthening nuclear facility alarm systems, or normalizing hyper sensitive medical equipment, Ryan’s expertise and experience is vast and significant. Over the course of his career, Ryan and his team have developed worldwide relationships with part suppliers and manufacturing partners. With numerous trips around the world, Ryan has streamlined the overseas manufacturing process and perfected using a mix of local and off shore suppliers. He delivers multiple products to his clients with quality and consistency.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Information Technology, Manufacturing, Science and Engineering",1,Ryan Hyde,11-50,1,,2013-10-28,139000,USD,139000,Product Crowdfunding,,,,,,,,139000,USD,139000,,,
EastRiver,https://www.crunchbase.com/organization/eastriver,"Artificial Intelligence (AI), Cloud Computing, Internet","Dongguang, Guangdong, China","EastRiver is a cloud platform computing, intelligent product research and development, production, sales and system integration company.","1,411,381",Asia-Pacific (APAC),,,,Active,2004-04-01,day,,,,,For Profit,http://www.eastriver.com.cn/,,,,,400-8888-558,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",,,,1,Seed,2004-04-30,3000000,CNY,363727,Angel,3000000,CNY,363727,Angel,3000000,CNY,363727,3000000,CNY,363727,"Jiude Investment Fund Management, Shangrong Information Service",,2
Ipselex,https://www.crunchbase.com/organization/ipselex,"Artificial Intelligence (AI), Legal, Machine Learning, SaaS, Software","Sheung Wan, Hong Kong Island, Hong Kong",Ipselex is a web-based SaaS platform using artificial intelligence and Big Data to decimate the costs of patent applications.,"1,414,809",Asia-Pacific (APAC),,,,Closed,2013-01-01,year,,none,,,For Profit,http://www.ipselex.com,http://twitter.com/ipselex,,,contact@ipselex.com,,,,"Ipselex is a web-based software-as-a-service (SaaS) platform using artificial intelligence and Big Data to decimate the costs of patent applications and enable SMEs to meaningfully utilize patent information. Ipselex was founded in 2014 and is headquartered in Sheung Wan, Hongkong.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",2,"Frantisek Polach, Tom Grek",1-10,2,Seed,2014-07-01,41250,USD,41250,Seed,41250,USD,41250,Seed,54250,USD,54250,54250,USD,54250,Cyberport Hong Kong,,1
Pin Your Client,https://www.crunchbase.com/organization/pin-your-client,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Predictive Analytics, SaaS, Software","Gdansk, Pomorskie, Poland",Pin Your Client offers a range of predictive analytics software solutions for SaaS-based platforms.,"1,416,163","European Union (EU), Europe, Middle East, and Africa (EMEA)",80-386,,$1M to $10M,Closed,2014-01-01,year,,none,,,For Profit,http://pinyourclient.com,http://twitter.com/PinYourClient,http://www.facebook.com/PinYourClient,,kuba@pinyourclient.com,(604) 089-798_,,,"Pin Your Client offers a range of predictive analytics software solutions for SaaS-based platforms. It offers technology driven by artificial intelligence, big data, and machine learning to create engagement in real time.  The company’s tools include Smart PopUps, a solution to increase subscriptions and generate more leads; and Shopping Cart Abandonment, a solution that enables businesses to find out what customers abandon their shopping carts half way through the process.  Pin Your Client was founded in October 2014 and is based in Gdansk, Poland.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,"Adam Barzowski, Jakub Dabkowski",1-10,1,Seed,2014-07-19,30000,PLN,9801,Seed,30000,PLN,9801,Seed,30000,PLN,9801,30000,PLN,9801,"Starter Rocket, Gdansk Entrepreneurship Foundation",1,2
As It Is,https://www.crunchbase.com/organization/as-it-is,"Artificial Intelligence (AI), Communities, Information Technology, Semantic Web, Software, Web Hosting","Buffalo, New York, United States",As It Is is a property development and holding company focused on commercializing synthetic mind technologies.,"1,419,048","Great Lakes, East Coast, Northeastern US",14209,,$1M to $10M,Active,1999-01-01,year,,,,,For Profit,http://asitisinc.com,,,,info@asitisinc.com,,34,,"As It Is, Inc., is a private corporation formed in 1999 that has assembled a portfolio of technologies and related intellectual property.  These include the AutoGnome and the recently developed commercial-ready business venture designed to capitalize on more than 40 years of development.  This first  application is TrueThinker.com, a subscriber-based site that will automate and manage the creation and discovery, retrieval, and organization of internet-based information.  As It Is, Inc., has an office at the University at Buffalo, State University of New York, Baird Research and Technology Park, and additional labs and offices in Buffalo, Connecticut, Pennsylvania, Maine and Sao Paulo, Brazil.  As It Is, Inc.'s TrueThinker offers people or companies an artificial intelligence-based tool for ""knowledge networking"".  Its knowledge-management, community and organization features allow users to create, growing and share knowledge on any topic: - AI-based organization:  TrueThinker contains patented AI technology (the ""AutoGnome"") that categorizes the information users save—links, searches, documents, etc.  It does this after a ""training period"" in which it learns about what information the user saved and how s/he organized it. - Communities:  People or organizations can create private or public communities of people with the same social, business, research or other interests.  There, they can share ideas, resources and information, as well as documents and photos. - KnowledgeBank:  Users can store relevant and valued information in the private, secure and searchable TrueThinker KnowledgeBank.  They can save documents, images, links, bookmarks, databases and more, organizing the information in any way. Some ways to use TrueThinker: - Businesses can offer employees one place to access ""institutional wisdom"" and experience, data and research, as well as forums for people to collaborate on project development, training and other activities. - Enthusiasts or hobbyists can grow their knowledge on their favorite topic by sharing experiences, tips and techniques, news and other information with anyone who has the same interest. - Interest groups can organize, educate and share ideas locally or globally. Users can access TrueThinker from any computer.  In addition, TrueThinker is a membership service, so there's no advertising or privacy issues. A year-long membership to TrueThinker costs $30, but a free, seven-day trial is available now at www.truethinker.com.  TrueThinker also offers a referral program, in which members earn $10 every time they refer someone who purchases a TrueThinker membership using a special invitation code.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",2,"Jon Ray Hamann, William Dale Koehler",11-50,1,Seed,2008-02-25,3000000,USD,3000000,Angel,3000000,USD,3000000,Angel,3000000,USD,3000000,3000000,USD,3000000,,,
Semprae Laboratories,https://www.crunchbase.com/organization/semprae-laboratories,"Artificial Intelligence (AI), Biotechnology, Wellness","Salt Lake City, Utah, United States",Semprae Laboratories is a company founded by women and focused on women's sexuality.,"1,422,761",Western US,84117,,,Closed,2008-01-01,year,2013-12-30,day,2013-12-30,day,For Profit,http://www.semprae.com,,,https://www.linkedin.com/company/semprae-laboratories-inc.,,,,,"Semprae Laboratories, Inc. is a company founded by women and focused on women's sexuality",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",,,1-10,1,M&A,2009-01-09,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,"NJEDA, Big Red Ventures",1,2
Trooval,https://www.crunchbase.com/organization/trooval-com,"Advertising, Analytics, Artificial Intelligence (AI), Business Intelligence, Information Technology, Marketing, Predictive Analytics","Henderson, Nevada, United States",Trooval offered business intelligence and predictive analytics technology to enhance sales and marketing operations of timeshare developers.,"1,433,193",Western US,89052,,,Closed,2008-09-01,day,2012-07-01,day,,,For Profit,http://www.troovalinc.com,http://twitter.com/trooval,http://www.facebook.com/trooval,,sales@trooval.com,866-639-6557,,,"Trooval provides advanced business intelligence and predictive analytics technology to enhance sales and marketing operations to timeshare developers across North America. Trooval PreQual's is a first of its kind predictive analytic solution specific for the vacation ownership industry enabling the real time authentication, vetting, and segmentation of timeshare leads.",,,,,,,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",1,Jonathan Lowenhar,11-50,2,,2010-11-05,1600000,USD,1600000,Venture - Series Unknown,1600000,USD,1600000,Venture - Series Unknown,2899980,USD,2899980,2899980,USD,2899980,North Bridge Venture Partners & Growth Equity,1,1
ZowDow,https://www.crunchbase.com/organization/zowdow,"Information Technology, iOS, Mobile, Mobile Apps, Natural Language Processing, Social Media","Los Angeles, California, United States",ZOWDOW dramatically improves the engagement of any mobile text-input box.,"1,434,626","Greater Los Angeles Area, West Coast, Western US",,,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,http://www.zowdow.com/,https://www.twitter.com/zowdow,https://www.facebook.com/zowdowinc,https://www.linkedin.com/company/zowdow,,,,,"Zowdow empowers mobile users to get things done faster than ever before With every keystroke, Zowdow offers users highly relevant, thumb-swipeable suggestions from our growing roster of premier content partners. They process hundreds of millions of user requests around the world each month. Zowdow’s technology increases customer satisfaction and retention rates for our distribution partners, while also driving a substantial, new revenue stream. Zowdow works with mobile browsers, OTT keyboards, messaging apps, and really any text-input box – injecting contextually relevant, just-in-time suggestions that enable users to complete desired actions faster and better than ever before.",,,,,,,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Mobile, Platforms, Software",,,11-50,1,,2015-04-10,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,"Edith Yeung, IdeaLab Capital Partners",,2
ferret go,https://www.crunchbase.com/organization/ferret-go,"Language Learning, Machine Learning","Berlin, Berlin, Germany",ferret automatically evaluates the typed word and makes available information available.,"1,438,333","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,Less than $1M,Active,2012-01-01,year,,,,,For Profit,http://www.ferret-go.com/,https://twitter.com/ferret_go,,https://www.linkedin.com/company-beta/8665376/,Info@ferret-go.com,+4933383580069,,,"Natural Language Processing, Machine Learning, Automated Services - ferret automatically evaluates the typed word and makes available information available. For this, they train models, develop algorithms and let computers think themselves.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Software",4,"Alexander Siebert, Andreas Nickel, Benjamin Minack, Sven-Uwe Janietz",11-50,1,,2013-05-13,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,bmp Ventures,1,1
Hands Company,https://www.crunchbase.com/organization/hands-company,"Artificial Intelligence (AI), Hardware, Robotics, Security, Software","Santa Barbara, California, United States",The potential of robotics in daily life,"1,441,401","West Coast, Western US",,"Women Founded, Women Led",$1M to $10M,Closed,2012-01-20,day,,none,,,For Profit,http://www.handscompany.it,http://twitter.com/Hands_Company,http://www.facebook.com/pages/Hands-Company/264364186969636,http://www.linkedin.com/company/hands-company,info@handscompany.com,,1,,"Hands Company brings the potential of robotics in the everyday life. People are always looking for products able to make their home more comfortable and safer but current solutions aren't effective because they're static, expensive and limited.  Robotics is the only technology able to solve this problem. Hands Company made Adam, the first personal robot. An artificial intelligence capable of learning by you and your habits, day after day, in order to make your home more comfortable, safer and more accessible.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Privacy and Security, Science and Engineering, Software",3,"Antonio Cavaliere, Francesca Iannibelli, Gianmarco Cataldi",1-10,2,,2013-09-28,20000,USD,20000,Undisclosed,20000,USD,20000,Undisclosed,60000,USD,60000,60000,USD,60000,"Francesca Iannibelli, Antonio Cavaliere",,2
Cogtu,https://www.crunchbase.com/organization/cogtu,"Advertising, Artificial Intelligence (AI), CRM, Machine Learning, Marketing, Software","Beijing, Beijing, China",Innovative Ads service which embeds native ads on image. Dramatically improves Ads performance by deep learning empowered image recognition.,"1,443,367",Asia-Pacific (APAC),,,,Closed,2010-01-01,year,,none,,,For Profit,http://www.cogtu.com,,,https://at.linkedin.com/company/%E5%8C%97%E4%BA%AC%E7%9F%A5%E5%9B%BE%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E8%B4%A3%E4%BB%BB%E5%85%AC%E5%8F%B8,contact@tusimple.com,,1,,,,,,,,,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",,,11-50,1,,2015-07-27,,,,Non-equity Assistance,,,,,,,,,,,Microsoft Accelerator,,1
IRTOUCH SYSTEMS,https://www.crunchbase.com/organization/irtouch-systems,"Hardware, Information Technology, Intelligent Systems","Guangzhou, Guangdong, China",IRTOUCH SYSTEMS develops and sells infrared touch products.,"1,446,015",Asia-Pacific (APAC),,,$100M to $500M,Active,2013-08-26,day,,,,,For Profit,http://www.huaxintouch.cn,,,,sales@huaxintouch.com,020-89853386,,,"IRTOUCH SYSTEMS offers goods with infrared touch. Through industrial design, software development, hardware design, testing, and other services, it provides research and development capabilities in the sector. They are employed in a variety of industries, including education, meetings, finance, entertainment, sports, and medicine.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering",1,Xu Chu,101-250,1,Seed,2013-12-18,3000000,CNY,492784,Angel,3000000,CNY,492784,Angel,3000000,CNY,492784,3000000,CNY,492784,"Sansheng Intellectual Education Technology, Huiguan Xin Jishu Gufen, Seewo College, Shirong Investment Management",,4
BlueAnatomy,https://www.crunchbase.com/organization/blueanatomy,"Analytics, Artificial Intelligence (AI), Consumer Electronics, Health Care, Internet of Things","San Francisco, California, United States",BlueAnatomy builds products that allow consumer to improve their health and wellness within the home.,"1,460,359","San Francisco Bay Area, West Coast, Western US",,,,Active,2013-01-01,year,,,,,For Profit,http://www.blueanatomy.com,https://www.twitter.com/blueanatomygear,https://www.facebook.com/282876008467676,,hello@blueanatomy.com,,,,"BlueAnatomy builds products that allow consumer to improve their health and wellness within the home. We are building a line of devices, applications and the cloud data platform to allow individuals or families to easily track and monitor their body metrics, nutritional intake and home environment. The combination of data collected from our in home devices and 3rd party data sets allows for useful insights to be generated for both activity minded people and also people that need health tracking to be minimally invasive into their busy lives.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Health Care, Internet Services, Science and Engineering, Software",,,1-10,1,Seed,2013-07-01,,,,Seed,,,,Seed,,,,,,,,,
Marft,https://www.crunchbase.com/organization/marft,"Education, Machine Learning",,Marft creates embeddable machine learning models for application developers.,"1,470,918",,,,,Active,,,,,,,For Profit,http://www.marft.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Software",,,,1,Seed,2012-03-28,,,,Seed,,,,Seed,,,,,,,Y Combinator,,1
OpBandit,https://www.crunchbase.com/organization/opbandit,"Predictive Analytics, Publishing","Washington, District of Columbia, United States",Content optimization for publishers.,"1,472,770","Washington DC Metro Area, Southern US",,,,Closed,2012-05-01,day,2015-04-06,day,2015-04-06,day,For Profit,http://opbandit.com,http://twitter.com/opbanditapp,https://www.facebook.com/opbanditapp,,info@opbandit.com,,2,,"OpBandit minimizes the guess work in driving compelling content to readers, while empowering online publishers to map the bounds of their audience interest graph. Now surface and discover which variations deliver big payoffs for your brand, and make them count.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Media and Entertainment, Software",2,"Blaine Sheldon, Brian Muller",11-50,1,M&A,2014-10-14,,,,Angel,,,,Angel,,,,,,,"The New York Times, Graham Holdings, Amit Sharma",,3
SIIC-LongChuang,https://www.crunchbase.com/organization/siic-longchuang,"Artificial Intelligence (AI), Cloud Computing, Internet of Things, Smart Cities","Jingan, Shanghai, China",SIIC-LongChuang specializes in operating artificial intelligence technology for smart city applications.,"1,485,973",Asia-Pacific (APAC),,,,Active,1999-11-01,day,,,,,For Profit,http://longchuang.com,,,https://www.linkedin.com/company/%E4%B8%8A%E6%B5%B7%E4%B8%8A%E5%AE%9E%E9%BE%99%E5%88%9B%E6%99%BA%E8%83%BD%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/,,021-61806288,,,,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Real Estate, Science and Engineering, Software",1,Cao Wenlong,251-500,2,Early Stage Venture,2013-10-31,10000000,CNY,1637101,Series A,10000000,CNY,1637101,Series A,13000000,CNY,2117663,13000000,CNY,2117663,"Shanghai Science and Technology Investment, Shanghai AJ Group, Shanghai Dehui Venture Capital, Shanghai Meiyu Investment Development",1,4
Graphflow,https://www.crunchbase.com/organization/graphflow,"Analytics, Big Data, E-Commerce, Machine Learning, Predictive Analytics","Cape Town, NA - South Africa, South Africa",Predictive Analytics Suite for WooCommerce,"1,495,638","Europe, Middle East, and Africa (EMEA)",7195,,,Active,2013-09-01,day,,,,,For Profit,http://graphflow.com,http://twitter.com/graphflow,,,hello@graphflow.com,,1,,"Our company was ignited by the simple idea that a customer’s own preferences should drive their retail experience. Our ultimate goal is to create a seamless sense of ‘flow’ for your customer as they move from one set of relevant content to another. We obsess over creating the most streamlined, intuitive experience for each and every customer, providing them with only the most personalized recommendations. We are also passionate about small business and believe that even the smallest store should have access to the same technology the big guys are using. That’s why we created a tool that allows them to get the edge over the competition by plugging into the power of Machine Learning and Big Data technologies.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Software",2,"Nick Pentreath, Robert Elliott",1-10,1,Seed,2014-01-20,225000,USD,225000,Seed,225000,USD,225000,Seed,225000,USD,225000,225000,USD,225000,"Automattic, 88mph.ac",,2
Datcent,https://www.crunchbase.com/organization/datcent,"Artificial Intelligence (AI), Information Technology, Telecommunications","Beijing, Beijing, China",Datcent is a data application service and solution provider.,"1,498,313",Asia-Pacific (APAC),,,$1M to $10M,Active,2005-03-01,day,,,2016-08-10,day,For Profit,http://www.datcent.com/,,,https://www.linkedin.com/company/www.datcent.com/,sales@datcent.com,400-886-7711,,,"Datcent is a data application service and solution provider. They focus on fields such as business process intelligence, big data integration, data visualization, and so on, assisting in the implementation of cutting-edge internet information age concepts such as media integration, digital government affairs, and smart cities. Software robots, micro-service platforms, data visualization, and other products provide users in industries such as telecommunications, finance, energy, government, and transportation with innovative services.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",,,101-250,1,IPO,2013-10-01,20000000,CNY,3265149,Series A,20000000,CNY,3265149,Series A,20000000,CNY,3265149,20000000,CNY,3265149,NewMargin Ventures,1,1
