Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Phone Number,Contact Email,Number of Articles,Hub Tags,Full Description,Number of Sub-Orgs,Actively Hiring,Investment Stage,Investor Type,Number of Portfolio Organizations,Number of Investments,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Funding Type,Last Equity Funding Type,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
RailComm,https://www.crunchbase.com/organization/railcomm,"Predictive Analytics, Railroad, Software","Fairport, New York, United States",RailComm provides railroads with a software-based solution that is solely focused on train control and railroad management.,"244,144","East Coast, Northeastern US",14450,,$1M to $10M,Active,1999-01-01,year,2022-03-14,day,,,For Profit,http://railcomm.com,http://twitter.com/railcomm,http://www.facebook.com/RailComm,http://www.linkedin.com/company/railcomm,(585)377-3341,info@railcomm.com,3,,"RailComm is a global leader in the design and implementation of rail automation systems and software for the freight, transit, and industrial markets.  Their solutions range from yard automation solutions including automated switching, wireless remote control, dynamic yard mapping to mainline automation which includes CTC, dark territory control, and server-based software platforms.  For more than 14 years, RailComm has served the leading rail operators in North America, Latin America, and Africa.  They bring a collaborative focus to automation; working closely with their clients to implement solutions that deliver immediate ROI and that are expressly designed with the flexibility and scalability to grow with your operation.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software, Transportation",1,Joe Denny,51-100,2,M&A,2014-05-01,,,,,,,Series B,Series B,372499,USD,372499,,,,"Schooner Capital, NYSERDA",1,2
Kngine,https://www.crunchbase.com/organization/kngine,"Intelligent Systems, Machine Learning, Search Engine, Semantic Search","San Francisco, California, United States",Kngine is an intelligent engine that answers naturally posed factual questions and performs actions.,"244,487","San Francisco Bay Area, West Coast, Western US",,,$1M to $10M,Closed,2009-01-01,year,2018-03-06,day,2017-09-29,day,For Profit,http://kngine.com,http://twitter.com/knginesearch,http://www.facebook.com/KngineSearch,https://www.linkedin.com/company-beta/1841054/,650-422-9736,info@kngine.com,13,,"Kngine is an intelligent engine that answers naturally posed factual questions and performs actions. Kngine understands what users are actually seeking and provides them with meaningful results. Kngine is modeled after the 2 most predominate approaches in AI: Deep Learning and Knowledge-based. Kngine has built a technology that understands natural language. When Kngine crawls the web, it doesn't just index pages, it extract the factual information from every sentence to build/update our knowledge graph. Also Kngine utilize the power of deep learning, big-data and unsupervised learning to achieve state-of-the-art accuracy. To learn more about Kngine, see www.youtube.com/watch?v=OmwZ9bsgVTM.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",2,"Ashraf ElFadeel, Haytham ElFadeel",11-50,3,M&A,2014-09-09,,,,,,,Venture - Series Unknown,Venture - Series Unknown,775000,USD,775000,275000,USD,275000,"Samsung NEXT, Sawari Ventures, Vodafone Ventures",,3
Datatang,https://www.crunchbase.com/organization/datatang,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Beijing, Beijing, China",Datatang is a world's leading AI data service provider.,"244,439",Asia-Pacific (APAC),,,Less than $1M,Active,2011-01-01,year,,,,,For Profit,http://www.datatang.com,,,https://www.linkedin.com/company/%E6%95%B0%E6%8D%AE%E5%A0%82-%E5%8C%97%E4%BA%AC-%E7%A7%91%E6%8A%80%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/,+8613051623904,services@datatang.com,1,,Datatang is the world‘s leading AI data service provider. We have accumulated numerous training datasets and provide on-demand data collection and annotation services. Our data platform could greatly reduce  data  processing costs by integrating automatic annotation tools.,,,,Venture Capital,1,1,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,"Edison Ho, Hongwei Qi",501-1000,1,,2014-01-13,,,,,,,Non-equity Assistance,,,,,,,,Microsoft Accelerator,,1
Royal Wins,https://www.crunchbase.com/organization/royal-wins,"Artificial Intelligence (AI), Gambling, Social Media","Waterloo, South Australia, Australia",Royal Wins is an innovative digital games studio pioneering online real money social and casino games.,"244,498","Asia-Pacific (APAC), Australasia",2017,,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://www.royalwins.com,http://twitter.com/royal_wins,http://www.facebook.com/royalwins,http://www.linkedin.com/company/3363992,61 2 9267 6999,theroyals@royalwins.com,9,,"Royal Wins is a creative, dynamic and innovative digital games studio pioneering real money skill and chance social and casino games on the web, desktop and mobile devices. Royal Wins leverages proprietary 3D game engine development, artificial intelligence, natural language processing, smart data and mobile technologies to offer scalable, unique and entertaining real money games to radically disrupt the online gambling industry.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Gaming, Internet Services, Media and Entertainment, Science and Engineering, Software",2,"Lukie Ali, Robert Fong",11-50,2,Seed,2014-04-08,1000000,AUD,935155,1000000,AUD,935155,Seed,Seed,3000000,AUD,2720482,3000000,AUD,2720482,,,
TIDE PARKinG,https://www.crunchbase.com/organization/tide-parking,"Information Services, Intelligent Systems, Parking","Guangzhou, Guangdong, China",TIDE PARKinG is an intelligent parking lock developer and parking sharing platform.,"244,814",Asia-Pacific (APAC),,,,Active,2015-01-01,day,,,,,For Profit,http://www.tideparking.com/,,,,020-8550 3763,tideparking@tideparking.com,1,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Transportation",,,1-10,1,Seed,2015-05-01,3000000,CNY,485001,3000000,CNY,485001,Angel,Angel,3000000,CNY,485001,3000000,CNY,485001,Angel Plus China,,1
Spiderbook,https://www.crunchbase.com/organization/spiderbook,"Analytics, Big Data, Machine Learning, Natural Language Processing","San Francisco, California, United States","Spiderbook is focused on helping sales reps identify: who to sell to, how to reach them & what to say to quickly close the deal.","244,882","San Francisco Bay Area, West Coast, Western US",94103,,Less than $1M,Closed,2013-01-01,year,2016-04-24,day,2018-09-26,day,For Profit,http://spiderbook.com,http://twitter.com/spiderbookinc,http://www.facebook.com/spiderbookinc,http://www.linkedin.com/company/spiderbook,+65053309044,aman@spiderbook.com,1,,"Spiderbook uses state-of-the-art data science to discovery sales leads that convert to opportunities 10x more than any other source in the world. Spiderbook is the only connected business network of every company in the world, their suppliers, partners & customers including key decision makers and executives behind those deals. Spiderbook crawls billions of documents and uses Natural Language Processing to build its network. Then it utilizes graph algorithms and machine learning for lead generation, sales prospecting, and social selling.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software",2,"Alan Fletcher, Aman Naimat",1-10,1,M&A,2013-11-01,1700000,USD,1700000,1700000,USD,1700000,Seed,Seed,1700000,USD,1700000,1700000,USD,1700000,,,
ETEAM,https://www.crunchbase.com/organization/eteam,"Consulting, Cyber Security, Information Technology, Machine Learning, Mobile Apps, Outsourcing, SaaS, Software, Web Apps","Irvine, California, United States",ETEAM is an innovative digital product development agency.,"245,259","Greater Los Angeles Area, West Coast, Western US",92617,,$10M to $50M,Active,2016-05-01,day,,,,,For Profit,https://www.eteam.io/,https://twitter.com/eteamio,https://www.facebook.com/eteam.io,https://www.linkedin.com/company/eteam-inc.,(213) 839-8499,hello@eteam.io,,,"ETEAM is an innovative digital product development agency, with wide expertise in software development, data science & engineering, generative AI, machine learning, cyber security, and DevOps.",,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Information Technology, Mobile, Privacy and Security, Professional Services, Software",3,"Alexander Menzheres, Thomas Cornelius, Victor Grytsai",51-100,1,Seed,2016-01-01,,,,,,,Seed,Seed,,,,,,,Brainware Ventures LLC,,1
FitCircle,https://www.crunchbase.com/organization/fitcircle,"Artificial Intelligence (AI), Fitness, Health Care, Mobile Apps","Mumbai, Maharashtra, India","FitCircle is an AI-powered fitness app that offers personalized diet plans, and workouts.","245,561",Asia-Pacific (APAC),,,$1M to $10M,Active,2014-01-01,year,,,,,For Profit,http://www.fitcircle.in,https://www.twitter.com/fitcircleapp,https://www.facebook.com/fitcircle.in,https://www.linkedin.com/company/fitcircle-zywie-ventures-,+919920612233,stayfit@fitcircle.in,9,,"At FitCircle, our goal is to simplify healthy living. We are driving a paradigm shift in healthcare from curative to preventive. We use technology and innovation to bring healthy behavioral changes in human life.  Our nutrition brand OZiva - offers a range of Clean Personalized nutrition products backed by modern science and the rich cultural heritage of Ayurveda. We are seamlessly working to develop the community & products that would help you lead an active life. So, all we want you to do - Just stay on the bus, let us drive it and enjoy the ride!",,,,,,,,,,,,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Health Care, Mobile, Science and Engineering, Software, Sports",2,"Aarti Gill, Mihir Gadani",11-50,1,Seed,2015-12-01,,,,,,,Seed,Seed,,,,,,,"Ravi Mantha, Beerud Sheth",,2
Wise.io,https://www.crunchbase.com/organization/wise-io,"Analytics, Big Data, Enterprise Software, Machine Learning, Software","Berkeley, California, United States",Wise.io is a machine learning application that helps businesses find patterns and trends in their vast data stores.,"245,499","San Francisco Bay Area, West Coast, Western US",94704,,$1M to $10M,Active,2012-05-21,day,2016-11-15,day,,,For Profit,http://wise.io,http://twitter.com/wiseio,http://www.facebook.com/wisedotio,http://www.linkedin.com/company/wise-io,,contact@wise.io,29,,"Wise.io delivers better customer experience through machine learning. Leveraging cutting-edge data science and built on a powerful machine learning engine that learns from past patterns to predict future behavior, Wise.io applications help business users regain control over complex decision making in the face of ever-growing and increasingly diverse data. By maximizing existing investments and augmenting human decision making with predictive analytics, Wise.io enables enterprises to efficiently scale customer-facing operations while increasing the level of customer care. The company integrates its proprietary high-performance machine learning system with a customer’s SaaS-based business applications to automatically infer prior patterns in order to predict, optimize, and influence future behavior.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Software",5,"Damian Eads, Dan Starr, Henrik Brink, Joseph Richards, Joshua Bloom",11-50,3,M&A,2014-03-17,2586554,USD,2586554,2586554,USD,2586554,Series A,Series A,2614554,USD,2614554,2614554,USD,2614554,"Alchemist Accelerator, Voyager Capital, Ravi Belani, Citrix Startup Accelerator",2,4
Clone,https://www.crunchbase.com/organization/clubvision,"Digital Entertainment, Internet, Machine Learning, Nightclubs, Video Streaming","Saint Louis, Missouri, United States",Robotic video systems for live WebTV.,"245,608",Midwestern US,63101,,Less than $1M,Closed,2011-05-01,month,,,2017-01-20,day,For Profit,http://www.clone.tv/,http://twitter.com/ClubvisionTv,http://www.facebook.com/ClubVision.TV,https://www.linkedin.com/company/clubvision,,info@clubvision.tv,5,,"Clone built a robotic video system for venues to produce live WebTV entertainment at low cost. Proprietary software algorithms make robotic cameras move like humans, and replicate the entire workflow of a six-man crew. An operator can produce a precise HD show, selecting shots within 400 milliseconds of real-time, entirely remote in a web browser. The hardware comes in a 3’ x 3’ rack, and cameras virtually hidden from view.  - Top 4 startups Digital Entertainment World Expo (L.A.) 2015 - Winner EDMBiz (Las Vegas) 2015 - Set to debut at Top 100 nightclub in Miami in Dec, 2015.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Content and Publishing, Data and Analytics, Events, Internet Services, Media and Entertainment, Software, Video",3,"David Maestas, Doug Wulff, Michael Bishop",1-10,3,Seed,2015-01-01,125000,USD,125000,125000,USD,125000,Angel,Angel,230000,USD,230000,230000,USD,230000,,,
Maxerience Electrosystems,https://www.crunchbase.com/organization/maxerience-electrosystems,"Embedded Systems, Machine Learning, Semiconductor","Ashburn, Virginia, United States",Maxerience Electrosystems builds embedded visual intelligence systems for object identification in dynamic environments.,"246,220","Washington DC Metro Area, East Coast, Southern US",20148,,$1M to $10M,Active,2015-01-01,day,2019-01-01,day,,,For Profit,http://www.maxerience.com/,,https://www.facebook.com/maxerience,https://www.linkedin.com/company/maxerience,+19174590915,contact@maxerience.com,,,The founding team at Maxerience comes with a wide and rich experience in the areas of - Machine Learning - Computer Vision - Parallel Computing - Embedded Systems - Signal Processing - IC and Electronic system design The confluence of such diverse backgrounds and expertise is the backbone of Maxerience.,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",1,Karan Bakshi,11-50,1,M&A,2015-09-24,,,,,,,Seed,Seed,,,,,,,Alchemist Accelerator,,1
Timeful,https://www.crunchbase.com/organization/timeful,"Analytics, Artificial Intelligence (AI), Database, Machine Learning, Task Management","Mountain View, California, United States",Timeful is a technology company dedicated to reinventing the way that people manage their most precious resource: time.,"246,757","San Francisco Bay Area, Silicon Valley, West Coast",,,,Closed,2012-01-01,year,2015-05-04,day,2015-12-15,day,For Profit,http://www.timeful.com,http://twitter.com/TimefulApp,http://www.facebook.com/timefulapp,,6504500615,,58,,"Timeful is a technology company dedicated to reinventing the way that people manage their most precious resource: time.  Through the collaboration of some of the leading minds in artificial intelligence, big data, behavioral science and product design, Timeful is helping people take back their lives by making time for what really matters.  The company takes an algorithmic approach to time management, and leverages big data and behavioral science to best determine how people can maximize their lives.  The Mountain View-based company is co-founded by Jacob Bank, Stanford PhD candidate who’s applying data mining, machine learning and optimization algorithms to time management; Yoav Shoham, Silicon Valley veteran whose past companies include Katango and TradingDynamics; and Dan Ariely, New York Times best-selling author and one of theleading experts in human fallibility and procrastination.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",3,"Dan Ariely, Jacob Bank, Yoav Shoham",11-50,1,M&A,2014-05-16,7000000,USD,7000000,7000000,USD,7000000,Series A,Series A,7000000,USD,7000000,7000000,USD,7000000,"Khosla Ventures, DCVC, Kleiner Perkins, Greylock, Pitango VC",1,6
Rho AI,https://www.crunchbase.com/organization/rho-ai,"Artificial Intelligence (AI), Computer, Machine Learning, Software","Charlottesville, Virginia, United States",Rho AI builds customized data science products and services to solve real-world problems.,"246,744","East Coast, Southern US",22901,,,Closed,2012-07-27,day,,,2023-02-16,day,For Profit,https://rho.ai,https://twitter.com/rho_dot_ai,https://www.facebook.com/rhodotai/,https://www.linkedin.com/company/rhoai/,,info@rho.ai,2,,"Rho AI is a highly skilled, fully distributed team that builds customized data science products and provides services to solve real-world problems. Founded in 2012 by a team of entrepreneurs, data scientists and PhDs focused on predictive modeling in professional motorsports, Rho AI now serves a wide range of partners who lead across a variety of channels and industries. ",,,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",8,"Carmichael Roberts, Daryl Morey, Erik Allen, Gilman Callsen, Joel Moxley, Josh Browne, Kevin Schaff, Kyle Jensen",11-50,1,Seed,2012-07-27,,,,,,,Seed,Seed,,,,,,,,,
Syft,https://www.crunchbase.com/organization/syft-7dc0,"Analytics, Artificial Intelligence (AI), Data Management, Health Care, Hospital, Software, Supply Chain Management, Warehousing","Tampa, Florida, United States",Syft is a AI-enhanced inventory control and healthcare supply chain.,"247,061","Tampa Bay Area, East Coast, Southern US",33610,,$10M to $50M,Active,1999-01-01,year,2022-02-28,day,,,For Profit,https://www.syftco.com/,https://twitter.com/SyftCorp,https://www.facebook.com/SyftCorp/,https://www.linkedin.com/company/syft-corp/,+1 888-647-4621,info@SyftCo.com,,,"Syft provides the data and insight health systems need to reduce costs, improve efficiency, and support care transformation.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software, Transportation",,,251-500,1,M&A,2009-04-07,,,,,,,Private Equity,Private Equity,,,,,,,"Eastward Capital Partners, Enhanced Healthcare Partners",,2
WhiteSmoke,https://www.crunchbase.com/organization/whitesmoke,"Artificial Intelligence (AI), Education, Enterprise Software, Language Learning, Machine Learning, Software, Text Analytics","Wilmington, Delaware, United States",WhiteSmoke employs natural language processing and AI technologies to develop products that enhance English writing.,"247,352","Greater Philadelphia Area, East Coast, Southern US",19809,Women Founded,Less than $1M,Active,2002-01-01,year,1992-10-08,day,,,For Profit,http://www.whitesmoke.com,http://twitter.com/whitesmokeapp,http://www.facebook.com/whitesmokesoftware,https://www.linkedin.com/company/whitesmoke,1(888)741-7193,support@whitesmoke.com,30,,"WhiteSmoke is a world-leading company in the field of English writing technologies, with a focus on products that enhance and correct grammar, spelling, and writing style. WhiteSmoke products are based on natural language processing (NLP) technology, featuring unique and patented artificial intelligence algorithms for text analysis. WhiteSmoke makes its technologies available through other channels, such as a browser-based text editor, and specialized OEM versions designed for integration with 3rd party service providers. WhiteSmoke was established in 2002 to answer an emerging need – quality written communications in a time of increasing global interactions brought on by the growth of the Internet. Since that time, millions of users world over have relied on WhiteSmoke products to ensure their writing is clear and professional.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Education, Science and Engineering, Software",1,Hilla Ovil-Brenner,11-50,1,IPO,2011-02-09,600000,USD,600000,,,,Post-IPO Debt,,600000,USD,600000,,,,,,
Consumer Brands,https://www.crunchbase.com/organization/consumer-brands,"Brand Marketing, Machine Learning, Web Hosting","Newport Beach, California, United States","Consumer Brands is a platform development, workflow automation, machine learning, and premium content enterprise.","247,986","Greater Los Angeles Area, West Coast, Western US",92656,,Less than $1M,Active,2011-01-01,year,,,,,For Profit,http://www.consumerbrands.com,http://twitter.com/ConsumerBrands1,http://www.facebook.com/pages/Consumer-Brands/470786192934583,http://www.linkedin.com/company/consumer-brands,949-356-1300,,101,,"Consumer Brands is a platform development, workflow automation, machine learning, and premium content enterprise. Focused on consumer and healthcare information, products, and services, its brand properties have been engineered by a technical and creative team of scientists, doctors, journalists, artist, programmers, and developers. Its approach to domain acquisition and development places a higher value on quality than quantity. It deeply analyzes their domain acquisition targets and then strives to develop them in a way that creates real value for the site visitors. Its experience has been that at the current stage of evolution of the web, a few well designed and properly marketed sites generate a significantly better return than a large portfolio of less developed domains. Consumer Brands finds success through adherence to its core values and strives to promote a culture of respect, learning, and creativity.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Sales and Marketing, Software",2,"Michael Gleason, Tyler Hanway",11-50,3,Early Stage Venture,2014-06-20,1424935,USD,1424935,1424935,USD,1424935,Series B,Series B,3024935,USD,3024935,3024935,USD,3024935,"Manatt Venture Fund, Black Diamond Ventures",1,2
NVISO,https://www.crunchbase.com/organization/nviso,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Lausanne, Vaud, Switzerland",NVISO provides artificial intelligence solutions (AI) for organizations to deploy applications that understand human behavior.,"248,998","Europe, Middle East, and Africa (EMEA)",CH-1015,,,Active,2009-01-01,year,,,,,For Profit,https://www.nviso.ai/,http://twitter.com/nviso,http://www.facebook.com/nViso,http://www.linkedin.com/company/nviso,41 21 693 85 11,,1,,"nViso develops software solutions for detecting human emotions based on an analysis of facial expressions and eye movements. It develops technologies for interpreting emotions for the marketing industry. The company was incorporated in 2005 and is based in Lausanne, Switzerland. It provides the most scalable, robust, and accurate artificial intelligence solutions to measure instantaneous emotional reactions of consumers in online and retail environments. They provide real-time and highly actionable information for Market Research, Brands, Creative Agencies and R&D Product Development.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Timothy Llewellynn,11-50,3,,2012-09-28,700000,CHF,745402,,,,Grant,,760000,CHF,799169,,,,"Venture Kick, Foundation for Technological Innovation (FIT), Swiss Federal Commission for Innovation and Technology",3,3
Smart Drone,https://www.crunchbase.com/organization/smart-drone-3,"Aerospace, Artificial Intelligence (AI), Drones","Mexico City, Distrito Federal, Mexico",We develop drones that can broadcast video and control troght internet,"249,091",Latin America,06700,,$1M to $10M,Closed,2013-08-01,day,,,,none,For Profit,http://www.smartdrone.com.mx,http://twitter.com/smartdrone1,http://www.facebook.com/smartdronemexico,,,qhuevik@smartdrone.com.mx,6,,"We design and development of Drones with artificial intelligence, able to think and act by themselves. It is possible to coordinate Drones to perform joint tasks. Furthermore they are ready to offer our Winged Link Service. Winged Link its a plattaform that can stream video and control trought internet.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Science and Engineering, Software",1,Jonathan Teles,1-10,2,,2015-04-01,137000,MXN,9032,,,,Grant,,29256,USD,29256,,,,Wayra,,1
Kvantum,https://www.crunchbase.com/organization/kvantum,"Advertising, Analytics, Artificial Intelligence (AI), Big Data, Digital Media, Machine Learning, Marketing, SaaS, Social Media, Software","Plano, Texas, United States","Kvantum is a marketing performance and intelligence company, building technology that changes the way brands measure the marketing.","249,515","Dallas/Fort Worth Metroplex, Southern US",75093,"Women Founded, Women Led",Less than $1M,Active,2012-01-01,year,,,,,For Profit,http://www.kvantum.ai,http://twitter.com/kvantumleap,http://www.facebook.com/realtime.marketing.optimization,http://www.linkedin.com/company/kvantum-inc-,18445826886,info@kvantum.ai,66,,"Kvantum is a marketing performance & intelligence company, building technology that fundamentally changes the way brands measure the marketing impact on sales. Kvantum has combined machine learning and econometric modeling into its proprietary Marketing Performance & Intelligence Platform that can measure the short-term and long-term incremental effect of marketing with minimum possible data points. The company is headquartered in Plano, Texas and works with Fortune 100 B2C/D2C/B2B2C brands across US, Canada, Australia, Europe, and Asia. Over the past years, we have helped clients increase their digital ROI from 30% to 60%, while maintaining spend levels.",1,,,,,,,,,,,,,"Advertising, Artificial Intelligence (AI), Data and Analytics, Internet Services, Media and Entertainment, Sales and Marketing, Science and Engineering, Software",2,"Harpreet Singh, Shilpi Sharma",11-50,1,Seed,2013-05-04,1000000,USD,1000000,1000000,USD,1000000,Seed,Seed,1000000,USD,1000000,1000000,USD,1000000,,,
Aria Networks,https://www.crunchbase.com/organization/aria-networks,"Analytics, Artificial Intelligence (AI), Machine Learning, Software, Telecommunications","Bath, Bath and North East Somerset, United Kingdom",Aria is a pioneer in using AI to optimize and automate telecom networks; prescriptive analytics and design automation for telecom and OTT,"250,469","Europe, Middle East, and Africa (EMEA)",BA2 3BH,,Less than $1M,Active,2005-10-25,day,,,,,For Profit,http://www.aria-networks.com,http://twitter.com/AriaNetworks,,http://www.linkedin.com/company/288417,+44 1249 454101 ,info@aria-networks.com,17,,"Aria Networks offers a predictive real-time Capacity Optimisation and Management solution through their product called iVNT. The product removes the guesswork; allowing service providers to identify capacity utilisation (across network, compute and storage assets), accurately model demand, and recognise – for the first time – the true cost of service delivery. In the planning phase predictive analytics enables investment in the right combination of infrastructure to manage current and future growth. In live operation, real time capacity management and forecasting gives providers the insight to problem solve, optimise and improve. Aria customers include major US and European telecoms companies, cloud and datacentre operators, and some of the largest over-the-top social network providers.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",2,"Jay Perrett, Tony Fallows",11-50,3,,2013-11-10,4000000,USD,4000000,4000000,USD,4000000,Venture - Series Unknown,Venture - Series Unknown,9050000,USD,9050000,9050000,USD,9050000,Capital for Enterprise,1,1
Encode,https://www.crunchbase.com/organization/encode,"Analytics, Cyber Security, Predictive Analytics, Security, Software","London, England, United Kingdom",Enorasys Security Analytics enables continuous cyber situational awareness to address advanced persistent threats (APTs).,"250,557","Europe, Middle East, and Africa (EMEA)",E14 5LB,,,Active,2001-04-21,day,,,,,For Profit,http://www.encodegroup.com,https://twitter.com/ENCODEGROUP,https://www.facebook.com/encodegroup,https://www.linkedin.com/company/encode-s.a.,+4402070388305,gate@encodegroup.com,32,,"Encode specializes on Targeted Cyber Threats and stands out with its proprietary technology, expertise on cyber security and multiyear experience across vertical industries, coupled with on-going, innovative security research and its highly qualified and talented people. * Cutting-edge Security Analytics & Response Orchestration platform Built by experts in data analytics, cyber offensive techniques and cyber security operations, Enorasys platform effectively automates and streamlines the “proactive threat hunting” and incident handling processes, providing Security Operations Center (SOC) and Incident Response teams with the means to hunt, track down and surgically respond to hard-to-spot malicious activity as never before. * Unprecedented Insight on Advanced Cyber Threats Gained through hundreds of active APT simulation tests and more than 10 years of experience in responding to and assisting our clients in mitigating advanced cyber threats, our team of experts has accumulated an insight on such threats, second to none. Moreover, Encode Threat Labs enable us to stay ahead of the threat landscape, through ongoing research and development on new attack and control evasion techniques. * Unique combination of Offensive and Defensive Expertise A key factor of our solutions is that they all encapsulate our extensive offensive and defensive expertise; knowledge build through thousands of successful engagements, ranging Extrusion Testing™ (APT Simulation Testing) and digital forensic engagements to end-to-end Cyber Defense architectures and SOC implementations for major organizations around the world. * Next Generation Managed Security Services Our 24x7 Cyber Operations & Intelligence services “even up the score” and by fusing together cutting-edge technology with best of breed cyber security operations and talent ensures that our clients will never get caught unprepared while minimizing their security management investment.",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Privacy and Security, Software",2,"Harry Eliopoulos, Panos Dimitriou",51-100,2,Seed,2013-09-01,6000000,EUR,7926013,1300000,EUR,1170975,Debt Financing,Seed,7300000,EUR,9096988,1300000,EUR,1170975,,,
Exagens,https://www.crunchbase.com/organization/exagens,"Artificial Intelligence (AI), FinTech, Intelligent Systems, Machine Learning, Predictive Analytics, Software","Montréal, Quebec, Canada","Autonomous AI digital banking assistant with proven results increasing engagement, conversion rates & retention while lowering support costs","250,697",,H2Y 1Z5,,Less than $1M,Active,2014-01-01,year,,,,,For Profit,http://www.exagens.com/,https://twitter.com/exagens,https://www.facebook.com/pages/Exagens/399193036808586?ref=hl,https://www.linkedin.com/company/exagens,438-387-4107 xt. 203,exagens@exagens.com,2,,"Located in Montreal Canada, a world-leader in Artificial Intelligence & machine learning, the exagens team of industry veterans, economists, psychologists and technologists has cracked the code to dramatically increasing engagement and conversions through digital channels.  The exagens Personal Banker is the industry's only successful digital banking assistant focused on increasing conversions and cross-selling for the mutual benefit of banks and their retail and SMB clients. For example, at Desjardins, the largest credit union in North America, new high-interest savings accounts openings increased 11x and deposits 13x compared to the same 3-month period a year earlier without the exagens Personal Banker.  In less than a year, over 40,000 new retail and business accounts have been opened with more than $300m deposited, with a 98% satisfaction rating, as a result of the autonomous exagens white-label assistant. Capable of providing support, offering tips and completing transactions, the primary mission is as a digital banker which empathetically and automatically engages retail and business clients over time and circumstance, to purchase additional products & services to meet their needs.  The exagens white-labeled Personal Banker can be integrated seamlessly and contextually into a bank or credit unions existing digital channels in weeks, with measurable financial results starting on day one.   ",,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",2,"Frederic Ah-Yave, Jorge Campos",11-50,1,Seed,2015-08-04,,,,,,,Pre-Seed,Pre-Seed,,,,,,,,,
