Organization Name,Organization Name URL,Full Description,Industries,Headquarters Location,Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Exit Date,Exit Date Precision,Trademarks Registered,Monthly Visits,Active Tech Count,Total Products Active,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Downloads Last 30 Days,Most Popular Patent Class,Most Popular Trademark Class,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Number of Funding Rounds,Last Funding Date,Headquarters Regions,Estimated Revenue Range,Top 5 Investors,Most Recent Valuation Range,Date of Most Recent Valuation,Patents Granted,IPO Status,Postal Code,Founded Date,Founded Date Precision,Company Type,Website,LinkedIn,Number of Exits,Number of Exits (IPO),Industry Groups,Number of Founders,Founders,Number of Employees,Funding Status,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,CB Rank (Organization),CB Rank (Company)
Gain.pro,https://www.crunchbase.com/organization/gain-pro,"Gain.pro is on a mission to serve everyone across the globe who wants to find, understand and track sizeable companies.","Artificial Intelligence (AI), B2B, Financial Services, FinTech","Amsterdam, Noord-Holland, The Netherlands","Gain pro is a fintech platform that specializes in private equity, advanced analytics, artificial intelligence, and investment banking.",9610000,EUR,9974115,,,,311,31,16,9610000,EUR,9974115,168,,,9610000,EUR,9974115,1,2022-05-12,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,,,,,Private,,2018-01-01,day,For Profit,https://gain.pro,https://www.linkedin.com/company/gain-pro/,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Other, Science and Engineering, Software",2,"Frister Haveman, Nicola Ebmeyer",101-250,,Undisclosed,9610000,EUR,9974115,Undisclosed,,,,,"9,653","9,641"
Electric Sheep Robotics,https://www.crunchbase.com/organization/electric-sheep-robotics,"Electric Sheep is a technology company that is developing AI for the physical, outdoor world. They are building robots with an AI brain, doing for the physical world what ChatGPT did for language. Their approach combines Sim2Real techniques and the data + reinforcement learning from their deployed fleet of robots within their large-scale landscape services business. ESR acquires and transforms traditional, commercial landscape services businesses through the use of AI and robotics. They deliver cutting-edge tech and workflows while staying grounded with an in-field perspective, building products that speak directly to the needs of landscaping professionals. With robots performing mundane, repetitive tasks, the human workforce will be freed up to focus on more creative tasks such as landscaping or environmental health. In running their own service business, ESR has created a sandbox for reinforcement learning at scale, for their deployed fleet. This is their moat and right to win.","Artificial Intelligence (AI), Building Maintenance, Industrial, Industrial Automation, Landscaping, Machinery Manufacturing, Manufacturing, Robotics","San Francisco, California, United States",Electric Sheep is vertically integrated robotics company that's transforming the $1Trillion outdoor services industry,25500000,USD,25500000,,,,"4,393",5,,25500000,USD,25500000,,,,21500000,USD,21500000,4,2022-01-25,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Asymmetry Ventures, Signia Venture Partners, Tiger Global Management, Sahil Lavingia, Foundation Capital",,,,Private,94131,2019-01-01,year,For Profit,https://sheeprobotics.ai/,https://www.linkedin.com/company/electric-sheep-robotics/,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Real Estate, Science and Engineering, Software",3,"Gunjit Singh, Jarrett Herold, Naganand Murty",11-50,Early Stage Venture,Series A,21500000,USD,21500000,Series A,2,10,2,Made Acquisitions,"9,671","9,659"
Powerful Medical,https://www.crunchbase.com/organization/powerful-medical,"We believe that the transition from purely human-made clinical decisions to decisions augmented by AI is one of the most important shifts in modern medicine and constitutes a turning point that needs to happen now. We’re cooperating with several leading healthcare providers within the EU and are backed by multiple European early-stage VCs. Our AI-powered clinical assistant aids doctors with the diagnosis and personalised treatment of cardiovascular diseases. It’s currently being used by healthcare professionals in the DACH region, UK, Belgium, Italy, Israel and Slovakia. Our multimodality solution is not constrained to physicians, we also cater to health insurance companies, telemedicine providers and medical device manufacturers. We’re also working on several breakthrough studies, such as individualised mortality & treatment effectivity prediction and improved management of acute coronary syndrome patients using AI with our research partners, which include the OLV Cardiocentrum Aalst, Rabin Medical Center Tel Aviv and the Dept. of Medical Sciences of the University of Turin, pending patents and publications.","Artificial Intelligence (AI), Big Data, Health Care, Health Diagnostics, Image Recognition, Machine Learning, Medical, Software","Samorin, Bratislava, Slovakia (Slovak Republic)",Powerful Medical provides AI solutions that enable medical professionals to accurately diagnose and treat cardiovascular disease.,15230754,USD,15230754,,,2,"7,074",15,,12521153,USD,12521153,"9,225",Computing; Calculating,Scientific and electric apparatus and instruments,5000000,USD,5000000,4,2024-02-28,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"EIC Accelerator, Arieli Capital, Zero One Hundred, Crowdberry, bpd partners",,,1,Private,841 04,2017-01-01,year,For Profit,https://www.powerfulmedical.com/,https://www.linkedin.com/company/powerful-medical/,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",6,"Felix Bauer, Martin Herman, Robert Herman, Roy Ramon, Simon Rovder, Viktor Jurasek",51-100,Seed,Seed,5000000,USD,5000000,Seed,4,6,,,"9,705","9,693"
Cradlewise Inc.,https://www.crunchbase.com/organization/cradlewise-inc,"Cradlewise is an intelligent baby crib that learns from the baby's sleep patterns, spots the first signs of wakeup and bounces the baby to sleep - just like a mom!","Artificial Intelligence (AI), Baby, Child Care, Consumer Electronics, Consumer Goods, Hardware, Health Care, Internet of Things, Parenting","San Francisco, California, United States",Cradlewise offers a smart cradle with responsive rocking and integrated contactless baby monitoring.,7000000,USD,7000000,,,2,"149,819",29,,7000000,USD,7000000,,"Furniture,Domestic Articles Or Appliances; Coffee Mills; Spice Mills",Furniture and decorative products,7000000,USD,7000000,3,2021-11-09,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"HAX, Footwork, Carya Venture Partners, SOSV, Better Capital",,,3,Private,19808,2019-03-27,day,For Profit,https://cradlewise.com,https://www.linkedin.com/company/cradlewise,,,"Artificial Intelligence (AI), Community and Lifestyle, Consumer Electronics, Consumer Goods, Data and Analytics, Hardware, Health Care, Internet Services, Science and Engineering, Software",2,"Bharath Patil, Radhika Patil",11-50,Seed,Seed,7000000,USD,7000000,Seed,1,11,,,"9,711","9,699"
Gramik,https://www.crunchbase.com/organization/agri-junction,AI-ML Driven Social Commerce Platform in Agri-tech-Providing extensive range of high-quality Unadulterated inputs & personalized advisory  to the Farmers  through last-mile connected person (Peer Partner),"AgTech, Artificial Intelligence (AI), E-Commerce, Machine Learning","Lucknow, Uttar Pradesh, India","Gramik is a social commerce platform that enables farmers to connect with technology, training, and financial help from others.",103250000,INR,1290893,,,,"41,167",7,,103250000,INR,1290893,,,,30000000,INR,366861,4,2023-05-01,Asia-Pacific (APAC),,,,,,Private,226002,2021-06-11,day,For Profit,https://www.gramik.in/,https://www.linkedin.com/company/gramik,,,"Agriculture and Farming, Artificial Intelligence (AI), Commerce and Shopping, Data and Analytics, Science and Engineering, Software",1,Raj Yadav,101-250,Seed,Seed,30000000,INR,366861,Seed,,,,,"9,722","9,711"
Enquire AI,https://www.crunchbase.com/organization/enquire-ai,"Enquire is on a mission to make organizations knowledge-efficient. We provide the world’s leading enterprises an AI-powered platform to leverage global subject-matter expertise in real time. Our uniqueness is defined by our software, which starts with Network Pulse. Through Network Pulse, all that clients need to do is submit a question. From there, our AI-driven multifactor algorithm identifies the experts best placed to provide tailored, actionable analysis in 250 words, which smartly arrives in the client’s dashboard within minutes. There on, clients can assess answers according to the experts’ professional background and platform ratings and go deeper with any expert of their choice on a Pulse Call or collaborate longer-term on a Pulse Project. We have made this knowledge journey uniquely empowering and seamless for the client by fitting it to their established workflows for data gathering and research.","Analytics, Artificial Intelligence (AI), Enterprise, Information Services, Knowledge Management, Machine Learning, Media and Entertainment, Professional Services, SaaS, Software","Washington, District of Columbia, United States",An insights software company that provides enterprises a comprehensive toolkit to easily discover and leverage expert knowledge in real time,9200000,USD,9200000,,,6,"2,200",21,23,9200000,USD,9200000,,,Scientific and electric apparatus and instruments,,,,4,2022-12-06,"Washington DC Metro Area, Southern US",$1M to $10M,"Uzabase, Blu Venture Investors, MBO Partners, Mentors Fund",,,2,Private,20036,2018-03-01,day,For Profit,https://www.enquire.ai/app/index,https://www.linkedin.com/company/enquire-ai/,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Information Technology, Media and Entertainment, Other, Science and Engineering, Software",3,"Bilal Baloch, Cenk Sidar, Fatih Orhan",11-50,,Corporate Round,,,,Corporate Round,1,4,,,"9,730","9,718"
Artivatic.ai,https://www.crunchbase.com/organization/artivatic-data-labs,"Artivatic (Part of RenewBuy Group) is a digital risk & decision-making Fullstack insurtech platform that automates ,sales, process, onboarding, quote, underwriting, claims, servicing, product design, product & rule configurator, risk intelligence, pricing & fraud intelligence for carriers, brokers, distributors, re-insurance, TPAs, healthcare & providers. Artivatic provide efficiency, transparency, risk assessment, personalization and digitization in entire lifecycle of operations . The platform uses deep machine learning and proprietary algorithms for analytics, intelligence and alerts, decisions. Artivatic is transforming legacy, traditional, complex and 'one size fits all'. Our Some Products: AUSIS: AI Smart Underwriting [Life, Health, SME, Alternative] ALFRED HEALTH - AI Health claims automation system with auto-adjudication, risk connected with hospitals, TPA, & Patient MiO: AI Sales & Marketing Platform for BFSI & Healthcare ASPIRE Health: Shared & Automated Employee Health Benefit Placement System for Brokers, Carriers, Employers & Employees ProdX Design: Product & Rules Design Platform INFRD: 400+ AI Insurance Cloud API Patient 360: Patient Health App for claims, policies, disease management, family health, opd, mental health & wellness with ABHA | ABDM It enables businesses to have in-depth multi source data focused intelligence & decisions. Our products have demonstrated more than 50% of efficiency, 90% reduction in turnaround time, 80% better fraud identification, 70% less cost reduction, more than 60% consumer engagement, more than 40% better risk delinquencies identification and intelligence in near real time.","Artificial Intelligence (AI), Employee Benefits, Fraud Detection, Health Care, Machine Learning, Outpatient Care, Personal Health, Sales Automation","Bangalore, Karnataka, India","AI powered Healthtech & Insurtech Platform. Smart Underwriting, AIHealth Claims, Patient Health App, Unified Provider Health System.",2551160,USD,2551160,2022-02-21,day,,,84,24,2451160,USD,2451160,,,,60000000,INR,798150,6,2022-02-15,Asia-Pacific (APAC),$1M to $10M,"KFintech, Indian Angel Network, SenseAI Ventures, Scale Ventures, Spark10 Accelerator",,,,Private,560102,2018-01-05,day,For Profit,https://artivatic.ai,https://www.linkedin.com/company/artivatic,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Financial Services, Health Care, Information Technology, Payments, Privacy and Security, Sales and Marketing, Science and Engineering, Software",2,"Layak Singh, Puneet Tandon",51-100,M&A,Series A,60000000,INR,798150,Series A,7,8,,Was Acquired,"9,752","9,740"
Fulfilld,https://www.crunchbase.com/organization/fulfilld-io,"Fulfilld is an AI-powered location-aware (digital twin) warehouse management software focused on driving higher warehousing productivity more efficiently. Our AI is essential in orchestrating how products, people, and automation flow and work from the movement products arrive in the warehouse to when they are loaded onto delivery trucks. Our AI is the brains and engine optimizing warehousing operations enabling our customers’ warehouses to run faster, smoother, leaner, and with fewer errors. Get Fulfilld.","Artificial Intelligence (AI), Enterprise Software, Information Services, Machine Learning, SaaS","Denver, Colorado, United States","Fulfilld is a warehouse management optimization platform driving higher productivity, greater efficiencies, and happier warehouse workers.",10203000,USD,10203000,,,,,25,,10200000,USD,10200000,,,,2500000,USD,2500000,6,2024-05-08,"Greater Denver Area, Western US",$1M to $10M,"Freestyle Capital, TenOneTen Ventures, Pi Labs, Matchstick Ventures, Dundee Venture Capital",,,,Private,80246,2020-11-01,day,For Profit,https://www.fulfilld.io,https://www.linkedin.com/company/fulfilldwms,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",3,"Michael Pytel, Rick Fischer, Yosh Eisbart",11-50,Seed,Seed,2500000,USD,2500000,Seed,6,11,,,"9,759","9,747"
REVER,https://www.crunchbase.com/organization/rever-3d13,"REVER is a software as a service (SaaS) platform that aims to make the returns process for businesses more efficient and sustainable. The platform is specifically geared towards B2B (business-to-business) e-commerce operations, and is designed to make the returns process frictionless and quick for customers. The company goal is to simplify the returns process for the business while providing an easy and fast way for customers to return products. The B2B SaaS market is a large and growing market with huge potential to help businesses to automate their operations and save costs. By providing a fast and sustainable returns solution that also helps to streamline the process for businesses, REVER is aiming to meet a significant need in the e-commerce market.","Artificial Intelligence (AI), Financial Services, Machine Learning, Software","Barcelona, Catalonia, Spain",REVER is a financial service company that develops technologies designed to create a new category in the e-commerce space.,8400000,EUR,9157621,,,1,"7,947",3,,8400000,EUR,9157621,,,Precious Metals and their alloys; jewelry; time-keeping instruments,,,,3,2023-07-14,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,"Sequoia Capital, Y Combinator, Alma Mundi Ventures, Oscar Pierre, Global Founders Capital",,,0,Private,08000,2022-01-01,year,For Profit,https://itsrever.com,https://www.linkedin.com/company/itsrever,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",2,"Màrius Montmany, Oriol Hernandez i Fajula",11-50,Seed,Non-equity Assistance,7500000,EUR,8192808,Seed,3,9,,,"9,765","9,753"
Auditoria.AI,https://www.crunchbase.com/organization/auditoria,"Auditoria is improving compliance using leading-edge artificial intelligence and machine learning technology. It is a provider of ai-driven automation solutions for finance teams, Engineering Capital and Firebolt Ventures. Its flagship offering, leverages natural language processing, artificial intelligence, and machine learning to remove friction and repetition, automate finance back office business processes, and deliver cutting-edge real-time predictive analytics to enterprise finance and accounting teams.","Artificial Intelligence (AI), Finance, FinTech, Machine Learning, SaaS, Software","San Jose, California, United States",Auditoria is a saas provider of ai-driven cognitive automation to help companies accelerate cash performance and transform the back office.,21500000,USD,21500000,,,2,190,22,,21500000,USD,21500000,,,Advertising; business,,,,3,2023-09-27,"San Francisco Bay Area, Silicon Valley, West Coast",$10M to $50M,"B Capital, KPMG, Workday Ventures, Firebolt Ventures, Neotribe Ventures",,,2,Private,95128,2019-01-01,year,For Profit,https://www.auditoria.ai,https://www.linkedin.com/company/auditoriaai,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",3,"Adina Simu, Gaurav Bhatia, Rohit Gupta",11-50,,Venture - Series Unknown,,,,Venture - Series Unknown,3,8,,,"9,785","9,773"
Automation Hero,https://www.crunchbase.com/organization/saleshero-inc,"Automation Hero’s award-winning intelligent document processing platform lets you get up and running within minutes, provides value within hours, and is future-proof for years to come. Connect with any IT infrastructure, click together no-code workflows with the industry’s most accurate AI, seamlessly integrate your workforce into the process, and get real-time insights.  Our platform is trusted by Fortune 100 enterprises, ambitious mid-market companies, and the fastest-growing startups alike.","Artificial Intelligence (AI), Enterprise Software, Information Technology, Machine Learning, SaaS","San Francisco, California, United States",We help organizations process any type of document faster than ever with the most complete intelligent document processing platform.,19000000,USD,19000000,,,1,"1,012",5,19,19000000,USD,19000000,,,Scientific and technological services,,,,4,2021-06-17,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Signals Venture Capital, Baidu Ventures, Plug and Play, MassChallenge, Comet Labs",$10M to $50M,2018-04-24,1,Private,94104-5401,2017-01-01,year,For Profit,https://automationhero.ai/,https://www.linkedin.com/company/automationhero/,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",1,Stefan Groschupf,51-100,Early Stage Venture,Series B,,,,Series B,3,8,,,"9,793","9,781"
Eatron Technologies,https://www.crunchbase.com/organization/eatron-technologies,"Eatron is a fast-growing technology company dedicated to unlocking the full potential of batteries with intelligent software for all vehicle and battery manufacturers worldwide. We develop AI-powered edge-to-cloud connected software platform for better, safer, durable and greener batteries in automotive, mobility and beyond. Each Eatron software function at the edge (i.e. in the BMS), such as advanced SoX or RUL, is designed to have a cloud counterpart with integrated connectivity and analytics. These enable OTA updates to unlock regular software improvements to achieve superior performance, safety and reliability over the lifetime of the batteries and EVs.","Artificial Intelligence (AI), Battery, Electric Vehicle, Electronics, Software","Warwick, Warwickshire, United Kingdom","AI-powered battery management software layer for better, safer and greener batteries",13554678,USD,13554678,,,4,824,60,,13554678,USD,13554678,,,Scientific and electric apparatus and instruments,,,,7,2024-02-29,"Europe, Middle East, and Africa (EMEA)",$1M to $10M,"Vinfast, Aster, LG Technology Ventures, Oshkosh, UK Research and Innovation",,,9,Private,CV34 6UW,2018-01-01,year,For Profit,https://eatron.com/,https://www.linkedin.com/company/eatron-technologies/,,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Energy, Hardware, Science and Engineering, Software, Transportation",3,"Amedeo Bianchimano, Can Kurtulus, Umut Genc",51-100,,Corporate Round,,,,Corporate Round,5,10,,,"9,795","9,783"
Meshcapade,https://www.crunchbase.com/organization/meshcapade,"Meshcapade is a startup specializing in AI solutions for modeling, analysis and synthesis of 3D digital humans in motion. It was founded in 2018 by Naureen Mahmood, Michael J. Black and Talha Zaman as a spin-off of the Max-Planck Institute for Intelligent Systems in Tübingen. Since then it has become the trusted supplier for 3D human technology for over 100 customers in apparel, fitness, synthetic data, AR/VR, telepresence and entertainment, including 6 out of the top 10 NASDAQ companies. More information via: www.meshcapade.com","3D Technology, Animation, Artificial Intelligence (AI), Computer Vision, Fashion, Machine Learning, Online Games","Tübingen, Baden-Wurttemberg, Germany",The digital human company. Building 3D generative models to bring digital humans to life.,6000000,USD,6000000,,,4,"570,017",33,,6000000,USD,6000000,,,Scientific and technological services,6000000,USD,6000000,2,2023-06-14,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,"CLO Virtual Fashion, Matrix, Nate Mitchell, Matthew Ball, Gary Bradski",,,0,Private,72072,2018-04-10,day,For Profit,https://meshcapade.com,https://www.linkedin.com/company/meshcapade,,,"Artificial Intelligence (AI), Clothing and Apparel, Data and Analytics, Design, Gaming, Hardware, Media and Entertainment, Science and Engineering, Software, Video",3,"Michael Black, Naureen Mahmood, Talha Zaman",11-50,Seed,Seed,6000000,USD,6000000,Seed,1,10,,,"9,801","9,789"
DeepHow,https://www.crunchbase.com/organization/deephow,"DeepHow develops an AI-powered learning platform for manufacturing, service, and repair. Wei-Liang Kao, Patrik Matos da Silva, and Samuel Zheng founded it in 2018, with its headquarters in New York City.","Artificial Intelligence (AI), Intelligent Systems, Machine Learning, Manufacturing, Service Industry","Royal Oak, Michigan, United States","DeepHow develops an AI-powered learning platform for manufacturing, service, and repair.",23120000,USD,23120000,,,,"10,518",30,,23120000,USD,23120000,27,,,14000000,USD,14000000,3,2023-04-27,"Greater Detroit Area, Great Lakes, Midwestern US",$10M to $50M,"Techstars, Qualcomm Ventures, Sierra Ventures, Owl Ventures, Foothill Ventures",,,,Private,48067,2018-01-01,year,For Profit,https://www.deephow.com,https://www.linkedin.com/company/deephow,,,"Artificial Intelligence (AI), Data and Analytics, Manufacturing, Other, Science and Engineering, Software",3,"Patrik Matos da Silva, Samuel Zheng, Wei-Liang Kao",51-100,Early Stage Venture,Series A,14000000,USD,14000000,Series A,3,8,,,"9,826","9,814"
Sensible,https://www.crunchbase.com/organization/sensible-0515,"Sensible is a document orchestration platform that transforms documents into structured data. The platform's infrastructure uses AWS to provide robust scalability and performance. Multi-region deployment and SLAs for enterprise customers. Sensible is accessing data in documents is as simple as calling an API. With Sensible's document query language, SenseML, they can avoid the complexities and headaches of PDF parsing.","Developer APIs, Developer Platform, Developer Tools, Document Management, Enterprise Applications, InsurTech, Natural Language Processing","San Francisco, California, United States",Sensible is a document orchestration platform that transforms documents into structured data.,6500000,USD,6500000,,,,"3,295",39,,6500000,USD,6500000,,,,6500000,USD,6500000,1,2022-11-17,"San Francisco Bay Area, West Coast, Western US",$1M to $10M,"Clocktower Technology Ventures, Jack Altman, Engineering Capital, Craft Ventures, Eric Koslow",,,,Private,,2020-01-01,year,For Profit,https://www.sensible.so,https://www.linkedin.com/company/usesensible,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Financial Services, Information Technology, Software",2,"Joshua Lewis, Ming Lu",1-10,Seed,Seed,6500000,USD,6500000,Seed,1,9,,,"9,831","9,819"
Docsumo,https://www.crunchbase.com/organization/docsumo,"Docsumo is a data entry automation software. It captures data from documents such as invoices, receipts & forms and feeds that data directly to CRM, ERP & accounting software. It reduces the time spent on data entry and increases the accuracy of the captured data. Using AI, Docsumo eliminates the need for manual setup or templates. It is as simple as uploading or emailing your documents to Google Drive and sending the captured data to your ERP & accounting software with the click of a button.","Accounting, Analytics, Artificial Intelligence (AI), Machine Learning, SaaS, Software, Web Apps","Singapore, Central Region, Singapore",Document AI software with Intelligent OCR technology designed for technology teams to automate document processing.,3500000,USD,3500000,,,,"108,751",23,22,3500000,USD,3500000,,,,3500000,USD,3500000,3,2022-03-03,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",$1M to $10M,"Techstars, Arbor Realty Trust, Fifth Wall, Better Capital, Common Ocean Ventures",,,,Private,,2019-01-01,month,For Profit,https://www.docsumo.com/,https://www.linkedin.com/company/docsumoai/,,,"Apps, Artificial Intelligence (AI), Data and Analytics, Financial Services, Professional Services, Science and Engineering, Software",2,"Bikram Dahal, Rushabh Sheth",51-100,Seed,Seed,3500000,USD,3500000,Seed,2,5,,,"9,838","9,826"
Medeloop,https://www.crunchbase.com/organization/medeloop,"Medeloop accelerates breakthrough discoveries through novel deep AI model explainability techniques built on top of a comprehensive data linkage infrastructure. Medeloop is a one of a kind platform that seamlessly links, harmonizes, and analyzes massive amounts of health data. We are pioneering AI techniques that find biomarkers for clinical researchers, helping break down barriers to save lives. For Researchers: Our platform shortens the clinical research process using advanced AI techniques that provide research hypotheses for even the most understudied diseases. All of your data, all in one place. Cleaned, organized and analyzed. Medeloop transforms the research approach, enabling researchers to publish more and publish faster. For Research Participants: Our patient-facing app encourages the public to take control of their health and contribute to life-changing medical research. You always have access to view your health information and how it is being utilized.","Data Integration, Data Visualization, Database, Electronic Health Record (EHR), Health Care, Machine Learning, Software","Menlo Park, California, United States","Data infrastructure, designed for early-stage researchers",8000000,USD,8000000,,,,190,18,,8000000,USD,8000000,,,,8000000,USD,8000000,1,2023-09-20,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,"Maven Ventures, General Catalyst, OVO Fund, NV Investments, Kenneth Frazier",,,,Private,94025,2021-08-17,day,For Profit,https://medeloop.ai,https://www.linkedin.com/company/medeloop/,,,"Artificial Intelligence (AI), Data and Analytics, Design, Health Care, Information Technology, Software",4,"Andy Yakulis, Josh Walonoski, Raghav Samavedam, Rene Caissie",11-50,Seed,Seed,8000000,USD,8000000,Seed,1,6,,,"9,845","9,833"
Token Metrics,https://www.crunchbase.com/organization/token-metrics,"Token Metrics is a cryptocurrency investment research firm that provides timely insights on over 6,000 crypto and NFT projects by leveraging artificial intelligence and machine learning, as well as a team of data scientists, quant traders, and crypto native research analysts. Token Metrics, headquartered in Austin, Texas, was founded in 2018 by Ian Balina. It aims to create the best crypto analytics platform available anywhere, while also making its products accessible to everyone, including those on a limited budget.","Analytics, Financial Services, Impact Investing, Machine Learning, Online Portals","Austin, Texas, United States",Token Metrics is a data-driven investment research platform for blockchain technology with leverage analytics and machine learning.,4542000,USD,4542000,,,,"506,083",172,,4542000,USD,4542000,,,,2750000,USD,2750000,3,2021-11-23,Southern US,$10M to $50M,Bay Wharf Capital,,,,Private,78752,2018-01-01,day,For Profit,http://tokenmetrics.com,https://www.linkedin.com/company/tokenmetrics,,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Internet Services, Lending and Investments, Software",1,Ian Balina,11-50,,Equity Crowdfunding,2750000,USD,2750000,Equity Crowdfunding,,1,,,"9,853","9,841"
Floy,https://www.crunchbase.com/organization/floy,"Floy develops AI-driven software that supports radiologists in detecting complex and hard-to-identify diseases. The collaboration of Floy-AI and radiologists ensures optimal patient outcomes by enabling the early detection and thus early treatment of diseases. One of Floy’s distinguishing features is our innovative incentive structure. We partner with radiology offices to jointly offer patients our AI as a “second opinion”.  This unique approach motivates radiologists to embrace Floy-AI and encourages widespread adoption. Since its establishment in 2021, Floy secured €8.8 million in funding and rapidly expanded its presence with over 150 radiology locations to date. Floy’s overarching mission is to pioneer proactive medicine by providing exceptional AI-powered diagnostic experiences for health-conscious patients.","Artificial Intelligence (AI), Health Care, Health Diagnostics, SaaS, Software","Munich, Bayern, Germany",Developing AI to support radiologists in seeing diseases difficult to detect.,8800000,EUR,9497529,,,1,"1,455",26,,6700000,EUR,7391155,,,Scientific and electric apparatus and instruments,5400000,EUR,5860730,3,2023-11-16,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,"10x Founders, All Iron Ventures, Saarbruecker 21, xdeck, HV Capital",,,0,Private,80539 Munich,2021-06-01,month,For Profit,https://www.floy.com/,https://www.linkedin.com/company/floy-gmbh,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"Benedikt Schneider, Leander Märkisch",11-50,Seed,Seed,5400000,EUR,5860730,Seed,2,5,,,"9,860","9,848"
Quibim,https://www.crunchbase.com/organization/quibim,"Quibim, with headquarters in Valencia, Spain, is a global leader in whole-body medical imaging analysis. Quibim products are used worldwide by leading pharmaceutical companies and research teams. Partners use Quibim Precision®, a whole-body imaging ecosystem, for a wide range of applications from detecting a disease to tracking the efficacy of novel treatments.  Quibim follows an AI-first approach to help detect pathologies across every body part and imaging modality, using quantitative imaging biomarkers. We understand every body part. We speak human.","Artificial Intelligence (AI), Biotechnology, Clinical Trials, Health Care, Health Diagnostics, Hospital, Pharmaceutical","Valencia, Comunidad Valenciana, Spain","Quibim, a company with its headquarters in Valencia, Spain, is a global leader in whole-body medical imaging analysis.",17013425,EUR,19586338,,,19,"18,505",31,,13729600,EUR,15814241,,Computing; Calculating,Scientific and electric apparatus and instruments,,,,12,2024-04-02,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,"Amadeus Capital Partners, APEX Ventures, Plug and Play, Lanzadera Accelerator, Crista Galli Ventures",,,4,Private,46021,2012-10-10,day,For Profit,https://www.quibim.com,https://www.linkedin.com/company/quibim,,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",2,"Angel Alberich-Bayarri, Luis Martí Bonmatí",51-100,Seed,Seed,,,,Seed,5,11,,,"9,860","9,848"
Glass Health,https://www.crunchbase.com/organization/glass-health,,"Artificial Intelligence (AI), Health Care, Software","San Francisco, California, United States",Glass Health empowers clinicians with a platform for AI-assisted diagnosis and clinical decision-making,7000000,USD,7000000,,,,"11,758",3,,7000000,USD,7000000,,,,5000000,USD,5000000,3,2023-09-11,"San Francisco Bay Area, West Coast, Western US",,"Y Combinator, Breyer Capital, Initialized Capital, Breyer Labs, Connor Landgraf",,,,Private,,2021-01-01,year,For Profit,https://glass.health,https://www.linkedin.com/company/glass-health-inc,,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"Dereck Paul, Graham Ramsey",1-10,Seed,Seed,5000000,USD,5000000,Seed,3,8,,,"9,869","9,857"
Ernest Energy,https://www.crunchbase.com/organization/ernest-energy,,"Artificial Intelligence (AI), Enterprise Software, Software","Miami, Florida, United States",Ernest Energy offers AI-powered construction platform pairing custom software with project execution to build more for less.,13350002,USD,13350002,,,,801,12,10,13350002,USD,13350002,,,,13350002,USD,13350002,1,2024-01-02,"Greater Miami Area, East Coast, Southern US",,,,,,Private,33126,2022-01-01,year,For Profit,https://www.joinernest.com/,https://www.linkedin.com/company/ernest-construction/,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Michael Ragheb,11-50,Seed,Seed,13350002,USD,13350002,Seed,,,,,"9,871","9,859"
