Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company)
Dstillery,https://www.crunchbase.com/organization/media6degrees,"Advertising, Analytics, Artificial Intelligence (AI), Data Visualization, Internet, Machine Learning, Market Research, Marketing, Predictive Analytics","New York, New York, United States","Dstillery is the leading AI ad targeting company, empowering brands and their agencies to maximize the value of customer data.","12,059"
Civitas Learning,https://www.crunchbase.com/organization/civitas-learning,"EdTech, Education, Predictive Analytics","Austin, Texas, United States",Civitas Learning is the student success platform for higher education.,"12,097"
Aquifi,https://www.crunchbase.com/organization/aquifi,"3D Technology, Artificial Intelligence (AI), Computer Vision, E-Commerce, Electronics, Information Technology, Internet of Things, Machine Learning, Real Time, Software","Palo Alto, California, United States","Aquifi is an information technology company that focuses on the fields of automation of logistics, manufacturing, and e-Commerce processes.","12,123"
Shift,https://www.crunchbase.com/organization/shift-c02b,"Artificial Intelligence (AI), Delivery, Internet, Logistics, Marketplace, Mobile Apps, Software","London, England, United Kingdom",On-demand technology platform for consumers and businesses focused on the logistics market,"12,228"
Kognic,https://www.crunchbase.com/organization/kognic,"Analytics, Artificial Intelligence (AI), Developer Tools, Machine Learning, Productivity Tools, SaaS, Software","Göteborg, Vastra Gotaland, Sweden",Kognic provides the data platform accelerating ML for performance-critical applications.,"12,230"
Centripetal,https://www.crunchbase.com/organization/centripetal-networks,"Artificial Intelligence (AI), Cyber Security, Fraud Detection, Internet, Network Security, Real Time, Security","Reston, Virginia, United States","Intelligence powered cybersecurity leader, operationalizing threat intelligence in real-time to protect enterprises from every known threat","12,276"
Moreh,https://www.crunchbase.com/organization/moreh,"Apps, Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Moreh is an AI start-up that focuses on maximizing the scalability of the AI market.,"12,408"
Flybits,https://www.crunchbase.com/organization/flybits,"Analytics, Developer Tools, Enterprise Software, Financial Services, FinTech, Mobile, Predictive Analytics, SaaS","Toronto, Ontario, Canada","The Experience Design platform for context aware, data-led banking","12,467"
Element,https://www.crunchbase.com/organization/element-analytics,"Analytics, Big Data, Data Governance, Internet of Things, Predictive Analytics, SaaS, Software","Oakland, California, United States","SaaS provider transforming IT/OT data into contextualized, graph-based models to support diverse analytical workloads and data governance.","12,516"
Sproutt Insurance,https://www.crunchbase.com/organization/sproutt-insurance,"Artificial Intelligence (AI), Insurance, Life Insurance","Hartford, Connecticut, United States",Sproutt is an insurance company that offers people a smarter and easier way to buy life insurance.,"12,615"
Wefarm,https://www.crunchbase.com/organization/we-farm,"AgTech, Farming, Internet, Machine Learning, SMS","London, England, United Kingdom",Wefarm is a farmer-to-farmer digital network that enables users to share information via SMS.,"12,667"
Yewno,https://www.crunchbase.com/organization/yewno,"Artificial Intelligence (AI), Computer, Machine Learning, Software","Palo Alto, California, United States","Yewno provider of AI solutions for Finance, Education and Publishing, Yewno's mission is to transform information into knowledge.","12,687"
Customcells Group,https://www.crunchbase.com/organization/customcells,"Aerospace, Artificial Intelligence (AI), Automotive, Battery, Chemical, Chemical Engineering, CleanTech, Energy, Energy Efficiency, Energy Storage","Itzehoe, Schleswig-Holstein, Germany","Innovative cells, High performance batteries, Lithium ion, cells, Automotive cells, Aviation cells, High Si cells, battery technology","12,740"
Concirrus,https://www.crunchbase.com/organization/concirrus,"Consulting, FinTech, Fleet Management, Information Services, Information Technology, Insurance, InsurTech, Machine Learning, Marine Technology, Software","London, England, United Kingdom",Concirrus support digital transformation of the specialty insurance industry using the latest developments in technology.,"12,876"
Remine,https://www.crunchbase.com/organization/remine,"Artificial Intelligence (AI), Big Data, Information Technology, Internet, Real Estate, Software","Vienna, Virginia, United States","Remine is an MLS platform in 40 markets and available to more than 825,000 agents and their clients.","12,907"
CloudMile,https://www.crunchbase.com/organization/cloud-mile-ltd,"Artificial Intelligence (AI), Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Security, Internet of Things, Machine Learning","Singapore, Central Region, Singapore",Asia's leading cloud and AI company empowering businesses to accelerate digital transformation through cloud technology and machine learning,"12,979"
Neurala,https://www.crunchbase.com/organization/neurala,"Artificial Intelligence (AI), Drones, Machine Learning, Robotics, Software","Boston, Massachusetts, United States",Neurala provides an AI platform that empowers companies to automate visual inspections.,"13,165"
BackBox,https://www.crunchbase.com/organization/backbox,"Cloud Computing, Consulting, Information Technology, Intelligent Systems, Network Security, Software","Tel Aviv-yafo, Tel Aviv, Israel",BackBox is the provider of solutions for automated backup and recovery software for security and network devices.,"13,168"
Optalysys,https://www.crunchbase.com/organization/optalysys-ltd,"Artificial Intelligence (AI), Big Data, Computer, Hardware, Machine Learning, Software","Castleford, Wakefield, United Kingdom",Optalysys solves the fundamental limitations of conventional computing.,"13,203"
OnePointOne,https://www.crunchbase.com/organization/onepointone,"Agriculture, AgTech, Farming, Health Care, Industrial Automation, Machine Learning, Software","Avondale, Arizona, United States",OnePointOne (“OPO”) is a technology company that licenses a patented vertical farming hardware and software solution.,"13,246"
Red Sea Farms,https://www.crunchbase.com/organization/red-sea-farms,"Agriculture, AgTech, Farming, Intelligent Systems","Thuwal, Ha'il, Saudi Arabia",Red Sea Farms is an agriculture technology company enabling the commercial farming of produce using primarily salt water.,"13,287"
Yoummday GmbH,https://www.crunchbase.com/organization/yoummday-pty-ltd,"Artificial Intelligence (AI), Consulting, Outsourcing, SaaS","Munich, Bayern, Germany",The world’s first online marketplace for contact centre solutions for in- and outbound,"13,394"
R4 Technologies,https://www.crunchbase.com/organization/r4-technologies,"Artificial Intelligence (AI), Big Data, Information Technology","Ridgefield, Connecticut, United States",R4 Technologies specializes in applying AI to cross-enterprise management.,"13,460"
KenSci,https://www.crunchbase.com/organization/kensci,"Analytics, Artificial Intelligence (AI), Health Care, Machine Learning, Software","Seattle, Washington, United States","KenSci offers Healthcare AI platfrom & prediction apps that work across Clinical workflows, Cost Mgmt & Hospital Ops. #DeathVsDataScience. ","13,579"
Samotics,https://www.crunchbase.com/organization/semiotic-labs,"Artificial Intelligence (AI), Enterprise Software, Industrial Automation, Information Technology, Predictive Analytics","Leiden, Zuid-Holland, The Netherlands",Samotics is a predictive maintenance system for AC motors and rotating equipment.,"13,609"
MakerSights,https://www.crunchbase.com/organization/makersights,"Predictive Analytics, Retail Technology, Software","San Francisco, California, United States",The only collaborative assortment management workspace enabling brands to embed consumer data throughout the product-to-market process.,"13,621"
Ceremorphic,https://www.crunchbase.com/organization/ceremorphic,"Artificial Intelligence (AI), Hardware","San Jose, California, United States",Ceremorphic provides energy efficient AI supercomputing.,"13,648"
Farmstead,https://www.crunchbase.com/organization/futureads-llc,"Agriculture, Artificial Intelligence (AI), Delivery Service, Farmers Market, Food Delivery","San Francisco, California, United States",Farmstead is an artificial intelligence-powered farm to doorstep grocery delivery startup.,"13,814"
RapidMiner,https://www.crunchbase.com/organization/rapidminer,"Analytics, Artificial Intelligence (AI), Big Data, Machine Learning, Predictive Analytics, SaaS, Software","Boston, Massachusetts, United States","RapidMiner builds a software platform for data science teams that unites data prep, machine learning, and predictive model deployment.","13,871"
METRON,https://www.crunchbase.com/organization/metron-318e,"Artificial Intelligence (AI), Environmental Consulting, Information Technology","Paris, Ile-de-France, France",METRON is a  foundation stone using artificial intelligence based on Energy Data and ontologies.,"13,873"
Element5,https://www.crunchbase.com/organization/element5,"Artificial Intelligence (AI), Health Care, Home Health Care, Information Technology","San Jose, California, United States",Element5 provides AI and RPA based automation-as-a-service solutions for post-acute care,"13,910"
Pristine Surgical,https://www.crunchbase.com/organization/pristine-surgical,"Artificial Intelligence (AI), Health Care, Medical Device","Manchester, New Hampshire, United States","Pristine Surgical is develops a first-of-its-kind, single-use visualization platform for surgical, diagnostic rigid endoscopic procedures.","13,924"
Temedica,https://www.crunchbase.com/organization/temedica,"Health Care, Information Technology, Personal Health, Predictive Analytics, Software","München, Bayern, Germany",The future of health needs real insights.,"13,963"
Cinnamon AI,https://www.crunchbase.com/organization/cinnamon,"Artificial Intelligence (AI), Data Center Automation, Machine Learning, Productivity Tools","Tokyo, Tokyo, Japan",Cinnamon AI develops AI-based business platforms to extend human potential by eliminating repetitive tasks.,"14,089"
Crayon Data,https://www.crunchbase.com/organization/crayon-data,"Analytics, Artificial Intelligence (AI), Big Data, E-Commerce, Intelligent Systems, Machine Learning, Personalization, Predictive Analytics, SaaS, Software","Singapore, Central Region, Singapore","Crayon Data is a growing big data and AI startup with a vision to simplify the world’s choices with their personalization engine, maya.ai.","14,146"
Seoul Robotics,https://www.crunchbase.com/organization/seoul-robotics,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Drones, Machine Learning, Robotics, Sensor, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Making Robots Intelligent - Building advanced Lidar perception software for self driving cars and robots,"14,402"
Mirriad,https://www.crunchbase.com/organization/mirriad,"Advertising, Artificial Intelligence (AI), Content, Internet","London, England, United Kingdom","Mirriad's patented, AI and computer vision technology dynamically inserts products and innovative signage formats after content is produced.","14,450"
Trifo,https://www.crunchbase.com/organization/trifo-robotics,"Artificial Intelligence (AI), Machine Learning, Robotics, Smart Home","Santa Clara, California, United States",Trifo is an AI home robot company that helps people live better by doing work around the home.,"14,600"
Lattice Engines,https://www.crunchbase.com/organization/lattice-engines,"Analytics, Artificial Intelligence (AI), CRM, Data Integration, Marketing, Predictive Analytics, Software","San Mateo, California, United States","Lattice Engines specializes in the fields of marketing, sales, data-driven business applications, and trigger events.","14,613"
CrowdANALYTIX,https://www.crunchbase.com/organization/crowdanalytix-inc,"Analytics, Artificial Intelligence (AI), Crowdsourcing, Professional Services, Retail Technology, SaaS","Sunnyvale, California, United States",CrowdANALYTIX builds scalable AI solutions for enterprises globally.,"14,632"
Orion Labs,https://www.crunchbase.com/organization/orion-labs,"Artificial Intelligence (AI), Collaboration, Enterprise, Internet of Things, Messaging, Software","San Francisco, California, United States",Orion Labs is a voice-first enterprise communication platform connecting frontline workers and teams and with AI-driven automation.,"14,676"
Dascena,https://www.crunchbase.com/organization/dascena,"Big Data, Biotechnology, Health Care, Machine Learning, Medical Device, Predictive Analytics","San Francisco, California, United States",Dascena develops machine learning algorithms to enable early disease intervention and improve care outcomes for patients.,"14,687"
Purefacts Financial Solutions,https://www.crunchbase.com/organization/purefacts-financial-solutions,"Asset Management, Consulting, FinTech, Machine Learning, Wealth Management","Toronto, Ontario, Canada",Purefacts is a software and consulting firm that serves the global wealth management industry.,"14,864"
Springbuk,https://www.crunchbase.com/organization/springbuk,"Analytics, Artificial Intelligence (AI), Consulting, Health Care, Human Resources, SaaS, Software","Indianapolis, Indiana, United States",Springbuk provides a health analytics software solution to prevent disease with data.,"14,950"
LeapMind,https://www.crunchbase.com/organization/leap-mind,"Artificial Intelligence (AI), Field-Programmable Gate Array (FPGA), Hardware, Machine Learning, Software Engineering","Tokyo, Tokyo, Japan","LeapMind makes deep learning “small and compact” and accessible across a broad spectrum of applications, evolving the Internet of Things.","14,967"
Spiden,https://www.crunchbase.com/organization/spiden,"Artificial Intelligence (AI), Biotechnology","Freienbach, Schwyz, Switzerland",Spiden provides and develops products that enable real-time and continuous monitoring of blood biomarkers.,"15,168"
Tenfold,https://www.crunchbase.com/organization/tenfold,"CRM, Data Integration, Data Management, Predictive Analytics, SaaS, Software, Telecommunications","Austin, Texas, United States",Tenfold helps companies have better customer conversations by putting customer information into action on the phone.,"15,202"
Artificial Solutions,https://www.crunchbase.com/organization/artificial-solutions,"Artificial Intelligence (AI), Intelligent Systems, Machine Learning, Natural Language Processing, Software","Stockholm, Stockholms Lan, Sweden",Artificial Solutions is the leading specialist in enterprise-strength conversational AI.,"15,226"
Market AI,https://www.crunchbase.com/organization/withmarketai,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Los Angeles, California, United States","Chat with your ads, products, and creatives. Learn more at www.WithMarket.ai","15,679"
Bridgenext,https://www.crunchbase.com/organization/emtec,"Analytics, Artificial Intelligence (AI), Data Management, Digital Marketing, Generative AI, Machine Learning, Robotic Process Automation (RPA), Software Engineering, UX Design, Video Editing","Jacksonville, Florida, United States",Emtec is a global IT consultancy dedicated to helping organizations drive transformation and growth via innovative technology and processes.,"15,700"
temi,https://www.crunchbase.com/organization/temi,"Artificial Intelligence (AI), Internet of Things, Robotics, Smart Home, Software, Telecommunications","New York, New York, United States","temi is the world's first, truly intelligent, mobile, personal home robot, that places you at the center of technology.","15,726"
Narrative Science,https://www.crunchbase.com/organization/narrative-science,"Analytics, Artificial Intelligence (AI), Big Data, Data Mining, Software","Chicago, Illinois, United States",Narrative Science creates software that writes stories from enterprise data to drive understanding and results.,"15,772"
MatrixSpace,https://www.crunchbase.com/organization/matrixspace,"Artificial Intelligence (AI), Information Technology, Machine Learning","Burlington, Massachusetts, United States","MatrixSpace is re-imagining radar, addressing the next generation of AI-enabled sensing.","15,812"
Savana,https://www.crunchbase.com/organization/savana-6ede,"Artificial Intelligence (AI), Health Care","Madrid, Madrid, Spain","Electronic Health Records reuse, with Clinical Natural Language Processing.","15,932"
Athos Therapeutics,https://www.crunchbase.com/organization/athos-therapeutics,"Artificial Intelligence (AI), Biotechnology, Life Science, Medical","Torrance, California, United States","Athos develops AI-based Precision Therapeutics for patients with Inflammatory Bowel, other Autoimmune Diseases, and cancer.","15,936"
Heru,https://www.crunchbase.com/organization/heru-inc,"Artificial Intelligence (AI), Augmented Reality, Health Diagnostics, Medical Device, Virtual Reality","Miami, Florida, United States",Heru develops patented autonomous AI-powered vision diagnostics and augmentation software for use on commercially available AR/VR devices.,"15,944"
Cogent Labs,https://www.crunchbase.com/organization/cogent-labs,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Software","Tokyo, Tokyo, Japan",Cogent Labs is solving for practical artificial intelligence.,"16,039"
Luma AI,https://www.crunchbase.com/organization/luma-ai,"3D Technology, Artificial Intelligence (AI), Augmented Reality, Generative AI, Video Games, Virtual Reality","Palo Alto, California, United States",Luma AI is a generative AI startup that enables users to transform text descriptions into corresponding 3D models.,"16,042"
Previse,https://www.crunchbase.com/organization/previse,"Artificial Intelligence (AI), Billing, Information Technology, Payments, Software","London, England, United Kingdom",Previse utilizes artificial intelligence to predict invoice payment decisions.,"16,059"
vHive,https://www.crunchbase.com/organization/vhive,"Aerospace, Artificial Intelligence (AI), Drone Management, Enterprise, Information Technology, Machine Learning, SaaS, Software, Telecommunications","Herzliya, Tel Aviv, Israel",vHive provides a cloud-based software platform that enables enterprises to digitize and analyze assets using autonomous drone hives.,"16,065"
Peaxy,https://www.crunchbase.com/organization/peaxy,"Analytics, Artificial Intelligence (AI), Big Data, CleanTech, Data Integration, Enterprise Software, Machine Learning, Predictive Analytics, SaaS, Software","San Jose, California, United States",Peaxy helps companies unlock the value of their industrial data.,"16,090"
Lumiata,https://www.crunchbase.com/organization/lumiata,"Artificial Intelligence (AI), Health Care, Machine Learning, Predictive Analytics, Risk Management","San Mateo, California, United States",Lumiata driving predictability and precision at scale—empowering healthcare organizations to reduce risk and manage costs with AI.,"16,115"
Deciphex,https://www.crunchbase.com/organization/deciphex,"Artificial Intelligence (AI), Biotechnology, Health Diagnostics, Software","Dublin, Dublin, Ireland",Deciphex uses digital pathology and AI to address the pathology productivity gap,"16,208"
Rotimatic,https://www.crunchbase.com/organization/zimplistic,"Artificial Intelligence (AI), Consumer Electronics, Cooking, Food Processing, Hardware, Health Care, Machine Learning, Product Design, Robotics, Software","Singapore, Central Region, Singapore",Rotimatic is a product design company inventing intelligent kitchen appliances that promote healthy eating through simplicity & automation.,"16,317"
Avanan,https://www.crunchbase.com/organization/avanan,"Artificial Intelligence (AI), Cloud Security, Cyber Security, Email, Internet, Machine Learning, SaaS, Software","New York, New York, United States",Avanan uses AI to protect cloud email and collaboration suites from cyber attacks.,"16,395"
Gauss Labs,https://www.crunchbase.com/organization/gauss-labs,"Artificial Intelligence (AI), Machine Learning, Manufacturing","Palo Alto, California, United States",Gauss Labs aims to revolutionize manufacturing by building industrial AI systems beyond human capabilities.,"16,628"
Alegion,https://www.crunchbase.com/organization/alegion,"Artificial Intelligence (AI), Data Collection and Labeling, Database, Information Technology, Machine Learning, Real Time, Software","Austin, Texas, United States",Alegion’s platform blends human and machine intelligence to provide accurate labeled data used to train or validate machine learning models.,"16,675"
SKAEL,https://www.crunchbase.com/organization/skael,"Artificial Intelligence (AI), Data Center Automation, Information Technology, Machine Learning, SaaS, Software","San Francisco, California, United States",SKAEL provides a hyper-automation platform used to help companies to automate and power digital employees.,"16,714"
Feedvisor,https://www.crunchbase.com/organization/feedvisor,"Artificial Intelligence (AI), E-Commerce, Internet, Machine Learning, SaaS","New York, New York, United States",Feedvisor is an algorithmic pricing and revenue intelligence platform for online retailers.,"16,861"
Kryon,https://www.crunchbase.com/organization/kryon-systems,"Artificial Intelligence (AI), Enterprise Software, Information Technology, Robotic Process Automation (RPA), Robotics, SaaS","New York, New York, United States",Kryon delivers robotic process automation solutions for the digital transformation of enterprises.,"16,955"
RxAnte,https://www.crunchbase.com/organization/rxante,"Analytics, Health Care, Medical, Pharmaceutical, Predictive Analytics","Portland, Maine, United States",RxAnte offers predictive analytics and targeted clinical programs that improve medication prescribing and adherence.,"16,964"
Fount,https://www.crunchbase.com/organization/fount,"Artificial Intelligence (AI), Developer Platform, Finance, Financial Services, FinTech, Information Technology, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Fount Inc. Is an asset management Robo-Advisor startup founded in 2015.,"17,045"
Bitvore,https://www.crunchbase.com/organization/bitvore,"Artificial Intelligence (AI), Big Data, Machine Learning, Real Time, Software","Irvine, California, United States","Real time insights on 400k global companies accessible via API, Snowflake.","17,083"
Tachyus,https://www.crunchbase.com/organization/tachyus,"Analytics, Big Data, Data Visualization, Enterprise Software, Oil and Gas, Predictive Analytics, SaaS","San Mateo, California, United States",Tachyus develops a technology platform to optimize energy production for the oil and gas industry.,"17,140"
Groundspeed Analytics,https://www.crunchbase.com/organization/groundspeed-analytics,"Analytics, Artificial Intelligence (AI), Commercial Insurance, Insurance, InsurTech, Machine Learning","Ann Arbor, Michigan, United States",Groundspeed Analytics accelerates commercial insurance performance with the power of machine learning and artificial intelligence.,"17,319"
HistoWiz,https://www.crunchbase.com/organization/histowiz,"Artificial Intelligence (AI), Biotechnology, Database, Government, Health Care, Hospital, Life Science, Medical, Pharmaceutical, Veterinary","Brooklyn, New York, United States",HistoWiz provides automated histopathology for biomedical researchers.,"17,615"
Coya,https://www.crunchbase.com/organization/coya,"Artificial Intelligence (AI), FinTech, Insurance, InsurTech, Internet","Berlin, Berlin, Germany","Coya offers scalable protection at the point of need with an AI risk guardian and simple, transparent, and personalized insurance cover.","17,634"
Cervest,https://www.crunchbase.com/organization/cervest,"Artificial Intelligence (AI), Machine Learning, Natural Resources, Software","London, England, United Kingdom",Cervest is cloud-based provider of AI-powered Climate Intelligence that helps organizations manage and adapt to asset-level risk globally.,"17,712"
Wysdom.AI,https://www.crunchbase.com/organization/crowdcare,"Artificial Intelligence (AI), Customer Service, Infrastructure, Internet of Things, Machine Learning, Q&A, Software, Wireless","Toronto, Ontario, Canada","Wysdom.AI improves customer satisfaction, contain costs, and generate revenue to power customer experiences.","17,831"
Enso,https://www.crunchbase.com/organization/enso-org,"Analytics, Application Performance Management, Artificial Intelligence (AI), Assistive Technology, Computer, Non Profit, Software","Wilmington, Delaware, United States",Enso is a visual programming language for Data Science platform.,"17,911"
ForeSee Medical,https://www.crunchbase.com/organization/foresee-medical,"Artificial Intelligence (AI), Data Management, Health Care, Information Technology, Natural Language Processing","San Diego, California, United States",ForeSee Medical develops a healthcare data management platform to facilitate clinical guidance and automate the care delivery process.,"18,086"
Master Works,https://www.crunchbase.com/organization/master-works,"Big Data, Business Intelligence, Consulting, Data Visualization, Predictive Analytics, Software","Riyadh, Ar Riyad, Saudi Arabia","Master Works offers data strategy, software, and consulting services.","18,359"
Cipia,https://www.crunchbase.com/organization/eyesight-mobile-technologies,"Artificial Intelligence (AI), Automotive, Computer Vision, Machine Learning, Real Time, Software","Herzliya, Tel Aviv, Israel",Cipia is a leading provider of computer vision AI based solutions for the automotive in-cabin industryץ,"18,467"
I-care Group,https://www.crunchbase.com/organization/i-care-group,"Artificial Intelligence (AI), Big Data, Industrial Automation, Industrial Manufacturing, Internet of Things, Machine Learning, Predictive Analytics","Mons, Hainaut, Belgium",I-care Group changes the way the world performs through predictive and prescriptive maintenance.,"18,624"
Clir Renewables,https://www.crunchbase.com/organization/clir-renewables,"Machine Learning, Renewable Energy, SaaS, Software","Richmond, British Columbia, Canada",Clir is a renewable energy optimization and reporting software that increases the performance and profitability of renewable plants.,"18,640"
Cyted,https://www.crunchbase.com/organization/cyted,"Artificial Intelligence (AI), Biotechnology, Health Care, Medical Device","Cambridge, Cambridgeshire, United Kingdom","Cyted uses artificial intelligence (AI) and digital pathology to improve the detection and diagnosis of diseases, including cancer.","18,672"
AlpsenTek,https://www.crunchbase.com/organization/alpsentek,"Artificial Intelligence (AI), Semiconductor, Sensor","Zürich, Zurich, Switzerland",AlpsenTek is a company engaged in the research and development of machine vision sensors and algorithms.,"18,676"
Luminoso,https://www.crunchbase.com/organization/luminoso,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Natural Language Processing, Software, Text Analytics","Cambridge, Massachusetts, United States",Luminoso is a new way for computers to understand language and turn text into actionable business intelligence.,"18,757"
NFTBank,https://www.crunchbase.com/organization/nftbank-ai,"Analytics, Blockchain, Financial Services, Intelligent Systems, Non-Fungible Token (NFT)","Seoul, Seoul-t'ukpyolsi, South Korea","NFTBank is a ultimate hub of NFT finance, portfolio management and analytics.","18,956"
Semiotic AI,https://www.crunchbase.com/organization/semiotic-ai,"Artificial Intelligence (AI), Blockchain, Machine Learning, Software, Web3","Los Altos, California, United States",Semiotic AI is building automated decision-making tools for decentralized markets on the blockchain.,"19,139"
Arundo Analytics,https://www.crunchbase.com/organization/arundo-analytics,"Analytics, Artificial Intelligence (AI), Big Data, Internet of Things, Machine Learning, Software","Palo Alto, California, United States",Arundo Analytics provides cloud-based and edge-enabled software for the deployment and management.,"19,165"
Delair,https://www.crunchbase.com/organization/delair-tech,"Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Robotics, Software","Toulouse, Midi-Pyrenees, France",Delair enables enterprises to digitize and analyze their assets to extract powerful business insights.,"19,172"
DeGirum,https://www.crunchbase.com/organization/degirum-3861,"Artificial Intelligence (AI), Machine Learning, Software","Santa Clara, California, United States",DeGirum is an AI solutions company developing HW and SW infrastructure to accelerate adoption of AI applications at the edge.,"19,338"
Incepto Medical,https://www.crunchbase.com/organization/incepto-medical,"Artificial Intelligence (AI), Health Care, Information Services, Information Technology, Medical, Medical Device","Paris, Ile-de-France, France",Incepto Medical is a Medical imaging solution based on artificial intelligence,"19,385"
8i,https://www.crunchbase.com/organization/8i,"3D Technology, Computer, Machine Learning, Service Industry, Software, Virtual Reality","Los Angeles, California, United States",8i is a Software Development Company.,"19,487"
Appnomic,https://www.crunchbase.com/organization/appnomic,"Analytics, Application Performance Management, Artificial Intelligence (AI), Cloud Computing, Enterprise Software, Machine Learning, Predictive Analytics, SaaS, Software","Cupertino, California, United States",Appnomic is the pioneer in Self Healing Enterprise solutions and Autonomous IT Operations .,"19,530"
Leapstack,https://www.crunchbase.com/organization/leapstack,"Artificial Intelligence (AI), Big Data, Financial Services, Health Insurance, Insurance, InsurTech, Machine Learning","Shanghai, Shanghai, China",Leapstack is a technology company that provides health insurance operations and risk control system solutions.,"19,534"
Stargo,https://www.crunchbase.com/organization/stargo,"Artificial Intelligence (AI), B2B, Enterprise Software, FinTech, Freight Service, Machine Learning, Payments, SaaS, Shipping, Supply Chain Management","Ra'anana, HaMerkaz, Israel","Our innovative AI engine transforms unstructured information into structured data, optimizing pricing, and automate shipment, in one click.","19,549"
MindRank AI,https://www.crunchbase.com/organization/mindrank-ai,"Artificial Intelligence (AI), Biotechnology, Health Care, Pharmaceutical, Precision Medicine","Shanghai, Shanghai, China",MindRank is a clinical stage AI-powered drug discovery company.,"19,693"
Lexer,https://www.crunchbase.com/organization/lexer,"Analytics, Big Data, Business Intelligence, Data Integration, Digital Marketing, Marketing Automation, Predictive Analytics, SaaS","Saint Kilda, Victoria, Australia",Lexer provide an enriched customer view & the tools to genuinely understand & engage with customers at every stage of the customer journey.,"19,780"
Yihang.ai,https://www.crunchbase.com/organization/yihang-ai,"Artificial Intelligence (AI), Autonomous Vehicles, Consumer Applications, Machine Learning, Manufacturing, Product Research, Software, Space Travel, Transportation","Changchun, Jilin, China",Yihang.ai manufactures autonomous driving systems.,"19,797"
Atama plus,https://www.crunchbase.com/organization/atama-plus,"Artificial Intelligence (AI), EdTech, Education, Information Technology","Tokyo, Tokyo, Japan","Atama plus is an edtech startup that offers AI-based personalized learning programs for elementary, middle and high school students.","19,815"
Actium Health,https://www.crunchbase.com/organization/symphonyrm,"Artificial Intelligence (AI), Consumer, CRM, Data Storage, Health Care, Machine Learning, Software","Palo Alto, California, United States",Actium provides consumer engagement utilizing health-system data intelligence.,"19,824"
JurisTech,https://www.crunchbase.com/organization/juristech,"Artificial Intelligence (AI), Banking, Financial Services, FinTech, Machine Learning, Software","Kuala Lumpur, Kuala Lumpur, Malaysia","Loan Origination, Debt Collection, AI powered early warning systems, enterprise solutions for banks.","19,930"
Pretto,https://www.crunchbase.com/organization/pretto,"Artificial Intelligence (AI), FinTech, Internet","Paris, Ile-de-France, France",Pretto is making mortgages simple thanks to artificial intelligence and product design.,"20,086"
Nextech AR Solutions,https://www.crunchbase.com/organization/nextech-ar-solutions,"3D Technology, Advertising, Artificial Intelligence (AI), Augmented Reality, E-Commerce, Geospatial, Mapping Services, Metaverse, Software","Toronto, Ontario, Canada","Nextech AR Solutions is a publicly traded Metaverse company, specializing in augmented reality solutions, spatial mapping and 3D models.","20,146"
PreIPO.com,https://www.crunchbase.com/organization/preipo-corporation,"Artificial Intelligence (AI), Finance, FinTech, Information Technology, SaaS","Boca Raton, Florida, United States",Digital marketplace for private securities that bring buyers and sellers together in real-time.,"20,168"
Rubikloud,https://www.crunchbase.com/organization/rubikloud,"Artificial Intelligence (AI), Big Data, Cloud Data Services, Internet, Machine Learning, Retail, Retail Technology, Software","Toronto, Ontario, Canada",Rubikloud uses AI to deliver intelligent decision automation to enterprise retailers through its cloud-native platform.,"20,354"
AllyO,https://www.crunchbase.com/organization/allyo,"Artificial Intelligence (AI), Human Resources, Machine Learning, Natural Language Processing, Recruiting, SaaS","Palo Alto, California, United States","AllyO tackles workplace engagement challenges, from hi to goodbye through the world's first AI powered HR Communications Platform.","20,568"
Reef Finance,https://www.crunchbase.com/organization/reef-finance,"Artificial Intelligence (AI), Finance, Financial Services, Trading Platform","London, England, United Kingdom",Reef Finance is a DeFi platform that enables cross-chain integrations across various DeFi protocols.,"20,666"
FortressIQ,https://www.crunchbase.com/organization/fortressiq,"Artificial Intelligence (AI), Business Intelligence, Data Center Automation, Enterprise Software, Information Technology, Management Information Systems, Software","San Francisco, California, United States","FortressIQ defines security, insights, and governance in enterprise business automation and AI.","20,666"
HUINNO,https://www.crunchbase.com/organization/huinno-inc,"Artificial Intelligence (AI), Health Care, Hospital, Machine Learning, Mobile, Software, Wearables","Seoul, Seoul-t'ukpyolsi, South Korea","Combining the wearables tech and AI-based analytics to prevent chronic cardiac diseases including arrhythmia, stroke, and hypertension","20,817"
BondIT,https://www.crunchbase.com/organization/bondit,"Artificial Intelligence (AI), Finance, Financial Services, FinTech, Information Technology, Machine Learning","Herzliya, Tel Aviv, Israel",BondIT is an algorithm-advice solution for bond portfolio managers and advisers.,"20,946"
