Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,LinkedIn,Twitter,Hub Tags,Full Description,Investor Type,Investment Stage,Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Last Funding Date,Funding Status,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Investors,Number of Lead Investors,Number of Acquisitions,Acquisition Status,Growth Category,Last Leadership Hiring Date,Last Layoff Mention Date,Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies
InfoBionic,https://www.crunchbase.com/organization/infobionic,"Artificial Intelligence (AI), Biotechnology, Health Care, Health Diagnostics, Medical Device","Billerica, Massachusetts, United States",InfoBionic is the leading Virtual Telemetry Platform with connected devices manufactured in the US,"11,644","Greater Boston Area, East Coast, New England",01824,$10M to $50M,Active,2011-03-29,day,,,,,For Profit,http://infobionic.com,http://www.linkedin.com/company/infobionic,http://twitter.com/InfoBionic,,"InfoBionic transforms the efficiency and the economics of ambulatory remote patient monitoring processes and cardiac diagnostic services by optimizing clinical and real-world utility for the users that need it most – physicians and their patients. It has developed the MoMe System, a remote patient monitoring platform initially focused on cardiac arrhythmia detection, to improve clinical efficiency and patient care with any time, anywhere access to patient data.",,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",4,"Jeremy Ruskin, Michael Fahey, Nancy Briefs, Ravi Kuppuraj",11-50,12,2023-10-16,Late Stage Venture,57765436,USD,57765436,Series D,Series D,57765436,USD,57765436,149235166,USD,149235166,151440166,USD,151440166,"Mayo Clinic, Safeguard Scientifics, HealthTech Capital, Tech Coast Angels, LaunchPad Venture",22,1,,,Growing,,,0.3,0.6,2.4,9
Ascertain,https://www.crunchbase.com/organization/ascertain,"Artificial Intelligence (AI), Health Care, Medical","New York, New York, United States",Ascertain develops healthcare AI companies that improve quality and access to care and close health equity gaps.,"12,025","Greater New York Area, East Coast, Northeastern US",10010,,Active,2022-01-01,year,,,,,For Profit,https://ascertain.com,https://www.linkedin.com/company/ascertain-ai,,,"Ascertain is a revolutionary new partnership between Northwell Health, New York’s largest healthcare provider, and Aegis Ventures, a dynamic startup studio. This unique partnership assembles leading medical, technology, and business resources to create a first-of-its-kind company creation platform for healthcare innovation to address healthcare’s most challenging quality, equity, and cost problems. Ascertain creates companies that improve quality of care, patient experience, and long-standing health, placing patient needs at the center of every business model, technology solution, and product.",,,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",2,"John Beadle, Mark Michalski",11-50,2,2024-03-28,,7378191,USD,7378191,Venture - Series Unknown,Venture - Series Unknown,7378191,USD,7378191,107378191,USD,107378191,107378191,USD,107378191,"Northwell Health, Aegis Ventures",2,,,,Growing,,,-0.3,-0.7,4.5,7
Cambridge Quantum Computing,https://www.crunchbase.com/organization/cambridge-quantum-computing-limited,"Artificial Intelligence (AI), Computer, Enterprise Software, Quantum Computing","Cambridge, Cambridgeshire, United Kingdom",CQCL develops tools for the commercialisation of quantum computers by understanding quantum protocols and also quantum algorithms.,"12,094","Europe, Middle East, and Africa (EMEA)",CB2 1UB,$1M to $10M,Active,2014-01-01,year,2021-11-30,day,,,For Profit,http://cambridgequantum.com,https://www.linkedin.com/company/cambridge-quantum-computing-limited,https://twitter.com/cquantumc,,"CQCL develops tools for the commercialisation of quantum computers by understanding quantum protocols and also quantum algorithms. In the coming period as quantum devices become more prevalent, the focus of CQCL's activity is the development of algorithms and source code.",,,"Artificial Intelligence (AI), Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",1,Ilyas Khan,101-250,7,2020-12-08,M&A,45000000,USD,45000000,Venture - Series Unknown,Venture - Series Unknown,45000000,USD,45000000,72800000,USD,72800000,72800000,USD,72800000,"IBM Ventures, JSR, Honeywell Ventures, Serendipity Capital, Alvarium",5,1,,Was Acquired,Growing,2021-01-06,,-0.2,0.6,-0.9,16
Rive,https://www.crunchbase.com/organization/kodit-io,"Artificial Intelligence (AI), Real Estate","Helsinki, Southern Finland, Finland",Rive is building the world’s most accurate AI-powered real estate platform to make buying and selling homes fast and simple.,"12,227","European Union (EU), Nordic Countries, Scandinavia",00180,,Active,2017-06-01,month,,,,,For Profit,https://rivehomes.com/,https://www.linkedin.com/company/rivehomes/,https://twitter.com/rivehomes,,"Rive is redefining how people buy, sell, and rent homes. Rive brings simplicity to switching homes by providing liquidity to sellers and fully renovated, move-in-ready homes for buyers while providing real estate agents with a unique combination of tech tools and products to give superior service to their customers. As a result, our customers have access to everything they need for a successful real estate transaction, from cutting-edge real-time market insights to renovation services delivered by local real estate professionals who guide them at every step. ‘Rive’ means leading edge and groundbreaking, just like the idea Rive was founded on: that selling homes should be simple and stress-free. To make this a reality, the Rive platform brings together all the different solutions that you need to change your life and property.  Since we started in 2017, we have grown from a local iBuyer into a team of more than 300 real estate professionals in Finland, Spain, and Poland, and expanded our offering into a full-service real estate platform that provides a range of solutions for selling, buying, renovating, and financing your home.  Rive is headquartered in Helsinki and is operating in all the major cities in Finland as well as Warsaw, Poland, and Madrid and Barcelona, Spain.  Rive service concept is developed by Homerun Technologies Ltd. You can find more about us: www.rivehomes.com",,,"Artificial Intelligence (AI), Data and Analytics, Real Estate, Science and Engineering, Software",3,"Kalle Salmi, Martti Suomela, Nico Rotstein",51-100,9,2023-04-19,Seed,,,,Pre-Seed,Pre-Seed,,,,127700000,EUR,145857615,136700000,EUR,155905622,"Schibsted, All Iron Ventures, Fuel Venture Capital, Business Finland, Icebreaker.vc",13,7,1,Made Acquisitions,,,,-0.4,-1,-0.4,5
PuduTech,https://www.crunchbase.com/organization/pudutech,"Artificial Intelligence (AI), Catering, Industrial Automation, Robotics, Service Industry","Shenzhen, Guangdong, China","PuduTech uses artificial intelligence to build autonomous delivery robots for the home care, food service, and catering industries.","12,483",Asia-Pacific (APAC),,$10M to $50M,Active,2016-01-01,year,,,,,For Profit,https://ritahazan.id/job/?Kw=spg188,https://www.linkedin.com/company/pudu/,https://twitter.com/PuduRobotics?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,"PuduTech takes catering industry as an entry point, and helps this traditional industry catch the first tide of Artificial Intelligence Era. They powers catering clients with robots to restructure their work flow, such as facilitating intelligent management, effective operation and standardized servicing. To liberate the attendants from laborious work, and let the robots do the job, is the mission of PuduTech.",,,"Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Hardware, Manufacturing, Other, Science and Engineering, Software",1,Tao Zhang,1001-5000,9,2023-05-05,Late Stage Venture,,,,Series C,Series C,,,,199240673,USD,199240673,199240673,USD,199240673,"Meituan, Tencent, Sequoia Capital China, Puhua Capital, Shenzhen Investment Holdings",10,7,,,Growing,,,0.1,1.5,1.8,16
NVIDIA,https://www.crunchbase.com/organization/nvidia,"Artificial Intelligence (AI), GPU, Hardware, Software, Virtual Reality","Santa Clara, California, United States","NVIDIA is a computing platform company operating at the intersection of graphics, HPC, and AI.","12,538","San Francisco Bay Area, Silicon Valley, West Coast",95050,$10B+,Active,1993-01-01,year,1999-01-29,day,,,For Profit,https://www.nvidia.com,https://www.linkedin.com/company/nvidia,https://www.twitter.com/nvidia,,"NVIDIA is a computing platform company, innovating at the intersection of graphics, HPC, and AI. The company specializes in the manufacture of graphics-processor technologies for workstations, desktop computers, and mobile devices. The company is a major supplier of integrated circuits used for personal computer motherboard chipsets, graphics processing units (GPUs), and game consoles. Founded in 1993, NVIDIA is headquartered in Santa Clara, California.",,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Science and Engineering, Software",3,"Chris Malachowsky, Curtis Priem, Jensen Huang",10001+,6,2023-05-09,IPO,5000000,USD,5000000,Grant,Post-IPO Equity,65000000,USD,65000000,4065000000,USD,4065000000,4095000000,USD,4095000000,"Sequoia Capital, ARK Investment Management, DARPA, ARPA-E, SoftBank Vision Fund",7,5,25,Made Acquisitions,Growing,2023-06-26,,1.1,1.9,-9.4,4
Tawal,https://www.crunchbase.com/organization/tawal,"Information and Communications Technology (ICT), Infrastructure, Predictive Analytics, Telecommunications","Riyadh, Ar Riyad, Saudi Arabia","Tawal design, build and manage integrated ICT infrastructure that enables clients to minimize expenses and achieve efficiency.","12,595","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",13315,$1M to $10M,Active,2019-04-01,day,,,,,For Profit,https://tawal.com.sa,https://www.linkedin.com/company/tawal-ksa,https://twitter.com/tawal_ksa,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Other, Software",,,501-1000,1,2023-08-27,,1420000000,USD,1420000000,Debt Financing,,,,,,,,1420000000,USD,1420000000,"First Abu Dhabi Bank, Saudi National Bank, Dubai Islamic Bank",3,1,1,Made Acquisitions,Growing,,,0,0.7,2.3,
SymphonyAI Sensa,https://www.crunchbase.com/organization/ayasdi,"Analytics, Artificial Intelligence (AI), Finance, Financial Services, FinTech, Machine Learning","Palo Alto, California, United States",Empowering financial institutions with future-proof financial crime detection.,"12,908","San Francisco Bay Area, Silicon Valley, West Coast",94304,$10M to $50M,Active,2008-01-01,year,2019-04-01,month,,,For Profit,http://www.symphonysensa.com,http://www.linkedin.com/company/symphonysensa,http://twitter.com/Sensa_AI,,"SymphonyAI Sensa provides unsurpassed crime detection services to financial institutions worldwide. Powered by a proprietary combination of advanced AI and machine learning, Sensa discovers criminal activity routinely unseen by other detection systems. Customers have achieved up to an 81x risk-to-alert ratio improvement, 263% increase in SARs and as much as a 77% reduction in false positives. Coupled with predictive insights, operational efficiencies are gained by identifying genuine anomalies from the customers’ current data set. Sensa is user-friendly and delivers fully explainable results to satisfy regulators. Learn more at www.symphonysensa.com, LinkedIn or Twitter.",,,"Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",3,"Gunnar Carlsson, Gurjeet Singh, Harlan Sexton",51-100,7,2015-03-25,M&A,55000000,USD,55000000,Series C,Series C,55000000,USD,55000000,106348982,USD,106348982,106348982,USD,106348982,"Floodgate, GE Ventures, Citi Ventures, DNX Ventures, Khosla Ventures",9,4,,Was Acquired,Growing,,,0,0,3.1,140
HashCash Consultants,https://www.crunchbase.com/organization/hashcash-consultants,"Artificial Intelligence (AI), Blockchain, Cryptocurrency, FinTech, Internet, Smart Contracts, Software","Palo Alto, California, United States","HashCash Consultants is a software company that offers blockchain, AI, big data, and IoT products.","13,272","San Francisco Bay Area, Silicon Valley, West Coast",94303,$1M to $10M,Active,2015-01-01,year,,,,,For Profit,https://www.hashcashconsultants.com,https://www.linkedin.com/company/hashcash-consultants/,https://twitter.com/hashcashadmin,,"HashCash is a global software company offering solutions in Blockchain, AI, Big Data and IoT through its platforms, products & services. HashCash Blockchain products enable enterprises to move assets across borders in real-time for Remittances, Trade Finance, Payment Processing and more. HashCash runs US-based digital asset exchange, PayBito & Digital asset payment processor, BillBitcoins. HashCash offers Exchange solutions, Payment processor software, ICO services and customized Blockchain use case development. It propels advancement in technology through Blockchain1o1 programs and its investment arm, Satoshi Angels. HashCash solves the toughest challenges by executing innovative digital transformation strategies for clients around the world.",,,"Artificial Intelligence (AI), Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Internet Services, Other, Payments, Science and Engineering, Software",1,Raj Chowdhury,101-250,3,2017-09-04,Early Stage Venture,125000000,USD,125000000,Series B,Series B,125000000,USD,125000000,150000000,USD,150000000,150000000,USD,150000000,,,,3,Made Acquisitions,,,,-0.1,-0.2,-0.1,119
Cloudwise,https://www.crunchbase.com/organization/cloudwise,"Artificial Intelligence (AI), Cloud Computing, DevOps, Software","Beijing, Beijing, China","Founded in 2009, Cloudwise is a leading full-stack Artificial Intelligence for IT Operations (AIOps) solution provider in China.","13,405",Asia-Pacific (APAC),,$10M to $50M,Active,2009-01-01,year,,,,,For Profit,https://www.cloudwise.sg,https://www.linkedin.com/company/cloudwise-beijing-technology-co.-ltd./,https://twitter.com/Cloudwise02,,"Founded in 2009, Cloudwise is a leading full-stack Artificial Intelligence for IT Operations (AIOps) solution provider in China. With the mission of “Make Digital Online”, the company developed an industrial landscape including IT operations, electric power IT operations, and IoT operations, covering fields such as ITOM, ITOA, ITSM, DevOps and IoT, after years of independent R&D.  The company is headquartered in Beijing, with three R&D centers in Beijing, Yanjiao and Zhengzhou, three operation centers in Shanghai, Guangzhou and Chengdu, as well as branches in Hong Kong, Singapore, Thailand and Malaysia. Its marketing services and technical support cover the entire China and the Southeast Asia market.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Internet Services, Science and Engineering, Software",2,"Andy Yin, Bin Tan",51-100,8,2021-07-22,Late Stage Venture,150000000,USD,150000000,Series E,Series E,150000000,USD,150000000,301000000,USD,301000000,301000000,USD,301000000,"Sequoia Capital China, Alpha Square Group, SIG China (SIG Asia Investments), WestSummit Capital, FutureX Capital",18,10,,,,,,0,2.1,3.1,10
Orbbec,https://www.crunchbase.com/organization/orbbec,"Artificial Intelligence (AI), Information Technology, Robotics","Shenzhen, Guangdong, China","The Orbbec mission is to create intelligent technologies for every human, everywhere through 3D image sensors and smart cameras.","13,443",Asia-Pacific (APAC),518100,$10M to $50M,Active,2013-01-01,year,,,,,For Profit,http://www.orbbec3d.com/,https://www.linkedin.com/company/%E6%B7%B1%E5%9C%B3%E5%A5%A5%E6%AF%94%E4%B8%AD%E5%85%89%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/,https://www.twitter.com/orbbec,Unicorn,"Orbbec is formed by a group of top level 3D vision and artificial intelligence specialists. Orbbec is a developer and supplier of 3D motion sensor. they need more than the ability to make sense of the world around them—they need to see the world in 3D. And for intelligent computing to flourish, excellent 3D cameras that are affordably priced and universally available will be a necessity. They believe that in the future, it will be hard to remember a time when computers didn’t have 3D cameras.",,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Science and Engineering, Software",5,"Brad Long Liu, Huang Yuanhao, Joshua Blake, Luke Xiaolu Mei, Zhenzhong Xiao",501-1000,1,2018-05-21,Late Stage Venture,200000000,USD,200000000,Series D,Series D,200000000,USD,200000000,200000000,USD,200000000,200000000,USD,200000000,"Ant Group, SAIF Partners, Fosun RZ Capital, Green Pine Capital Partners, Haitong Capital",8,1,,,,,,1.4,3.1,3,37
EverString,https://www.crunchbase.com/organization/everstring,"Marketing, Predictive Analytics, SaaS, Software","San Mateo, California, United States",EverString is a provider of a cloud-based predictive analytics platform used for companies to identify and engage with customer prospects.,"13,474","San Francisco Bay Area, Silicon Valley, West Coast",94404,$1M to $10M,Closed,2012-01-01,year,2020-11-05,day,2020-11-05,day,For Profit,https://www.everstring.com,https://www.linkedin.com/company/everstring-technology/,https://twitter.com/EverString,,"EverString is a provider of a cloud-based SaaS predictive analytics platform used for companies to identify and engage with customer prospects. Its platform provides predictive scoring, demand generation, and advertisement targeting that enable clients to build a new pipeline and increase conversion rates easily. The company's AI SaaS solution is designed for B2B sales and marketing professionals to drive pipeline growth, help close new customers, expand into new markets, prioritize accounts, and provide actionable insights.",,,"Artificial Intelligence (AI), Data and Analytics, Sales and Marketing, Software",2,"J.J. Kardwell, Vincent Yang",51-100,4,2015-10-13,M&A,65000000,USD,65000000,Series B,Series B,65000000,USD,65000000,78700000,USD,78700000,78700000,USD,78700000,"Sequoia Capital China, Sequoia Capital, Lakestar, DHVC, ZhenFund",11,1,,Was Acquired,,,,-0.4,-0.1,0.7,2
BlackThorn Therapeutics,https://www.crunchbase.com/organization/blackthorn-therapeutics,"Artificial Intelligence (AI), Biotechnology, Health Care, Therapeutics","San Francisco, California, United States",BlackThorn Therapeutics is a clinical-stage neurobehavioral health company pioneering the next generation of artificial intelligence.,"13,589","San Francisco Bay Area, West Coast, Western US",94103,$1M to $10M,Closed,2015-01-01,year,,,,none,For Profit,http://www.blackthornrx.com/,https://www.linkedin.com/company/blackthorn-therapeutics/,https://twitter.com/blackthornrx,,"BlackThorn Therapeutics operator of a clinical-stage biopharmaceutical company intended to develop precision medicine for disorders of the central nervous system (CNS) based on advances in computational and clinical neuroscience. The company leverages a deep understanding of brain and behavior relationships that seeks to overcome historic challenges in drug discovery and development by targeting dysfunctional brain circuits. Its proprietary computational platform, the company seeks to identify novel targets, small molecule drug candidates and biologically-based patient subgroups most likely to respond to treatment.",,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",3,"Alex Tkachenko, Bill Martin, Ed Roberts",11-50,4,2019-06-13,Early Stage Venture,76000000,USD,76000000,Series B,Series B,76000000,USD,76000000,130000000,USD,130000000,138000000,USD,138000000,"Alexandria Real Estate Equities, The Scripps Research Institute, Polaris Partners, Mercury, Alexandria Venture Investments",14,4,,,,,,-0.4,-0.5,1.8,5
DeepL,https://www.crunchbase.com/organization/linguee,"Artificial Intelligence (AI), Generative AI, Machine Learning, Software, Translation Service","Cologne, Nordrhein-Westfalen, Germany",DeepL is a deep-learning company that specializes in language translation.,"13,640","European Union (EU), Europe, Middle East, and Africa (EMEA)",50670,,Active,2017-01-01,year,,,,,For Profit,http://www.deepl.com,https://www.linkedin.com/company/linkedin-com-company-deepl,https://www.twitter.com/deeplcom,Unicorn,"DeepL is a deep learning company using artificial intelligence (AI) and machine learning (ML) for several language translation products, such as the bilingual dictionary Linguee or the machine translation service DeepL. The company was founded in 2009 and is based in Cologne, Germany.",,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",1,Jaroslaw Kutylowski,501-1000,5,2024-05-22,Late Stage Venture,300000000,USD,300000000,Series C,Series C,300000000,USD,300000000,400000000,USD,400000000,400000000,USD,400000000,"ICONIQ Growth, WiL (World Innovation Lab), Teachers’ Venture Growth, Bessemer Venture Partners, Benchmark",9,4,,,Growing,,,0,5,3.5,6
Cyclone Robotics,https://www.crunchbase.com/organization/cyclone-robotics,"Artificial Intelligence (AI), Industrial Automation, Robotic Process Automation (RPA), Robotics, Software","Shanghai, Shanghai, China",Cyclone Robotics is a provider of Robotic process automation (RPA) software and solutions.,"13,706",Asia-Pacific (APAC),,$100M to $500M,Active,2015-06-01,day,,,,,For Profit,http://www.cyclone-robotics.com,https://www.linkedin.com/company/cyclone-robotics,,,"Cyclone Robotics is committed to building the strongest digital employee software products in China, providing enterprises with digital labor with artificial intelligence, which helps enterprises improve business operation efficiency and quality, and significantly reduce personnel costs and system construction costs. The company's main business is to develop and sell artificial intelligence software products with independent copyright and intellectual property rights - digital employees, and provide industry integrated solutions for industry users. In the fields of finance, insurance, retail, medical, science and technology, Hongsheng Information is the first company in China to launch industry solutions based on “digital employee” products, and these programs are in a large state-owned bank, a foreign-owned home appliance company, and some Listed technology companies, a car retail leader have been practiced and applied, and won the general praise of customers.",,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Manufacturing, Science and Engineering, Software",1,Yuguang Vincent Gao,501-1000,4,2023-08-03,Late Stage Venture,40000000,USD,40000000,Series C,Series C,40000000,USD,40000000,231443960,USD,231443960,231443960,USD,231443960,"DCM Ventures, Goldman Sachs, Source Code Capital, Matrix Partners China, Matrix",11,5,,,Growing,,,1.4,0.5,1.9,21
Avia Solutions Group,https://www.crunchbase.com/organization/avia-solutions-group,"Aerospace, Air Transportation, Consulting, Fleet Management, Freight Service, Intelligent Systems, Leasing, Training","Dublin, Dublin, Ireland","Avia Solutions Group, the world's largest ACMI provider with 192 aircraft, offers diverse aviation services across 68 countries.","13,757","European Union (EU), Europe, Middle East, and Africa (EMEA)",D18 FT0C,$500M to $1B,Active,2010-01-01,year,,,,,For Profit,https://aviasg.com,https://www.linkedin.com/company/avia-solutions-group,https://twitter.com/aviasg,,"Avia Solutions Group is the world’s largest ACMI (Aircraft, Crew, Maintenance, and Insurance) provider, with a fleet of 192 aircraft. The group also provides a range of aviation services including MRO (Maintenance, Repair, and Overhaul), pilot and crew training, ground handling, as well as a variety of associated services. Supported by 11,500 highly skilled aviation professionals, the group operates in 68 countries worldwide.",,,"Artificial Intelligence (AI), Data and Analytics, Education, Financial Services, Professional Services, Science and Engineering, Transportation",1,Gediminas Ziemelis,10001+,2,2024-05-15,Private Equity,300000000,USD,300000000,Debt Financing,Private Equity,300000000,EUR,354344799,300000000,EUR,354344799,654344799,USD,654344799,Certares,1,1,2,Made Acquisitions,Growing,,,0.7,4.6,1.3,11
Lantern Pharma,https://www.crunchbase.com/organization/lantern-pharma,"Artificial Intelligence (AI), Biopharma, Biotechnology, Oncology, Pharmaceutical, Therapeutics","Dallas, Texas, United States","Lantern Pharma is a clinical stage biopharma company developing precision oncology therapies leveraging A.I., machine learning, and genomics","13,921","Dallas/Fort Worth Metroplex, Southern US",75201,$1M to $10M,Active,2013-01-01,year,2020-06-11,day,,,For Profit,http://www.lanternpharma.com/,https://www.linkedin.com/company/6448846/,https://www.twitter.com/lanternpharma,,"Lantern Pharma, Inc. is a clinical stage pharmaceutical company developing new classes of precision cancer drugs with novel mechanisms of action. Lantern also rescues and revitalizes abandoned or failed cancer drugs using machine learning techniques, genomic data and precision oncology trials. Lantern Pharma recognizes that the high cost and low success rates in oncology drug development largely stem from the inability to appropriately stratify patient populations prior to enrollment, and also from the inability to fully elucidate mechanisms of action that can suggest potent therapy combinations. Our approach, which  leverages our RADR™ platform helps to provide rapid, meaningful insight to both of these central problems in oncology. Lantern is focused on accelerating personalized cancer therapy development through the use of AI and genomic-based patient stratification.",,,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",3,"Arun Asaithambi, Panna Sharma, Peter Nara",11-50,7,2021-01-14,IPO,60000000,USD,60000000,Post-IPO Secondary,Undisclosed,26250000,USD,26250000,34180000,USD,34180000,94980000,USD,94980000,"Health Wildcatters, Green Park & Golf Ventures, Bios Partners",3,1,,,Growing,,,-0.2,-0.8,-0.5,8
Gong,https://www.crunchbase.com/organization/gong-io,"Artificial Intelligence (AI), CRM, Enterprise Software, Information Technology, Machine Learning, Sales, Software","San Francisco, California, United States",Gong unlocks reality to help people and companies reach their full potential.,"13,957","San Francisco Bay Area, West Coast, Western US",94103,Less than $1M,Active,2015-01-01,year,,,,,For Profit,https://www.gong.io,https://www.linkedin.com/company/gong-io,https://www.twitter.com/gong_io,Unicorn,"Gong enables revenue teams to realize their fullest potential by unveiling their customer reality.  The patented Gong Revenue Intelligence Platform™ captures and understands every customer interaction, then delivers insights at scale, empowering revenue teams to make decisions based on data instead of opinions.  Over 2,000 innovative companies like LinkedIn, MuleSoft, Paychex, PayPal, Shopify, Slack, Sprout Social, Twilio, and Zillow trust Gong to power their customer reality. With Gong, customers experience improved win rates, increased deal sizes, and accelerated employee ramp-times.  Gong is a private company headquartered in the San Francisco Bay Area.",,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",2,"Amit Bendov, Eilon Reshef",1001-5000,8,2022-07-01,Late Stage Venture,,,,Secondary Market,Series E,250000000,USD,250000000,583000000,USD,583000000,583000000,USD,583000000,"Thrive Capital, Franklin Templeton, Sequoia Capital, Wing Venture Capital, Cisco Investments",14,7,3,Made Acquisitions,,2024-05-15,2023-02-09,0,0.8,0,8
Wayve,https://www.crunchbase.com/organization/wayve-9739,"Artificial Intelligence (AI), Autonomous Vehicles, Electric Vehicle, Machine Learning","London, England, United Kingdom",Wayve is a developer of Embodied AI technology for automated driving.,"14,186","Europe, Middle East, and Africa (EMEA)",,$1M to $10M,Active,2017-01-01,year,,,,,For Profit,https://wayve.ai,https://www.linkedin.com/company/wayve-technologies,https://twitter.com/wayve_ai,Unicorn,"Wayve develops a full autonomous driving system for autonomous vehicles. It uses end-to-end deep learning to create artificial intelligence capable of complex driving, which can scale across diverse urban environments. Founded in 2017, Wayve operates a fleet of electric vehicles fitted for autonomous operation and technology development. It is headquartered in London, United Kingdom.",,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software, Transportation",2,"Alex Kendall, Amar Shah",101-250,7,2024-05-07,Late Stage Venture,1050000000,USD,1050000000,Series C,Series C,1050000000,USD,1050000000,1307218445,USD,1307218445,1307218445,USD,1307218445,"SoftBank, NVIDIA, Ocado Group, Baillie Gifford, Tiny VC",33,7,,,Growing,2023-11-29,,-0.1,-0.2,6.5,10
WEKA,https://www.crunchbase.com/organization/weka-io,"Artificial Intelligence (AI), Cloud Storage, Data Center, Data Management, Information Technology, Software","Campbell, California, United States","WEKA is a global data platform company that delivers a cloud-native, software-based data platform for AI & next-generation workloads","14,304","San Francisco Bay Area, Silicon Valley, West Coast",95008,$10M to $50M,Active,2013-11-26,day,,,,,For Profit,http://www.weka.io,https://www.linkedin.com/company/weka-io,https://twitter.com/wekaio,Unicorn,"WEKA is the AI-native data platform company that is setting the standard for AI infrastructure with the industry’s only cloud and hardware-agnostic software solution for performance-intensive applications. The WEKA® Data Platform delivers unprecedented performance at scale, transforming stagnant data silos into dynamic data pipelines that help enterprise AI, ML, and GPU workloads run faster and more efficiently and providing seamless data access on-premises, in the cloud, at the edge, and in hybrid and multicloud environments. WEKA helps hundreds of the world’s leading enterprises and preeminent research organizations overcome complex data challenges to reach discoveries, insights, and outcomes faster – including 11 of the Fortune 50.",,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Information Technology, Internet Services, Science and Engineering, Software",3,"Liran Zvibel, Maor BenDayan, Omri Palmon",251-500,6,2024-05-15,Late Stage Venture,140000000,USD,140000000,Series E,Series E,140000000,USD,140000000,415100000,USD,415100000,415100000,USD,415100000,"Seagate Technology, NVIDIA, Qualcomm Ventures, Qualcomm, Hewlett Packard Enterprise",25,5,,,,2024-01-24,,0,4.9,3.9,14
Blue Yonder,https://www.crunchbase.com/organization/blue-yonder,"Analytics, Artificial Intelligence (AI), Big Data, Predictive Analytics, Software","Karlsruhe, Baden-Wurttemberg, Germany",Blue Yonder is the leading provider of cloud-based predictive applications for retail.,"14,567","European Union (EU), Europe, Middle East, and Africa (EMEA)",76149,$1B to $10B,Active,2008-01-01,year,2018-07-02,day,,,For Profit,https://blueyonder.com,https://www.linkedin.com/company/blueyondergmbh/,https://twitter.com/byanalytics,,Blue Yonder combines brilliant software engineering with world-class data science and a unique cloud-based platform for predictive applications. They have numerous projects that offer their customers predictive analytics solutions for optimal decision-making – automated and in real time.,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",1,Michael Feindt,101-250,1,2014-12-16,M&A,75000000,USD,75000000,Private Equity,Private Equity,75000000,USD,75000000,75000000,USD,75000000,75000000,USD,75000000,Warburg Pincus,1,,,Was Acquired,,,,-0.2,-0.1,-0.1,39
