Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Number of Funding Rounds,Funding Status,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Organization Revenue Range,Organization Website,Organization Location,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Seed Round - 9fin,https://www.crunchbase.com/funding_round/9fin-seed--1550f462,9fin,https://www.crunchbase.com/organization/9fin,Seed,700000,USD,700000,2017-10-31,Seed,1980000,USD,1980000,Yes,"The leading data, news and predictive analytics platform for debt capital markets","Analytics, Artificial Intelligence (AI), Financial Services, FinTech, Machine Learning",,5,Early Stage Venture,37164459,USD,37164459,$10M to $50M,https://9fin.com,"London, England, United Kingdom, Europe",AI Seed,"AI Seed, Michael Orland",2,,"307,384"
Angel Round - Shelfpix,https://www.crunchbase.com/funding_round/shelfpix-angel--59438485,Shelfpix,https://www.crunchbase.com/organization/shelfpix,Angel,1500000,USD,1500000,2017-01-01,Seed,12000000,BRL,3687266,Yes,Shelfpix is a retail performance provider startup company using Artificial Intelligence.,"Artificial Intelligence (AI), Computer, Computer Vision, Consumer Goods, E-Commerce, Fast-Moving Consumer Goods, Information Services, Information Technology, Retail, Retail Technology",,1,Seed,1500000,USD,1500000,$1M to $10M,http://www.shelfpix.com.br/en/home-eng/,"São Paulo, Sao Paulo, Brazil, South America",,,,,"470,518"
Grant - Clinc,https://www.crunchbase.com/funding_round/clinc-3-grant--84af1097,Clinc,https://www.crunchbase.com/organization/clinc-3,Grant,750000,USD,750000,2017-09-18,,,,,No,"Clinc is a conversational AI platform that enables enterprises to build human-in-the-room level, next-gen, virtual assistants.","Artificial Intelligence (AI), Machine Learning, Software",Women Founded,6,Early Stage Venture,60725000,USD,60725000,$1M to $10M,https://clinc.com,"Ann Arbor, Michigan, United States, North America",National Science Foundation,National Science Foundation,1,,"164,360"
Angel Round - Tanzhishuju.com,https://www.crunchbase.com/funding_round/tanzhishuju-com-angel--d8dd683c,Tanzhishuju.com,https://www.crunchbase.com/organization/tanzhishuju-com,Angel,3000000,CNY,452974,2017-10-17,Seed,,,,Yes,"Tanzhishuju.com focuses on data mining, data analysis and machine learning services.","Analytics, Artificial Intelligence (AI), Database, Machine Learning, Risk Management",,1,Seed,3000000,CNY,452974,,https://www.tanzhishuju.com,"Jingan, Shanghai, China, Asia",,Hongfan Capital,1,,"133,294"
Seed Round - Digitize.AI,https://www.crunchbase.com/funding_round/digitize-ai-seed--7a5ed47a,Digitize.AI,https://www.crunchbase.com/organization/digitize-ai,Seed,700000,USD,700000,2017-09-26,Seed,,,,Yes,"Digitize.AI is a healthcare-focused A.I. firm made for smarter, faster prior authorization, and utilization management.","Artificial Intelligence (AI), Health Care, Information Services, Information Technology, Machine Learning",,3,M&A,700000,USD,700000,Less than $1M,http://www.digitize.ai,"Charlotte, North Carolina, United States, North America",,,,,"140,398"
Venture Round - Ai Robotics,https://www.crunchbase.com/funding_round/ai-robotics-edf3-series-unknown--7caf6700,Ai Robotics,https://www.crunchbase.com/organization/ai-robotics-edf3,Venture - Series Unknown,150750000,JPY,1366004,2017-07-31,,,,,Yes,Ai Robotics provides EC support services to clients by utilizing AI technology.,"Artificial Intelligence (AI), Digital Marketing",,3,Late Stage Venture,1344727394,JPY,12920743,,https://ai-robotics.co.jp,"Tokyo, Tokyo, Japan, Asia",Allied Architects,Allied Architects,1,,"242,428"
Seed Round - Mendel.ai,https://www.crunchbase.com/funding_round/mendel-health-seed--6318b5d3,Mendel.ai,https://www.crunchbase.com/organization/mendel-health,Seed,2000000,USD,2000000,2017-07-01,Seed,,,,Yes,Advancing Clinical Research by Combining Machine Precision and Human Intuition,"Analytics, Artificial Intelligence (AI), Health Care, Life Science, Medical",Women Founded,9,Early Stage Venture,65400000,USD,65400000,$1M to $10M,https://mendel.ai/,"San Jose, California, United States, North America","BootstrapLabs, DCM Ventures","BootstrapLabs, DCM Ventures, IndieBio, LaunchCapital, SOSV",5,4,"589,876"
Series A - BasicFinder,https://www.crunchbase.com/funding_round/basicfinder-series-a--4b2986c0,BasicFinder,https://www.crunchbase.com/organization/basicfinder,Series A,10000000,CNY,1453154,2017-02-01,Early Stage Venture,,,,Yes,BasicFinder offers data annotation and software development services.,"Artificial Intelligence (AI), Information Technology, Software",,4,Early Stage Venture,33000000,CNY,4845996,$1M to $10M,https://www.basicfinder.com,"Beijing, Beijing, China, Asia",,"Formax, Jixing Capital, Topband",3,,"590,603"
Seed Round - StoryFit,https://www.crunchbase.com/funding_round/storyfit-seed--7b25aca4,StoryFit,https://www.crunchbase.com/organization/storyfit,Seed,1900000,USD,1900000,2017-07-01,Seed,,,,Yes,StoryFit utilizes the power of artificial intelligence in the hands of publishers and studios.,"Artificial Intelligence (AI), Computer, Machine Learning, Media and Entertainment, Software","Women Founded, Women Led",6,Early Stage Venture,13126075,USD,13126075,$1M to $10M,https://storyfit.com/,"Austin, Texas, United States, North America",LSC Communications,LSC Communications,1,,"591,612"
Seed Round - QANDA(Mathpresso),https://www.crunchbase.com/funding_round/mathpresso-seed--f3e7fd57,QANDA(Mathpresso),https://www.crunchbase.com/organization/mathpresso,Seed,1300000,USD,1300000,2017-09-01,Seed,,,,Yes,"QANDA(Mathpresso) develops QANDA, the world's leading personalized learning platform.","Artificial Intelligence (AI), EdTech, Education, Information Technology, Machine Learning, Q&A",,8,,112213217,USD,112213217,$1M to $10M,https://mathpresso.com/en,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",,"JB Investment, MegaStudyEdu",2,,"127,787"
Convertible Note - MiddleGate,https://www.crunchbase.com/funding_round/middlegate-convertible-note--20ad3c58,MiddleGate,https://www.crunchbase.com/organization/middlegate,Convertible Note,800000,USD,800000,2017-12-01,,,,,No,Hello; my name is Grace. I am the smartest Machine Intelligence to ever power medical billing. Never chase underpaid claims again.,"Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning",,4,Seed,2920000,USD,2920000,$10M to $50M,https://www.middlegate.ai/,"Portland, Oregon, United States, North America",,,,,"128,367"
Pre Seed Round - Synthesia,https://www.crunchbase.com/funding_round/synthesia-pre-seed--d8ba7817,Synthesia,https://www.crunchbase.com/organization/synthesia,Pre-Seed,1000000,USD,1000000,2017-10-01,Seed,,,,Yes,Synthesia offers an AI-powered video synthesis platform that enables businesses to generate personalized videos from plain text.,"Artificial Intelligence (AI), Content Creators, Generative AI, Software, Video, Video Editing",,5,Late Stage Venture,156600000,USD,156600000,Less than $1M,http://www.synthesia.io,"London, England, United Kingdom, Europe",,Mark Cuban,1,,"577,000"
Venture Round - Studio Ousia,https://www.crunchbase.com/funding_round/studio-ousia-series-unknown--49040aca,Studio Ousia,https://www.crunchbase.com/organization/studio-ousia,Venture - Series Unknown,150000000,JPY,1323682,2017-02-16,,,,,Yes,Studio Ousia develops advanced multilingual natural language AI. Our award-winning AI will accelerate your business.,"Artificial Intelligence (AI), Business Development, Machine Learning, Mobile, Software",,4,,3695676,USD,3695676,,http://www.ousia.jp,"Otemachi, Tokyo, Japan, Asia",Samsung Venture Investment,Samsung Venture Investment,1,,"577,113"
Seed Round - Unmanned Life,https://www.crunchbase.com/funding_round/unmanned-systems-ltd-seed--56e7a6fe,Unmanned Life,https://www.crunchbase.com/organization/unmanned-systems-ltd,Seed,1000000,USD,1000000,2017-12-15,Seed,,,,Yes,Unmanned Life is the leading software platform for seamless orchestration of autonomous robotics,"Artificial Intelligence (AI), Autonomous Vehicles, Drones, Industrial Automation, Machine Learning, Robotics, Software, Telecommunications",,9,Seed,4842062,USD,4842062,$1M to $10M,http://unmanned.life/,"London, England, United Kingdom, Europe",,,,,"577,162"
Grant - LBT Innovations Limited,https://www.crunchbase.com/funding_round/lbt-innovations-limited-grant--b561d16d,LBT Innovations Limited,https://www.crunchbase.com/organization/lbt-innovations-limited,Grant,2500000,USD,2500000,2017-12-07,,,,,No,Designer of platform AI and intelligent imaging technology for automated analysis of microbiology processes.,"Artificial Intelligence (AI), Clinical Trials, Health Care, Health Diagnostics, Medical Device",,2,IPO,6500000,USD,6500000,$1M to $10M,http://www.lbtinnovations.com/,"Adelaide, South Australia, Australia, Oceania",,,,,"577,247"
Seed Round - VideoKen,https://www.crunchbase.com/funding_round/videoken-seed--929b4dd7,VideoKen,https://www.crunchbase.com/organization/videoken,Seed,1000000,USD,1000000,2017-04-21,Seed,,,,Yes,VideoKen’s AI-based Video Interactivity solution,"Analytics, Artificial Intelligence (AI), Education, Internet, Machine Learning, Social",,2,Seed,1930000,USD,1930000,$1M to $10M,https://www.videoken.com,"Princeton, New Jersey, United States, North America",,"Ajay Lavakare, Ashish Agrawal, Chandrasekhar Gopalan, Hari Vasudev, Ravi Garikipati, Sashi Reddi, Surojit Chatterjee",7,,"577,541"
Pre Seed Round - Medius Health,https://www.crunchbase.com/funding_round/medius-health-pre-seed--74c9c5df,Medius Health,https://www.crunchbase.com/organization/medius-health,Pre-Seed,1200000,AUD,939232,2017-08-15,Seed,,,,Yes,"Medius uses AI for deeper health insights, empowering insurers to offer personalized plans, better risk prediction, & enhance profitability.","Artificial Intelligence (AI), Health Care, Health Diagnostics, Health Insurance, InsurTech, Life Insurance, Machine Learning, Software",,4,,5859000,AUD,4307538,$1M to $10M,http://mediushealth.org/,"Sydney, New South Wales, Australia, Oceania",Carthona Capital,Carthona Capital,1,,"577,680"
Venture Round - Luxurynsight,https://www.crunchbase.com/funding_round/luxurynsight-series-unknown--67b45986,Luxurynsight,https://www.crunchbase.com/organization/luxurynsight,Venture - Series Unknown,1000000,EUR,1162854,2017-11-01,,,,,Yes,"Luxurynsight is the strategic data SaaS platform for luxury, fashion, and beauty brands.","Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS",,2,Early Stage Venture,3050000,EUR,3449320,$1M to $10M,https://www.luxurynsight.com/,"Paris, Ile-de-France, France, Europe",,,,,"578,937"
Series A - Craft AI,https://www.crunchbase.com/funding_round/craft-ai-series-a--462dca77,Craft AI,https://www.crunchbase.com/organization/craft-ai,Series A,2000000,EUR,2105899,2017-01-01,Early Stage Venture,,,,Yes,The #1 MLOps platform,"Artificial Intelligence (AI), Developer APIs, Enterprise Software, Machine Learning, SaaS, Software",,4,,14500000,EUR,16100838,$10M to $50M,http://craft.ai,"Paris, Ile-de-France, France, Europe",Talis,Talis,1,,"161,420"
Seed Round - Bellgram,https://www.crunchbase.com/funding_round/bellgram-seed--d71bbdec,Bellgram,https://www.crunchbase.com/organization/bellgram,Seed,800000,USD,800000,2017-09-01,Seed,,,,Yes,Bellgram is a conversation assistant for modern businesses that helps business people to be more productive.,"Artificial Intelligence (AI), Enterprise Software, Productivity Tools, SaaS, Software",,1,Seed,800000,USD,800000,,https://bellgram.com/,"San Mateo, California, United States, North America",,"500 Global, Arzan Venture Capital, SGH CAPITAL",3,1,"161,470"
Series A - Rollbar,https://www.crunchbase.com/funding_round/rollbar-series-a--1798f8e3,Rollbar,https://www.crunchbase.com/organization/rollbar,Series A,2000000,USD,2000000,2017-10-23,Early Stage Venture,,,,Yes,"The continuous code improvement platform. Proactively discover, predict, and remediate errors with real-time AI-assisted workflows.","Analytics, Artificial Intelligence (AI), Developer Tools, Internet, Machine Learning, SaaS, Software",,6,Early Stage Venture,18457279,USD,18457279,$1M to $10M,https://rollbar.com,"San Francisco, California, United States, North America",Bain Capital Ventures,"Bain Capital Ventures, Cota Capital, Resolute Ventures",3,2,"161,629"
Seed Round - Prevision.io,https://www.crunchbase.com/funding_round/prevision-io-seed--de4cbed9,Prevision.io,https://www.crunchbase.com/organization/prevision-io,Seed,1500000,EUR,1749824,2017-11-13,Seed,,,,Yes,"Prevision's enterprise AI platform enables business users, data scientists, and developers to deliver AI apps with better ROI, faster.","Analytics, Artificial Intelligence (AI), Information Technology, Machine Learning, Predictive Analytics, SaaS",,2,M&A,7500000,EUR,8867321,$1M to $10M,https://www.prevision.io,"Puteaux, Ile-de-France, France, Europe",SNCF,"Bpifrance, Hi Inov - Dentressangle, SNCF",3,,"162,278"
Convertible Note - TrinityVR,https://www.crunchbase.com/funding_round/trinityvr-convertible-note--1b2a8d55,TrinityVR,https://www.crunchbase.com/organization/trinityvr,Convertible Note,615000,USD,615000,2017-04-27,,,,,No,"TrinityVR builds high-fidelity, data-driven virtual simulations to train, evaluate and identify human performance.","Artificial Intelligence (AI), Big Data, Broadcasting, eSports, Sports, Virtual Reality",,3,Seed,1875000,USD,1875000,$1M to $10M,http://www.trinityvr.com,"New York, New York, United States, North America",,,,,"162,359"
Seed Round - Ada,https://www.crunchbase.com/funding_round/ada-support-seed--da2683b5,Ada,https://www.crunchbase.com/organization/ada-support,Seed,2500000,USD,2500000,2017-07-20,Seed,,,,Yes,Ada is an automated customer experience company that provides chat bots used in customer support.,"Artificial Intelligence (AI), Chatbot, Intelligent Systems, Machine Learning, SaaS, Software",,7,Late Stage Venture,190620620,USD,190620620,$10M to $50M,https://www.ada.cx,"Toronto, Ontario, Canada, North America",Bessemer Venture Partners,"Bessemer Venture Partners, Two Small Fish Ventures, Version One Ventures",3,,"292,794"
Seed Round - Synapse Technology Corporation,https://www.crunchbase.com/funding_round/synapse-technology-corporation-seed--a042ebe0,Synapse Technology Corporation,https://www.crunchbase.com/organization/synapse-technology-corporation,Seed,2500000,USD,2500000,2017-08-27,Seed,,,,Yes,Synapse uses proprietary deep learning and computer vision systems to modernize the security and defense visual analysis field.,"Artificial Intelligence (AI), Computer Vision, Information Technology, Machine Learning, Military, National Security, Security, Software",,6,M&A,8500000,USD,8500000,$1M to $10M,https://www.synapsetechnology.com/,"Palo Alto, California, United States, North America",,Scout Ventures,1,,"584,269"
Pre Seed Round - Stage Intelligence,https://www.crunchbase.com/funding_round/stage-intelligence-pre-seed--b299fbc6,Stage Intelligence,https://www.crunchbase.com/organization/stage-intelligence,Pre-Seed,500000,GBP,647502,2017-09-01,Seed,,,,Yes,SAAS Micromobility solutions that delivers real-time intelligence.,"Artificial Intelligence (AI), Information Technology, SaaS, Software",,4,Seed,3100000,GBP,4394885,,https://stageintelligence.co.uk/,"London, England, United Kingdom, Europe",,,,,"280,169"
Seed Round - Prakshep,https://www.crunchbase.com/funding_round/prakshep-seed--7ac753c4,Prakshep,https://www.crunchbase.com/organization/prakshep,Seed,500000,USD,500000,2017-07-07,Seed,,,,Yes,"Prakshep offers data services for crop health monitoring and assessment using satellite imagery, machine learning, and big data analytics.","Analytics, Big Data, Health Care, Internet of Things, Machine Learning",,1,M&A,500000,USD,500000,$1M to $10M,http://www.prakshep.com/,"Bangalore, Karnataka, India, Asia",Kstart,Kstart,1,,"616,691"
Angel Round - Real Time Risk Solutions,https://www.crunchbase.com/funding_round/real-time-risk-solutions-angel--02dadef3,Real Time Risk Solutions,https://www.crunchbase.com/organization/real-time-risk-solutions,Angel,675000,USD,675000,2017-02-10,Seed,,,,Yes,Real Time Risk Solutions develops mobile risk management solutions.,"Android, Business Intelligence, Compliance, Data Visualization, Document Management, iOS, Mobile Apps, Predictive Analytics, Task Management",,7,Seed,2010000,USD,2010000,$1M to $10M,https://rtrs.co,"Chicago, Illinois, United States, North America",,,,,"585,126"
Pre Seed Round - CatchProbe,https://www.crunchbase.com/funding_round/catchprobe-pre-seed--4695623a,CatchProbe,https://www.crunchbase.com/organization/catchprobe,Pre-Seed,500000,USD,500000,2017-01-01,Seed,50000,USD,50000,Yes,CatchProbe is the world's leading technology company that developed the world's first AI-Driven SaaS-based centralized intelligence product.,"Analytics, Artificial Intelligence (AI), Big Data, Cyber Security, Information Technology, Intrusion Detection, Network Security, Risk Management, Software",,5,Seed,5000000,USD,5000000,,https://www.catchprobe.com,"San Francisco, California, United States, North America",,,,,"281,153"
Pre Seed Round - Ekkono Solutions,https://www.crunchbase.com/funding_round/ekkono-solutions-pre-seed--bc5413b2,Ekkono Solutions,https://www.crunchbase.com/organization/ekkono-solutions,Pre-Seed,7500000,SEK,929352,2017-10-10,Seed,,,,Yes,"Ekkono Solutions provide machine learning for IoT, which takes them from connected to smart.","Artificial Intelligence (AI), Internet, Internet of Things, Machine Learning",,7,,8490424,USD,8490424,$1M to $10M,http://ekkono.ai/,"Tvååker, Hallands Lan, Sweden, Europe",,Walerud Ventures,1,,"617,483"
Seed Round - Votee,https://www.crunchbase.com/funding_round/votee-seed--2ccf4ba2,Votee,https://www.crunchbase.com/organization/votee,Seed,500000,USD,500000,2017-04-01,Seed,3300000,USD,3300000,Yes,Votee - Consumer Insights Powered by AI,"Artificial Intelligence (AI), E-Commerce, iOS, Machine Learning, Mobile, Mobile Apps, Web Apps",,4,Seed,1600000,USD,1600000,Less than $1M,https://votee.com/,"Sheung Wan, Hong Kong Island, Hong Kong, Asia",,,,,"585,683"
Pre Seed Round - InOrbit,https://www.crunchbase.com/funding_round/inorbit-pre-seed--28522568,InOrbit,https://www.crunchbase.com/organization/inorbit,Pre-Seed,687000,USD,687000,2017-12-20,Seed,,,,Yes,InOrbit is a cloud-based robot management platform to help robotics developers and operators scale their robot fleets.,"Artificial Intelligence (AI), Cloud Data Services, DevOps, Enterprise Software, Robotics, SaaS",,4,Seed,3487000,USD,3487000,$1M to $10M,https://www.inorbit.ai/,"Mountain View, California, United States, North America",,,,,"548,160"
Funding Round - Paiblock,https://www.crunchbase.com/funding_round/paiblock-undisclosed--bf46cc3e,Paiblock,https://www.crunchbase.com/organization/paiblock,Funding Round,1000000,EUR,1160110,2017-11-07,,,,,Yes,Paiblock is a blockchain based and AI-capable payment and digital lifestyle platform,"FinTech, GovTech, Machine Learning, Retail Technology",,2,,4000000,EUR,4923942,$100M to $500M,https://paiblock.app,"Brøndbyvester, Hovedstaden, Denmark, Europe",,,,,"587,092"
"Seed Round - Sports Data Labs, Inc.",https://www.crunchbase.com/funding_round/sports-data-labs-seed--43385c6a,"Sports Data Labs, Inc.",https://www.crunchbase.com/organization/sports-data-labs,Seed,1000000,USD,1000000,2017-01-01,Seed,,,,Yes,Unlock the Value of Human Data®,"Analytics, Artificial Intelligence (AI), Data Integration, Health Insurance, Home Health Care, Personal Health, Predictive Analytics, Real Time, Sports","East Asian Founded, East Asian Led, Hispanic / Latine Founded, Hispanic / Latine Led, South Asian Founded, South Asian Led",2,,4700000,USD,4700000,$1M to $10M,http://www.sportsdatalabs.com,"San Francisco, California, United States, North America",,,,,"550,315"
Pre Seed Round - AstrumU,https://www.crunchbase.com/funding_round/astrumu-inc-pre-seed--94aab37b,AstrumU,https://www.crunchbase.com/organization/astrumu-inc,Pre-Seed,1000000,USD,1000000,2017-07-15,Seed,,,,Yes,AstrumU is a translating educational experiences into economic opportunity!,"Artificial Intelligence (AI), Higher Education, Human Resources",,4,Early Stage Venture,13175000,USD,13175000,$1M to $10M,http://www.astrumu.com,"Kirkland, Washington, United States, North America",Ignition Partners,Ignition Partners,1,1,"545,368"
Seed Round - BackHug,https://www.crunchbase.com/funding_round/robo-physio-seed--2cce332e,BackHug,https://www.crunchbase.com/organization/robo-physio,Seed,525000,GBP,693712,2017-10-30,Seed,,,,Yes,A smart robot that solves aches and pains,"Apps, Health Care, Machine Learning, Medical Device, Robotics, Therapeutics, Wellness",,4,,1984650,GBP,2583169,$1M to $10M,https://www.mybackhug.com/,"Edinburgh, Edinburgh, City of, United Kingdom, Europe",Deepbridge Capital,Deepbridge Capital,1,,"135,096"
Seed Round - Gobasco,https://www.crunchbase.com/funding_round/gobasco-seed--23c14f00,Gobasco,https://www.crunchbase.com/organization/gobasco,Seed,1500000,USD,1500000,2017-11-02,Seed,,,,Yes,Employ real-time data analytics on data-streams.,"AgTech, Analytics, Artificial Intelligence (AI), Logistics, Supply Chain Management",,1,Seed,1500000,USD,1500000,$1M to $10M,http://gobasco.com/,"New Delhi, Delhi, India, Asia",Matrix Partners India,Matrix Partners India,1,,"135,155"
Seed Round - ParentOf,https://www.crunchbase.com/funding_round/parentof-seed--39b0ce32,ParentOf,https://www.crunchbase.com/organization/parentof,Seed,1000000,USD,1000000,2017-10-07,Seed,35000000,USD,35000000,Yes,Parentof is a decision sciences organization which provides insights into child growth and decision analytics.,"Analytics, Artificial Intelligence (AI), Education, Machine Learning, Parenting",,4,Seed,2000000,USD,2000000,Less than $1M,http://www.parentof.com/,"Bengaluru, Karnataka, India, Asia",,,,,"135,234"
Seed Round - TRYETING,https://www.crunchbase.com/funding_round/tryeting-seed--dd26aa1e,TRYETING,https://www.crunchbase.com/organization/tryeting,Seed,120000000,JPY,1055819,2017-10-31,Seed,,,,Yes,TRYETING provides an AI platform that integrates various types of software.,"Artificial Intelligence (AI), Product Research, Recruiting, Software",,5,Early Stage Venture,1020000000,JPY,8743740,,https://www.tryeting.jp,"Nagoya, Aichi, Japan, Asia",Tiger and Beyond,Tiger and Beyond,1,,"135,548"
Venture Round - StrategyWise,https://www.crunchbase.com/funding_round/strategywise-series-unknown--2793aeac,StrategyWise,https://www.crunchbase.com/organization/strategywise,Venture - Series Unknown,1000000,USD,1000000,2017-08-15,,,,,Yes,StrategyWise is a data analytic Company.,"Analytics, Industrial, Intelligent Systems",,1,M&A,1000000,USD,1000000,Less than $1M,https://strategywise.com,"Birmingham, Alabama, United States, North America",,,,,"135,668"
Angel Round - OvOrobot STEM,https://www.crunchbase.com/funding_round/ovorobot-stem-angel--0160e8c4,OvOrobot STEM,https://www.crunchbase.com/organization/ovorobot-stem,Angel,3000000,CNY,448423,2017-08-16,Seed,,,,Yes,OvOrobot STEM specializes in education in intelligent robot research and development and design.,"Artificial Intelligence (AI), Education, Hardware, Robotics",,1,Seed,3000000,CNY,448423,,http://www.ovorobot.com/,"Shenzhen, Guangdong, China, Asia",,Zhongziqi,1,,"135,708"
Seed Round - GITAI,https://www.crunchbase.com/funding_round/gitai-seed--696b842e,GITAI,https://www.crunchbase.com/organization/gitai,Seed,140000000,JPY,1236192,2017-12-20,Seed,,,,Yes,GITAI is a robotics startup that develops remote controlled robots to replace astronaut's operations in commercial space stations.,"Artificial Intelligence (AI), Robotics, Space Travel, Virtual Reality, Virtual World, Virtualization",,8,,113576682,USD,113576682,$1M to $10M,http://gitai.tech,"Tokyo, Tokyo, Japan, Asia",,"500 Startups Japan, ANRI",2,,"151,553"
Seed Round - TrueLark,https://www.crunchbase.com/funding_round/frontdesk-ai-seed--2f1fee7f,TrueLark,https://www.crunchbase.com/organization/frontdesk-ai,Seed,1100000,USD,1100000,2017-11-22,Seed,,,,Yes,"TrueLark is an AI-powered customer communications platform enabling brands to attract, support, and up-sell customers.","Artificial Intelligence (AI), Internet, Software","Women Founded, Women Led",3,Seed,4200000,USD,4200000,$1M to $10M,https://truelark.com/,"Palo Alto, California, United States, North America",Speciale Invest,Speciale Invest,1,,"136,138"
Seed Round - Blyncsy,https://www.crunchbase.com/funding_round/blyncsy-seed--affc8d99,Blyncsy,https://www.crunchbase.com/organization/blyncsy,Seed,530052,USD,530052,2017-09-07,Seed,,,,Yes,Blyncsy uses AI and machine learning to deliver intelligence to improve the safety and efficiency of our traffic and transportation network.,"Artificial Intelligence (AI), Computer Vision, Infrastructure, Machine Learning, Real Time, Software",,6,M&A,3030052,USD,3030052,$1M to $10M,http://www.blyncsy.com/,"Salt Lake City, Utah, United States, North America",,Peterson Ventures,1,,"136,181"
Grant - Spectronn,https://www.crunchbase.com/funding_round/spectronn-grant--ffad85be,Spectronn,https://www.crunchbase.com/organization/spectronn,Grant,650000,USD,650000,2017-06-01,,,,,No,Cognitive mobile edge networking technology providing reliable and secure WiFi and applications for transportation.,"Artificial Intelligence (AI), Cloud Computing, Network Security, Wireless",Women Founded,3,,725000,USD,725000,Less than $1M,http://www.spectronn.com,"Holmdel, New Jersey, United States, North America",,NIST,1,,"324,313"
Seed Round - Socital,https://www.crunchbase.com/funding_round/socital-seed--d217be8b,Socital,https://www.crunchbase.com/organization/socital,Seed,520000,GBP,672934,2017-05-02,Seed,,,,Yes,Socital is a SaaS platform specialized in personalization and lead generation for ecommerce.,"Analytics, Artificial Intelligence (AI), E-Commerce, Marketing Automation, Personalization, SaaS, Software",,3,Seed,1292000,GBP,1696404,$1M to $10M,http://www.socital.com,"London, England, United Kingdom, Europe",,Theofilos Vasileiadis,1,,"123,582"
Seed Round - CashDirector,https://www.crunchbase.com/funding_round/cashdirector-seed--a1690382,CashDirector,https://www.crunchbase.com/organization/cashdirector,Seed,1500000,USD,1500000,2017-05-01,Seed,,,,Yes,CashDirector SA is a technology company providing banks with Virtual CFO & real-time accounting platforms for SME clients.,"Accounting, Enterprise Software, FinTech, Information Technology, Machine Learning",,6,Early Stage Venture,6867384,USD,6867384,,http://www.cashDirector.com,"Warsaw, Mazowieckie, Poland, Europe",Luma Ventures,Luma Ventures,1,,"640,334"
Venture Round - Activity Stream,https://www.crunchbase.com/funding_round/activity-stream-series-unknown--189121e4,Activity Stream,https://www.crunchbase.com/organization/activity-stream,Venture - Series Unknown,116000000,ISK,1027211,2017-01-01,,,,,Yes,Activity Stream makes client's organization better by turning business data into actionable intelligence and insights.,"Analytics, Big Data, Enterprise Software, Predictive Analytics",,11,,24255306,USD,24255306,,http://www.activitystream.com,"Reykjavík, Gullbringusysla, Iceland, Europe",Eyrir Venture Management,Eyrir Venture Management,1,,"662,058"
Seed Round - Knowhere,https://www.crunchbase.com/funding_round/knowherehq-seed--5dc10799,Knowhere,https://www.crunchbase.com/organization/knowherehq,Seed,2000000,USD,2000000,2017-04-05,Seed,,,,Yes,"Information technology company using machine learning to deliver factual, community-first, and critical news information at scale.","Artificial Intelligence (AI), Computer, Journalism, Machine Learning, Software",,3,Early Stage Venture,7190000,USD,7190000,Less than $1M,https://knowherenews.com/,"San Francisco, California, United States, North America",,"Abstract Ventures, Bossanova Investimentos, Day One Ventures, DHVC, Struck Capital, Tuesday Capital",6,,"662,168"
Seed Round - Rambl,https://www.crunchbase.com/funding_round/rambl-seed--f02075a3,Rambl,https://www.crunchbase.com/organization/rambl,Seed,2100000,USD,2100000,2017-04-28,Seed,,,,Yes,"Rambl provides streamlined, fully-integrated CRM dialing experience and call performance visibility.","Apps, Artificial Intelligence (AI), CRM, Mobile Apps, Software",,1,Seed,2100000,USD,2100000,$1M to $10M,https://www.rambl.ai/,"Minneapolis, Minnesota, United States, North America",Drive Capital,"Drive Capital, Dundee Venture Capital, Hyde Park Venture Partners",3,3,"662,234"
Convertible Note - Lightning AI,https://www.crunchbase.com/funding_round/lightning-ai-convertible-note--514b59dc,Lightning AI,https://www.crunchbase.com/organization/lightning-ai,Convertible Note,450000,USD,450000,2017-06-30,,,,,No,Lightning AI is an online marketing platform.,"Advertising, Artificial Intelligence (AI), Marketing, Software","Women Founded, Women Led",1,,450000,USD,450000,$1M to $10M,http://www.lightningai.com,"San Francisco, California, United States, North America",Right Side Capital Management,"Forum Ventures, Michael Ferguson, Right Side Capital Management",3,,"662,348"
Seed Round - WaitTime,https://www.crunchbase.com/funding_round/waittime-seed--e76bfab8,WaitTime,https://www.crunchbase.com/organization/waittime,Seed,914286,USD,914286,2017-06-12,Seed,,,,Yes,"WaitTime is a crowd-science artificial intelligence software company, providing real-time information on crowd behavior.","Analytics, Artificial Intelligence (AI), Big Data, Computer, Consumer, Software",,1,Seed,914286,USD,914286,$1M to $10M,http://www.thewaittimes.com/,"Detroit, Michigan, United States, North America",,,,,"662,968"
