Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Funding Status,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Series A - Aprisium,https://www.crunchbase.com/funding_round/aprisium-series-a--2a046d67,Aprisium,https://www.crunchbase.com/organization/aprisium,Series A,7000000,USD,7000000,2024-08-07,Early Stage Venture,,,,Yes,"Aprisium goal is to protect the environment and public health by using adaptable contamination testing for solids, semi-solids, and water.","Artificial Intelligence (AI), Environmental Consulting",,"Singapore, Central Region, Singapore, Asia",https://www.aprisium.com,,7000000,USD,7000000,1,Early Stage Venture,Deep-Tech Venture Partners,"Cocoon Capital, Deep-Tech Venture Partners, Solisa Peppercorn, Woh Hup",4,2,912
Series B - EtherWhere,https://www.crunchbase.com/funding_round/etherwhere-series-b--9124750b,EtherWhere,https://www.crunchbase.com/organization/etherwhere,Series B,16300000,USD,16300000,2024-07-25,Early Stage Venture,,,,Yes,EtherWhere develops a low-power GPS chip designed to improve GPS performance in both sensitivity and power.,"Architecture, Electronics, GPS, Intelligent Systems",,"San Francisco, California, United States, North America",http://etherwhere.com,Less than $1M,16300000,USD,16300000,2,Early Stage Venture,"Cambium Capital Partners, Walden Catalyst","Cambium Capital Partners, Walden Catalyst",2,1,919
Seed Round - Lumi Story,https://www.crunchbase.com/funding_round/lumi-story-seed--0796fd69,Lumi Story,https://www.crunchbase.com/organization/lumi-story,Seed,4000000,USD,4000000,2024-07-25,Seed,,,,Yes,Lumi Story operates as an artificial intelligence company.,"Artificial Intelligence (AI), Software",,"Laguna Niguel, California, United States, North America",https://www.lumistory.ai/,,4000000,USD,4000000,1,Seed,Seven Seven Six,"David Sze, Hakeem Seriki, Impellent Ventures, Kapor Capital, Mariam Naficy, Seven Seven Six",6,1,940
Seed Round - Nepoe,https://www.crunchbase.com/funding_round/nepoe-seed--8057394a,Nepoe,https://www.crunchbase.com/organization/nepoe,Seed,9000000,USD,9000000,2024-08-12,Seed,,,,Yes,Nepoe is an AI technology developer that offers Gen-AI platforms and services.,"Artificial Intelligence (AI), Business Development, Enterprise Software",,,,,9000000,USD,9000000,1,Seed,BITKRAFT Ventures,"Animoca Brands, Big Brain Holdings, BITKRAFT Ventures, Galaxy Interactive, Hanow Fund, Martin P Tin, Mask Network, OKX Ventures",8,,952
Seed Round - Masterplace,https://www.crunchbase.com/funding_round/masterplace-seed--04e7659f,Masterplace,https://www.crunchbase.com/organization/masterplace,Seed,1850000,EUR,2004012,2024-08-01,Seed,,,,Yes,"Masterplace is an AI-powered EdTech platform that enables instructors to build, deliver, and monetize complete courses.","Artificial Intelligence (AI), Information Technology, Internet",,"Barcelona, Catalonia, Spain, Europe",https://masterplace.com,,1850000,EUR,2004012,1,Seed,,,,,967
Seed Round - Bering Lab,https://www.crunchbase.com/funding_round/bering-lab-seed--499fc0d1,Bering Lab,https://www.crunchbase.com/organization/bering-lab,Seed,3000000000,KRW,2180364,2024-08-07,Seed,,,,Yes,Bering Lab is an AI-powered machine translation startup.,"Artificial Intelligence (AI), Machine Learning, Translation Service",,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://beringlab.com/,,2202684,USD,2202684,4,Seed,SBVA,"SBVA, The MBA Fund",2,1,"1,032"
Venture Round - Pyler,https://www.crunchbase.com/funding_round/pyler-series-unknown--ca3d1e0c,Pyler,https://www.crunchbase.com/organization/pyler,Venture - Series Unknown,22000000000,KRW,15888497,2024-07-29,,,,,Yes,Filer is an artificial intelligence Martech startup.,"Artificial Intelligence (AI), Computer, Machine Learning",,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://www.pyler.tech/,,32500000000,KRW,23726424,3,,Stone Bridge Ventures,"Korea Development Bank, KT investment, Stone Bridge Ventures, SV Investment Corp",4,1,"1,054"
Series C - AiV,https://www.crunchbase.com/funding_round/aiv-co-series-c--3815cd73,AiV,https://www.crunchbase.com/organization/aiv-co,Series C,21000000000,KRW,15334567,2024-08-05,Late Stage Venture,,,,Yes,AiV is an intelligent automation solution company that provides an opportunity to learn computer vision technology and optomechatronics.,"Computer Vision, Intelligent Systems",,"Yongin, Ch'ungch'ong-namdo, South Korea, Asia",https://www.aiv.ai,,36000000000,KRW,27684661,4,Late Stage Venture,,"Albatross Investment, Dt& Investment, Flux Ventures, J&M Partners, JB Investment, Kiwoom Investment, LB Investment, Mirae Asset Venture Investment, MW&Company, Samsung Securities",10,,"1,058"
Series B - Kuandeng,https://www.crunchbase.com/funding_round/kuandeng-series-b--177821bf,Kuandeng,https://www.crunchbase.com/organization/kuandeng,Series B,100000000,CNY,13925055,2024-08-07,Early Stage Venture,,,,Yes,Kuandeng specializes in developing a variety of applications for autonomous driving.,"Information Technology, Internet, Machine Learning, Robotics",,"Beijing, Beijing, China, Asia",http://www.kuandeng.com,$10M to $50M,400000000,CNY,58255176,5,Early Stage Venture,Guangdong Rongtai Capital,"Guangdong Rongtai Capital, Zhejiang Deqing Government Industrial Fund",2,1,"1,060"
Seed Round - Piramidal,https://www.crunchbase.com/funding_round/piramidal-8584-seed--67c67d9c,Piramidal,https://www.crunchbase.com/organization/piramidal-8584,Seed,6000000,USD,6000000,2024-08-21,Seed,,,,Yes,Piramidal offers AI software that transforms brain activity into easy-to-understand health data to help diagnose diseases.,"Artificial Intelligence (AI), Biotechnology, Wellness",,"San Francisco, California, United States, North America",https://piramidal.ai,,6500000,USD,6500000,2,Seed,Y Combinator,"Adverb Ventures, Lionheart Ventures, Y Combinator",3,,"1,067"
Pre Seed Round - Revoize,https://www.crunchbase.com/funding_round/revoize-pre-seed--7ccab410,Revoize,https://www.crunchbase.com/organization/revoize,Pre-Seed,458000,EUR,501547,2024-08-05,Seed,,,,Yes,Revoize provides noise reduction and speech enhancement technologies.,"Artificial Intelligence (AI), Information Technology",,"Warsaw, Mazowieckie, Poland, Europe",https://revoize.com,,458000,EUR,501547,1,Seed,AIP Seed,"AIP Seed, Marcin Zukowski",2,1,"1,091"
Series A - Gnani.ai,https://www.crunchbase.com/funding_round/gnani-ai-series-a--1f1ed748,Gnani.ai,https://www.crunchbase.com/organization/gnani-ai,Series A,300000000,INR,3583266,2024-07-27,Early Stage Venture,,,,Yes,Conversational AI deep tech company using speech technology and NLP for automation and analytics of conversations over multiple channels,"Analytics, Artificial Intelligence (AI), Customer Service, Information Technology, Machine Learning, SaaS, Software",,"Bangalore, Karnataka, India, Asia",https://www.gnani.ai/,,5383266,USD,5383266,2,Early Stage Venture,Info Edge,Info Edge,1,,"1,099"
Seed Round - Wethos AI,https://www.crunchbase.com/funding_round/wethos-ai-seed--d4f63d3b,Wethos AI,https://www.crunchbase.com/organization/wethos-ai,Seed,7500000,USD,7500000,2024-08-15,Seed,,,,Yes,Wethos AI is pioneering the future of the AI-driven workplace revolution.,"Artificial Intelligence (AI), Finance, Manufacturing",,"Newport Beach, California, United States, North America",https://wethos.ai,,7500000,USD,7500000,1,Seed,GFT Ventures,"Capellas Partners, Cove Fund, GFT Ventures, Miramar Ventures",4,1,"1,113"
Seed Round - Bee,https://www.crunchbase.com/funding_round/bee-41ee-seed--db2eba02,Bee,https://www.crunchbase.com/organization/bee-41ee,Seed,5500000,USD,5500000,2024-07-29,Seed,,,,Yes,Bee is an AI developer of a life administration wearable assistant.,"Artificial Intelligence (AI), Generative AI, Mobile Apps",,"San Francisco, California, United States, North America",https://bee.computer,,7000000,USD,7000000,2,Seed,EXOR N.V.,"Banana Capital, Brian Bedol, EXOR N.V., Greycroft, New Wave (VC)",5,,"1,121"
Venture Round - WhalesBot,https://www.crunchbase.com/funding_round/whalesbot-series-unknown--22a4551d,WhalesBot,https://www.crunchbase.com/organization/whalesbot,Venture - Series Unknown,100000000,CNY,13854445,2024-07-25,,,,,Yes,WhalesBot is a Robotics and programming education service provider,"EdTech, Education, Machine Learning, Robotics, STEM Education",,"Shanghai, Shanghai, China, Asia",http://www.whalesbot.com,$1M to $10M,110000000,CNY,15308737,5,,Shanghai Jiushi Jinpu Equity Investment Fund Management,Shanghai Jiushi Jinpu Equity Investment Fund Management,1,,"1,122"
Convertible Note - 2021.AI,https://www.crunchbase.com/funding_round/2021-ai-convertible-note--7fc75a80,2021.AI,https://www.crunchbase.com/organization/2021-ai,Convertible Note,28000000,DKK,4099741,2024-08-06,,,,,No,2021.AI serves the growing enterprise need for full management and oversight of applied AI.,"Artificial Intelligence (AI), Enterprise Software, Information Technology, Machine Learning",,"Copenhagen, Hovedstaden, Denmark, Europe",https://2021.ai,$1M to $10M,10393448,USD,10393448,5,Seed,DNV Ventures,DNV Ventures,1,3,"1,124"
Seed Round - Accurat,https://www.crunchbase.com/funding_round/accurat-aeea-seed--c0547b17,Accurat,https://www.crunchbase.com/organization/accurat-aeea,Seed,1000000,EUR,1092580,2024-08-06,Seed,,,,Yes,We offer location intelligence solutions to better understand the offline behaviour of app users for publishers and retailers.,"Artificial Intelligence (AI), Location Based Services, Machine Learning, Mobile Advertising, Publishing, Retail Technology",,"Merelbeke, Oost-Vlaanderen, Belgium, Europe",https://accurat.ai,$1M to $10M,1000000,EUR,1092580,2,Seed,,"Angelwise, Bart Putteman, Jonas Deprez, Lorenz Bogaert, PMV, Toon Coppens",6,,"1,138"
Seed Round - Athena Security,https://www.crunchbase.com/funding_round/athena-security-inc-seed--92b9c648,Athena Security,https://www.crunchbase.com/organization/athena-security-inc,Seed,10000000,USD,10000000,2024-07-31,Seed,,,,Yes,Athena’s mission is to help save lives. Athena created a patented Weapons Detection Software inspired by Homeland Security Best Practices.,"Artificial Intelligence (AI), Computer Vision, Cyber Security, Machine Learning, Physical Security","Women Founded, Women Led","Austin, Texas, United States, North America",http://athena-security.com,$1M to $10M,18600000,USD,18600000,4,Seed,Christopher Ciabarra,"Christopher Ciabarra, Lisa Falzone",2,,"1,183"
Seed Round - vijil,https://www.crunchbase.com/funding_round/vijil-seed--a559578b,vijil,https://www.crunchbase.com/organization/vijil,Seed,6000000,USD,6000000,2024-07-24,Seed,,,,Yes,Vijil is an AI software startup that helps developers build and operate intelligent agents that people can trust.,"Artificial Intelligence (AI), Software",,"Menlo Park, California, United States, North America",https://www.vijil.ai,,6000000,USD,6000000,1,Seed,"Gradient Ventures, Mayfield Fund","Gradient Ventures, Mayfield Fund",2,2,"1,191"
Series B - Rich Data Corporation,https://www.crunchbase.com/funding_round/rich-data-corporation-series-b--793a14ce,Rich Data Corporation,https://www.crunchbase.com/organization/rich-data-corporation,Series B,9000000,AUD,5781509,2024-08-05,Early Stage Venture,,,,Yes,"RDC provides AI Decisioning as a Service powering innovation, growth, efficiency, and uplifted experiences across the credit lifecycle.","Analytics, Artificial Intelligence (AI), Financial Services, Lending, Machine Learning, Software",,"North Sydney, New South Wales, Australia, Oceania",https://www.richdataco.com,$10M to $50M,47408924,USD,47408924,4,Early Stage Venture,Acorn Capital,Acorn Capital,1,1,"1,237"
Pre Seed Round - Creaitor,https://www.crunchbase.com/funding_round/creaitor-pre-seed--9dd6411a,Creaitor,https://www.crunchbase.com/organization/creaitor,Pre-Seed,500000,CHF,577774,2024-08-14,Seed,,,,Yes,"SaaS, generative AI, GPT, Content Marketing","Artificial Intelligence (AI), Generative AI, Machine Learning, SaaS, Software",,"Lucerne, Luzern, Switzerland, Europe",https://www.creaitor.ai/,,500000,CHF,577774,1,Seed,BackBone Ventures,"BackBone Ventures, Gentian Investments, SICTIC",3,,"1,273"
Venture Round - DreaMed Diabetes,https://www.crunchbase.com/funding_round/dreamed-diabetes-series-unknown--78934bdd,DreaMed Diabetes,https://www.crunchbase.com/organization/dreamed-diabetes,Venture - Series Unknown,3000000,USD,3000000,2024-08-19,,,,,Yes,DreaMed Diabetes offers AI solutions and personalized support for optimized insulin therapy.,"Artificial Intelligence (AI), Biotechnology, Diabetes, Enterprise Software, Health Care, Medical Device",,"Petah Tiqva, HaMerkaz, Israel, Asia",https://dreamed-diabetes.com/,$1M to $10M,13300000,USD,13300000,4,,eHealth Ventures,eHealth Ventures,1,1,"1,292"
Debt Financing - Lendbuzz,https://www.crunchbase.com/funding_round/lendbuzz-debt-financing--71bc9dae,Lendbuzz,https://www.crunchbase.com/organization/lendbuzz,Debt Financing,400000000,USD,400000000,2024-08-20,,,,,No,Lendbuzz is a car financing platform that helps consumers with thin U.S. credit history obtain financing for their car purchase.,"Artificial Intelligence (AI), Financial Services, FinTech, Lending",,"Boston, Massachusetts, United States, North America",https://lendbuzz.com,$1M to $10M,1822913848,USD,1822913848,18,Late Stage Venture,Viola Credit,Viola Credit,1,,"1,327"
Series A - Sales Marker,https://www.crunchbase.com/funding_round/sales-marker-series-a--325ced11,Sales Marker,https://www.crunchbase.com/organization/sales-marker,Series A,1510000000,JPY,9917294,2024-07-25,Early Stage Venture,,,,Yes,Sales Marker is a sales intelligence platform that uses artificial intelligence and intent data to automate sales.,"Artificial Intelligence (AI), Sales Automation",,"Toranomon, Tokyo, Japan, Asia",https://sales-marker.jp/info,,2160000000,JPY,14232450,3,Early Stage Venture,,,,,"1,414"
Venture Round - Noze,https://www.crunchbase.com/funding_round/sensing-dynamics-series-unknown--c41dd2ee,Noze,https://www.crunchbase.com/organization/sensing-dynamics,Venture - Series Unknown,5000000,USD,5000000,2024-07-30,,,,,Yes,Noze enables early disease detection through an AI-powered sense of smell.,"Artificial Intelligence (AI), Health Diagnostics, Machine Learning, Sensor",,"Montréal, Quebec, Canada, North America",https://www.noze.ca,$1M to $10M,22790418,USD,22790418,12,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,1,,"1,463"
Venture Round - 51WORLD,https://www.crunchbase.com/funding_round/51wofang-series-unknown--dc785176,51WORLD,https://www.crunchbase.com/organization/51wofang,Venture - Series Unknown,200000000,CNY,27913468,2024-08-16,,,,,Yes,Asia's Leading Digital Twin Technology Company,"3D Technology, Artificial Intelligence (AI), Autonomous Vehicles, Cloud Computing, Information Technology, PaaS, Simulation",,"Beijing, Beijing, China, Asia",https://www.51world.com.cn,,72913468,USD,72913468,4,,Nanning Huanxin Capital,Nanning Huanxin Capital,1,,"1,429"
Pre Seed Round - Toystack.ai,https://www.crunchbase.com/funding_round/toystack-ai-pre-seed--b2ae21ca,Toystack.ai,https://www.crunchbase.com/organization/toystack-ai,Pre-Seed,325000,USD,325000,2024-07-29,Seed,,,,Yes,ToyStack.ai is an automated deployment platform.,"Artificial Intelligence (AI), Information Technology, Internet",,,https://toystack.ai,,325000,USD,325000,1,Seed,"Asit Shetty, D. Devaraj","Asit Shetty, D. Devaraj",2,,"1,440"
Post-IPO Secondary - Netweb Technologies,https://www.crunchbase.com/funding_round/netweb-technologies-bca8-post-ipo-secondary--f20ae67f,Netweb Technologies,https://www.crunchbase.com/organization/netweb-technologies-bca8,Post-IPO Secondary,4580000000,INR,54675240,2024-08-02,,121244175824,INR,1447391787,No,"Netweb Technologies offers cloud migration, managed cloud services, open-stack cloud, AI, machine learning, and technical support services.","Artificial Intelligence (AI), Cloud Data Services, Information Technology, Machine Learning",,"Faridabad, Haryana, India, Asia",https://www.netwebindia.com ,$10M to $50M,4580000000,INR,54675240,1,IPO,,"Citigroup Global Markets, ICICI Prudential Mutual Fund, Invesco Mutual Fund, Societe Generale, Union Asset Management Company",5,,"1,450"
Series A - Baibys,https://www.crunchbase.com/funding_round/baibys-series-a--3a39a74c,Baibys,https://www.crunchbase.com/organization/baibys,Series A,4500000,USD,4500000,2024-08-08,Early Stage Venture,,,,Yes,Baibys is a medical automated platform that provides AI and robotics-based autonomous sperm selection solutions for IVF.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical, Robotics",,"Tel Aviv, Tel Aviv, Israel, Asia",https://www.baibys.com/,,4500000,USD,4500000,1,Early Stage Venture,Firstime Venture Capital,"Firstime Venture Capital, Rohto Pharmaceutical",2,1,"1,523"
Post-IPO Equity - Inspire Semiconductor,https://www.crunchbase.com/funding_round/inspire-semiconductor-post-ipo-equity--87c2a5a5,Inspire Semiconductor,https://www.crunchbase.com/organization/inspire-semiconductor,Post-IPO Equity,414584,CAD,303839,2024-08-19,,,,,Yes,"Inspire Semiconductor in developing and delivering superior solutions for HPC, AI, blockchain and other compute-intensive applications.","Artificial Intelligence (AI), Blockchain, Computer, Cryptocurrency, Information Technology, Machine Learning, Semiconductor",,"Austin, Texas, United States, North America",https://inspiresemi.com/,$1M to $10M,16621592,USD,16621592,6,IPO,,,,,"1,545"
Series A - Docket,https://www.crunchbase.com/funding_round/docket-a41f-series-a--da68250e,Docket,https://www.crunchbase.com/organization/docket-a41f,Series A,15000000,USD,15000000,2024-07-25,Early Stage Venture,,,,Yes,Docket is an artificial intelligence platform that helps virtual sales engineers to build knowledge graphs using big language models.,Artificial Intelligence (AI),,"Camas, Washington, United States, North America",https://www.docketai.com,$1M to $10M,20350000,USD,20350000,2,Early Stage Venture,"Foundation Capital, Mayfield Fund","Foundation Capital, Mayfield Fund",2,1,"1,595"
Seed Round - DentiQube,https://www.crunchbase.com/funding_round/dentiqube-seed--b18f98c5,DentiQube,https://www.crunchbase.com/organization/dentiqube,Seed,600000000,KRW,437628,2024-08-12,Seed,,,,Yes,DentiQube is a lab operation management platform that provides solutions for dental laboratory request forms using OCR AI and generative AI.,"Data Integration, Data Management, Generative AI, Software",,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://dentiqube.com,,600000000,KRW,437628,1,Seed,TIPS Program,TIPS Program,1,,"1,571"
Seed Round - Trillion Labs,https://www.crunchbase.com/funding_round/trillion-labs-seed--d004c3d0,Trillion Labs,https://www.crunchbase.com/organization/trillion-labs,Seed,4200000,USD,4200000,2024-08-02,Seed,,,,Yes,Trillion Labs operates as an AI company.,"Artificial Intelligence (AI), Software",,"Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://trillionlabs.co/,,4200000,USD,4200000,1,Seed,Strong Ventures,"BAM Ventures, Bass Investment, Kakao Ventures, Strong Ventures, TheVentures",5,,"1,585"
Venture Round - MemGPT,https://www.crunchbase.com/funding_round/memgpt-series-unknown--3e335477,MemGPT,https://www.crunchbase.com/organization/memgpt,Venture - Series Unknown,10000000,USD,10000000,2024-08-13,,60000000,USD,60000000,Yes,MemGPT is a toolkit designed for creating AI agents.,"Artificial Intelligence (AI), Chatbot",,,https://memgpt.ai,,10000000,USD,10000000,1,,Felicis,Felicis,1,,"1,617"
Series C - SigTuple,https://www.crunchbase.com/funding_round/sigtuple-series-c--cebb1337,SigTuple,https://www.crunchbase.com/organization/sigtuple,Series C,330000000,INR,3935111,2024-08-06,Late Stage Venture,,,,Yes,SigTuple builds intelligent solutions for medical diagnosis using state of the art machine learning techniques.,"Analytics, Artificial Intelligence (AI), Big Data, Health Care, Machine Learning, Software",,"Bangalore, Karnataka, India, Asia",https://www.sigtuple.com,$10M to $50M,48920981,USD,48920981,7,Late Stage Venture,SIDBI Venture Capital,"Endiya Partners, SIDBI Venture Capital",2,1,"1,651"
Seed Round - Napkin AI,https://www.crunchbase.com/funding_round/napkin-ai-seed--9b984ba2,Napkin AI,https://www.crunchbase.com/organization/napkin-ai,Seed,10000000,USD,10000000,2024-08-07,Seed,,,,Yes,"Visual AI for business storytelling. Napkin transforms your text into visuals, perfect for presentations, blogs and more.","Generative AI, Graphic Design, Presentation Software, Productivity Tools, Software",,"Los Altos, California, United States, North America",https://napkin.ai,,10000000,USD,10000000,1,Seed,"Accel, CRV","Accel, CRV",2,2,"1,630"
Seed Round - Llumo AI,https://www.crunchbase.com/funding_round/llumo-ai-seed--d0d4250f,Llumo AI,https://www.crunchbase.com/organization/llumo-ai,Seed,80000000,INR,954558,2024-08-21,Seed,,,,Yes,Llumo AI is a generative AI company that offers AI optimisation for comprehensive evaluation of LLMs.,"Artificial Intelligence (AI), Enterprise Software, Generative AI",,"Noida, Uttar Pradesh, India, Asia",https://www.llumo.ai,,80000000,INR,954558,1,Seed,SenseAI Ventures,"AUM Ventures, IIM Indore Alumni Angel Fund, India Quotient, SenseAI Ventures, Venture Catalyst",5,,"1,672"
Seed Round - Rabbitt AI,https://www.crunchbase.com/funding_round/rabbitt-ai-seed--87db012e,Rabbitt AI,https://www.crunchbase.com/organization/rabbitt-ai,Seed,2100000,USD,2100000,2024-07-29,Seed,14800000,USD,14800000,Yes,"Backed by the marquee leaders at TC Group, NVIDIA, Meta and Microsoft, Solving the problem of ""AI AI every where, Not an AI that works"".","Artificial Intelligence (AI), Data Collection and Labeling, Enterprise Software, Generative AI, Information Technology, Machine Learning, Natural Language Processing",,"London, England, United Kingdom, Europe",https://rabbitt.ai/,,2100000,USD,2100000,1,Seed,,TechCurators,1,,"1,656"
Debt Financing - Pathfinder,https://www.crunchbase.com/funding_round/pathfinder-global-fzco-96fc-debt-financing--f0273b87,Pathfinder,https://www.crunchbase.com/organization/pathfinder-global-fzco-96fc,Debt Financing,325000000,USD,325000000,2024-07-24,,,,,No,Pathfinder is an information technology company that provides AI-based retail intelligence solutions for brands and companies.,"Artificial Intelligence (AI), Business Intelligence, Data Integration, Information Technology, IT Management, Retail, Software",,"Dubai, Dubai, United Arab Emirates, Asia",https://pathfinder.global/,$10M to $50M,325000000,USD,325000000,1,,Silver Rock Group,Silver Rock Group,1,,"1,726"
Seed Round - Sim2real,https://www.crunchbase.com/funding_round/sim2real-seed--544444f3,Sim2real,https://www.crunchbase.com/organization/sim2real,Seed,500000000,KRW,366347,2024-08-09,Seed,,,,Yes,Sim2real is a smart synthetic data solution company that provides AI services with simulation-based digital twin virtual data services.,"Artificial Intelligence (AI), Simulation, Virtualization",,"Daejeon, Taejon-jikhalsi, South Korea, Asia",https://www.sim2real.co.kr,,500000000,KRW,366347,1,Seed,TIPS Program,TIPS Program,1,,"1,718"
Seed Round - Gole Robotics,https://www.crunchbase.com/funding_round/gole-robotics-seed--dbcf4a2a,Gole Robotics,https://www.crunchbase.com/organization/gole-robotics,Seed,600000000,KRW,439617,2024-08-09,Seed,,,,Yes,Gole Robotics is an intelligent robotics company that focuses on developing robots specially to transporting construction materials.,"Construction, Intelligent Systems, Robotics",,"Mapo, Seoul-t'ukpyolsi, South Korea, Asia",https://golerobotics.com,,600000000,KRW,439617,1,Seed,TIPS Program,TIPS Program,1,,"1,736"
Venture Round - Language I/O,https://www.crunchbase.com/funding_round/language-i-o-series-unknown--0d662983,Language I/O,https://www.crunchbase.com/organization/language-i-o,Venture - Series Unknown,5000000,USD,5000000,2024-07-24,,,,,Yes,Language I/O is a software development company whose products allow clients to provide multilingual customer support to their customers.,"Communications Infrastructure, Customer Service, Machine Learning, SaaS, Translation Service","Women Founded, Women Led","Cheyenne, Wyoming, United States, North America",http://languageio.com,$10M to $50M,25003670,USD,25003670,6,,Gutbrain Ventures,"Gutbrain Ventures, Joint Effects, Ken Lang, Omega Venture Partners, PBJ Capital, Raptor Group, Wyoming Business Council",7,1,"1,809"
Venture Round - Livly,https://www.crunchbase.com/funding_round/livly-series-unknown--5114641a,Livly,https://www.crunchbase.com/organization/livly,Venture - Series Unknown,10000000,USD,10000000,2024-08-13,,,,,Yes,Livly provides technology-driven residential management platforms for property operators and third-party property management companies.,"Artificial Intelligence (AI), Digital Media, Information Technology, Property Management, Residential",,"Chicago, Illinois, United States, North America",https://www.livly.io/,$1M to $10M,28000000,USD,28000000,3,,,,,,"1,776"
Venture Round - Emerada,https://www.crunchbase.com/funding_round/emerada-series-unknown--c7c5fab8,Emerada,https://www.crunchbase.com/organization/emerada,Venture - Series Unknown,1900000000,JPY,13344704,2024-08-05,,,,,Yes,Emerada provides a semi-autonomous banking infrastructure for regional banks to provide frictionless lending services to small businesses.,"Analytics, Artificial Intelligence (AI), Banking, Financial Services, FinTech, Information Technology, Lending, Machine Learning",,"Tokyo, Tokyo, Japan, Asia",https://www.emerada.co.jp/,$1M to $10M,2100000000,JPY,15148985,2,,JAFCO,JAFCO,1,1,"1,842"
Pre Seed Round - Epum,https://www.crunchbase.com/funding_round/epum-pre-seed--d60fff4d,Epum,https://www.crunchbase.com/organization/epum,Pre-Seed,1470000,EUR,1589454,2024-07-29,Seed,,,,Yes,Epum is an innovative startup dedicated to transforming the commercial real estate development industry.,"Artificial Intelligence (AI), Machine Learning, Software, Software Engineering",,"Amsterdam, Noord-Holland, The Netherlands, Europe",https://www.epumdata.com/,,1470000,EUR,1589454,1,Seed,Curiosity VC,"Curiosity VC, Heartfelt Capital, NP-Hard Ventures, Remote First Capital",4,,"1,902"
Pre Seed Round - Opteam,https://www.crunchbase.com/funding_round/opteam-pre-seed--bdd7155a,Opteam,https://www.crunchbase.com/organization/opteam,Pre-Seed,570000,AED,155186,2024-08-04,Seed,,,,Yes,Construction Project Management Software,"Artificial Intelligence (AI), Construction, Machine Learning, Project Management, Smart Cities, Software, Sustainability",,"Dubai, Dubai, United Arab Emirates, Asia",http://opteam.ai,Less than $1M,570000,AED,155186,2,Seed,SANDBOX accelerator,SANDBOX accelerator,1,,"1,969"
Seed Round - JobEscape,https://www.crunchbase.com/funding_round/jobescape-seed--41578616,JobEscape,https://www.crunchbase.com/organization/jobescape,Seed,570000,USD,570000,2024-08-04,Seed,,,,Yes,JobEscape is a pioneering platform that offers an AI tool to enhance the productivity of the freelancers.,"Artificial Intelligence (AI), Education, Freelance",,"Dubai, Dubai, United Arab Emirates, Asia",https://jobescape.me/,,870000,USD,870000,2,Seed,SANDBOX accelerator,SANDBOX accelerator,1,,"2,010"
Seed Round - Lisan,https://www.crunchbase.com/funding_round/lisan-seed--71873bb8,Lisan,https://www.crunchbase.com/organization/lisan,Seed,570000,USD,570000,2024-08-04,Seed,,,,Yes,Lisan is an AI writing platform that proofreads and generates high quality content in Arabic.,"Artificial Intelligence (AI), Content, Language Learning",,"Dubai, Dubai, United Arab Emirates, Asia",https://www.lisan.ai,,570000,USD,570000,3,Seed,SANDBOX accelerator,SANDBOX accelerator,1,,"2,011"
Pre Seed Round - Myriad AI,https://www.crunchbase.com/funding_round/myriad-ai-pre-seed--42ee7116,Myriad AI,https://www.crunchbase.com/organization/myriad-ai,Pre-Seed,2000000,USD,2000000,2024-07-25,Seed,,,,Yes,"Myriad AI provides a reliable and controllable AI-powered platform to put Compliance on Autopilot, enabling businesses to thrive.",Artificial Intelligence (AI),,"San Francisco, California, United States, North America",https://www.myriad.company,,2000000,USD,2000000,1,Seed,"bd Partners, N1, Plug & Play Topeka, Preston-Werner Ventures","bd Partners, N1, Plug & Play Topeka, Preston-Werner Ventures",4,2,"2,024"
Seed Round - The Blue Box Biomedical Solutions,https://www.crunchbase.com/funding_round/the-blue-box-biomedical-solutions-seed--09ae9900,The Blue Box Biomedical Solutions,https://www.crunchbase.com/organization/the-blue-box-biomedical-solutions,Seed,500000,EUR,540631,2024-07-29,Seed,,,,Yes,"Pain-free, low-cost, radiation-free detect breast cancer urine test, with a sensitivity of 83%.","Artificial Intelligence (AI), Health Care, Internet of Things, Medical Device",,"Barcelona, Catalonia, Spain, Europe",https://thebluebox.ai/,,1957458,EUR,2102110,9,Seed,Grow Venture Partners,"Grow Venture Partners, Unconventional Ventures",2,1,"2,092"
