Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Organization Website,Diversity Spotlight,Organization Location,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Angel Round - Blend,https://www.crunchbase.com/funding_round/blend-5456-angel--982fb057,Blend,https://www.crunchbase.com/organization/blend-5456,Angel,32000,GBP,44488,2021-07-10,Seed,600000,GBP,834150,Yes,Turning products reviews into powerful customer insights for coffee SME's using AI & Machine Learning,"Artificial Intelligence (AI), B2B, Coffee, Consumer Reviews, Consumer Software, Food and Beverage, Machine Learning, Software",https://blendcoffeeapp.com,,"London, England, United Kingdom, Europe",,32000,GBP,44488,Seed,1,,,,,"631,708"
Grant - Empiric Logic,https://www.crunchbase.com/funding_round/empiric-logic-grant--56065b5b,Empiric Logic,https://www.crunchbase.com/organization/empiric-logic,Grant,85000,EUR,101162,2021-03-16,,,,,No,Empiric Logic provides AI-enabled analysis and orchestration solution services.,"Analytics, Artificial Intelligence (AI), Machine Learning, Pharmaceutical, SaaS",https://empiriclogic.com,,"Dublin, Dublin, Ireland, Europe",,85000,EUR,101162,,1,Innovation Partnership Programme IPP,Innovation Partnership Programme IPP,1,,"321,164"
Non Equity Assistance - mtion interactive,https://www.crunchbase.com/funding_round/mtion-non-equity-assistance--6df39aef,mtion interactive,https://www.crunchbase.com/organization/mtion,Non-equity Assistance,19925,USD,19925,2021-11-02,,,,,No,mtion is building an AI-enabled creation platform to connect online communities through collaborative world building and AI agents.,"Artificial Intelligence (AI), Consumer Applications, Consumer Software, Gaming, Social Media, Software, Video Games, Video Streaming, Virtual Reality, Virtual World",https://www.mtion.xyz,,"Kitchener, Ontario, Canada, North America",,404925,USD,404925,Seed,3,,"Concept by Velocity, Edward Lando, Jon Oringer, Nadav Ben-Chanoch, Pareto Holdings",5,,"140,979"
Pre Seed Round - Sensai Analytics,https://www.crunchbase.com/funding_round/sensai-analytics-pre-seed--adcf5675,Sensai Analytics,https://www.crunchbase.com/organization/sensai-analytics,Pre-Seed,120000,USD,120000,2021-01-25,Seed,,,,Yes,Residual value management for Commercial EVs,"Artificial Intelligence (AI), Machine Learning, Software",https://www.sensai-analytics.com/,Women Founded,"Somerville, Massachusetts, United States, North America",,120000,USD,120000,Seed,1,,Techstars,1,1,"274,180"
Grant - SafeToNet,https://www.crunchbase.com/funding_round/safetonet-grant--1ba528da,SafeToNet,https://www.crunchbase.com/organization/safetonet,Grant,85000,GBP,114660,2021-11-17,,,,,No,SafeToNet makes the digital world safer for children to explore and enjoy.,"Apps, Artificial Intelligence (AI), Child Care, Children, Cyber Security, Information Technology, Machine Learning, Mobile Apps, Security",http://safetonet.com/,,"Reading, Reading, United Kingdom, Europe",$1M to $10M,18277719,USD,18277719,Early Stage Venture,6,The Safety Tech Challenge Fund,The Safety Tech Challenge Fund,1,,"421,721"
Grant - Zini,https://www.crunchbase.com/funding_round/zini-grant--aedb9a18,Zini,https://www.crunchbase.com/organization/zini,Grant,2500000,INR,34101,2021-03-01,,,,,No,Zini is an AI-powered multilingual virtual physician.,"Artificial Intelligence (AI), Health Care, Wellness",https://www.zini.ai,,"New Delhi, Delhi, India, Asia",$1M to $10M,2500000,INR,34101,Seed,3,Software Technology Parks of India,Software Technology Parks of India,1,,"142,237"
Pre Seed Round - Team Wheel,https://www.crunchbase.com/funding_round/team-wheel-pre-seed--14473e0d,Team Wheel,https://www.crunchbase.com/organization/team-wheel,Pre-Seed,70000,USD,70000,2021-06-21,Seed,,,,Yes,"Team Wheel is a next-gen AI, and Machine Learning enhanced HR Information System.","Artificial Intelligence (AI), Human Resources, Information Technology, Machine Learning, SaaS, Software",https://teamwheel.co,,"Cheltenham, Gloucestershire, United Kingdom, Europe",,70000,USD,70000,Seed,1,,,,,"143,703"
Pre Seed Round - machinesearch.io,https://www.crunchbase.com/funding_round/machinesearch-io-pre-seed--e277c757,machinesearch.io,https://www.crunchbase.com/organization/machinesearch-io,Pre-Seed,20000,EUR,24311,2021-01-01,Seed,,,,Yes,Ai Machinery Search Engine,"Advertising Platforms, Artificial Intelligence (AI), B2B, B2C, Machine Learning, Machinery Manufacturing, Manufacturing, Product Search, Search Engine",https://machinesearch.io,,"Tallinn, Harjumaa, Estonia, Europe",Less than $1M,20000,EUR,24311,Seed,1,,,,,"143,782"
Grant - Quincus,https://www.crunchbase.com/funding_round/quincus-grant--adb00084,Quincus,https://www.crunchbase.com/organization/quincus,Grant,25000,SGD,18481,2021-09-21,,,,,No,Leading technology for supply chain optimisation,"Artificial Intelligence (AI), Logistics, Transportation",http://www.quincus.com,,"Singapore, Central Region, Singapore, Asia",$50M to $100M,25000,SGD,18481,Early Stage Venture,7,Singapore Tourism Accelerator,Singapore Tourism Accelerator,1,,"144,415"
Pre Seed Round - Octant AI,https://www.crunchbase.com/funding_round/endeavour-programme-2736-pre-seed--c86b8e91,Octant AI,https://www.crunchbase.com/organization/endeavour-programme-2736,Pre-Seed,200000,USD,200000,2021-07-01,Seed,6000000,USD,6000000,Yes,B2B on-line financial risk prediction product for project based organisations.,"Artificial Intelligence (AI), Construction, Finance, Information Technology, Machine Learning, Project Management, SaaS, Software",https://octantai.com/,,"Brisbane, Queensland, Australia, Oceania",$1M to $10M,2000000,USD,2000000,Seed,3,,,,,"191,645"
Seed Round - Nicslab,https://www.crunchbase.com/funding_round/nicslab-seed--5b9593dd,Nicslab,https://www.crunchbase.com/organization/nicslab,Seed,120000,USD,120000,2021-06-07,Seed,,,,Yes,Nicslab offers chip-scale and OEM/ODM solutions.,"Artificial Intelligence (AI), Information Technology, Product Design",https://www.nicslab.com/,,"Palo Alto, California, United States, North America",Less than $1M,220000,USD,220000,Seed,4,Techstars,Techstars,1,1,"330,734"
Pre Seed Round - Murmur,https://www.crunchbase.com/funding_round/murmur-5ddc-pre-seed--b2be37b8,Murmur,https://www.crunchbase.com/organization/murmur-5ddc,Pre-Seed,50000,USD,50000,2021-10-04,Seed,,,,Yes,Behavioral Movable Outdoor Programmatic Ad Platform Powered by real-time data and AI,"Analytics, Artificial Intelligence (AI), Brand Marketing, Computer Vision, Machine Learning, SaaS",https://murmurads.com,"Women Founded, Women Led","Chicago, Illinois, United States, North America",,350000,USD,350000,Seed,6,,,,,"605,277"
Pre Seed Round - Bizarro Fintech Solutions,https://www.crunchbase.com/funding_round/bizarro-fintech-solutions-pre-seed--256c9435,Bizarro Fintech Solutions,https://www.crunchbase.com/organization/bizarro-fintech-solutions,Pre-Seed,70000,EUR,84290,2021-02-03,Seed,600000,EUR,722482,Yes,Bizarro Fintech Solutions producing AI algorithms for faster banking.,"Artificial Intelligence (AI), Banking, FinTech, Software",https://www.bizarrofintech.com,,"Rijeka, Licko-Senjska, Croatia, Europe",,70000,EUR,84290,Seed,2,,Fil Rouge Capital (FRC),1,,"219,770"
Grant - Samay,https://www.crunchbase.com/funding_round/respira-labs-grant--b8ebcdf1,Samay,https://www.crunchbase.com/organization/respira-labs,Grant,25000,USD,25000,2021-03-23,,,,,No,AI patch platform for COPD diagnosis and management,"Artificial Intelligence (AI), Health Diagnostics, Machine Learning, Wearables",http://www.samayhealth.com,"Hispanic / Latine Founded, Hispanic / Latine Led, Women Founded, Women Led","Mountain View, California, United States, North America",$1M to $10M,4877275,USD,4877275,Seed,18,ResMed,ResMed,1,,"177,783"
Pre Seed Round - Twinny,https://www.crunchbase.com/funding_round/twinny-d277-pre-seed--1b8302d3,Twinny,https://www.crunchbase.com/organization/twinny-d277,Pre-Seed,100000,EUR,113199,2021-11-16,Seed,,,,Yes,SaaS product based on artificial intelligence for Social Commerce,"Artificial Intelligence (AI), Big Data, Business Intelligence, E-Commerce, Metaverse, SaaS, Software",https://www.twinny.es,,"Madrid, Madrid, Spain, Europe",,100000,EUR,113199,Seed,1,,,,,"333,800"
"Pre Seed Round - Dana, by a thousand colibris SL",https://www.crunchbase.com/funding_round/dana-by-a-thousand-colibris-sl-pre-seed--05b6736b,"Dana, by a thousand colibris SL",https://www.crunchbase.com/organization/dana-by-a-thousand-colibris-sl,Pre-Seed,80000,EUR,97243,2021-01-01,Seed,500000,EUR,607769,Yes,Dana is a certified digital therapeutics software to improve the mental health and well-being of women during motherhood,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device, Mental Health, Personal Health, Women's",https://www.athousandcolibris.com,,"Barcelona, Catalonia, Spain, Europe",,1018123,USD,1018123,Seed,5,,Gerald Heydenreich,1,,"335,172"
Convertible Note - GOGO Band,https://www.crunchbase.com/funding_round/gogo-band-convertible-note--0bc1af99,GOGO Band,https://www.crunchbase.com/organization/gogo-band,Convertible Note,200000,USD,200000,2021-04-27,,,,,No,GOGO Band is pioneering the use of biometric data from wearables using AI/ML predictive analytics to manage chronic health conditions.,"Artificial Intelligence (AI), Biotechnology, Health Care, Machine Learning, Medical",https://mygogoband.com/,,"Ashland, Virginia, United States, North America",Less than $1M,2130000,USD,2130000,Seed,7,,,,,"222,956"
Pre Seed Round - allSee,https://www.crunchbase.com/funding_round/allsee-pre-seed--ca0b8882,allSee,https://www.crunchbase.com/organization/allsee,Pre-Seed,500000,RUB,6849,2021-06-06,Seed,,,,Yes,Automotive AI startup for driving school market,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Computer Vision, Internet of Things, Machine Learning, Mobile Apps",,,,,1500000,RUB,20004,Seed,2,,FASIE,1,,"335,282"
Grant - FreightFlows,https://www.crunchbase.com/funding_round/freightflows-grant--26ff4b7d,FreightFlows,https://www.crunchbase.com/organization/freightflows,Grant,120000,USD,120000,2021-08-24,,,,,No,FreightFlows is a maritime company that offers predictive analytics for global trade.,"Analytics, Artificial Intelligence (AI), Big Data, Machine Learning, Software",https://freightflows.com,,"Boston, Massachusetts, United States, North America",$1M to $10M,1995000,USD,1995000,Seed,8,Massachusetts Clean Energy Center,Massachusetts Clean Energy Center,1,1,"224,407"
Non Equity Assistance - Modularity Grid,https://www.crunchbase.com/funding_round/modularity-grid-non-equity-assistance--3e1b99d7,Modularity Grid,https://www.crunchbase.com/organization/modularity-grid,Non-equity Assistance,100000,USD,100000,2021-06-04,,,,,No,Accelerating deployment of renewable energy assets with data and intelligence,"Aerospace, CleanTech, Developer APIs, Developer Platform, Internet of Things, Predictive Analytics",http://www.modularitygrid.com,,"London, England, United Kingdom, Europe",$10M to $50M,1943049,USD,1943049,,3,Google for Startups,Google for Startups,1,,"201,406"
Seed Round - futuresTHRIVE,https://www.crunchbase.com/funding_round/futuresthrive-seed--664b174e,futuresTHRIVE,https://www.crunchbase.com/organization/futuresthrive,Seed,100000,USD,100000,2021-09-08,Seed,,,,Yes,FuturesTHRIVE develops an AI platform to identify and track pediatric mental health easily.,"Artificial Intelligence (AI), Health Care, Machine Learning, Mental Health, Software, Wellness",https://www.futuresthrive.com,Women Founded,"Darien, Connecticut, United States, North America",Less than $1M,356000,USD,356000,Seed,2,,Connecticut Innovations,1,,"122,762"
Seed Round - Perfumeo,https://www.crunchbase.com/funding_round/perfumeo-seed--93d89750,Perfumeo,https://www.crunchbase.com/organization/perfumeo,Seed,55000,USD,55000,2021-12-20,Seed,,,,Yes,"Perfumeo offers an intelligent home diffuser that tailors scent based on user mood, employing cutting-edge, patented AI.","Artificial Intelligence (AI), Information and Communications Technology (ICT), Internet of Things, Smart Home",http://perfumeo-ai.com,,"Cupertino, California, United States, North America",,1140000,USD,1140000,Seed,6,"BNP Paribas, Bpifrance","BNP Paribas, Bpifrance",2,2,"523,292"
Pre Seed Round - Dojah,https://www.crunchbase.com/funding_round/dojah-pre-seed--5346ac44,Dojah,https://www.crunchbase.com/organization/dojah,Pre-Seed,10000,USD,10000,2021-08-19,Seed,,,,Yes,"Dojah is an AI powered fraud prevention and KYC Platform to identity for growth, security, and compliance in the businesses.","Artificial Intelligence (AI), Data Integration, Developer APIs, Fraud Detection, Identity Management, Internet",https://www.dojah.io,Women Founded,"San Francisco, California, United States, North America",$1M to $10M,510000,USD,510000,Seed,6,,,,,"202,279"
Pre Seed Round - Beynex,https://www.crunchbase.com/funding_round/beynex-pre-seed--a48f5ef6,Beynex,https://www.crunchbase.com/organization/beynex,Pre-Seed,25000,USD,25000,2021-08-31,Seed,,,,Yes,Beynex is a brain health application designed to help its users achieve true brain longevity,"Artificial Intelligence (AI), Fitness, Health Care, mHealth, Mobile Apps, Personal Health, Wellness",https://beynex.com/,,"Istanbul, Istanbul, Turkey, Europe",Less than $1M,285000,USD,285000,Seed,5,,,,,"123,812"
Pre Seed Round - Shortcut,https://www.crunchbase.com/funding_round/shortcut-6417-pre-seed--5200f815,Shortcut,https://www.crunchbase.com/organization/shortcut-6417,Pre-Seed,105000,EUR,127144,2021-06-12,Seed,,,,Yes,"Shortcut supports CGPs and enables automation of emailing, invitations and customer communications.","Artificial Intelligence (AI), CRM, Wealth Management",https://short-cut.ai/,,"Paris, Ile-de-France, France, Europe",,155000,EUR,177791,Seed,2,,,,,"202,561"
Pre Seed Round - Remesh,https://www.crunchbase.com/funding_round/remesh-pre-seed--ae30a873,Remesh,https://www.crunchbase.com/organization/remesh,Pre-Seed,60000,USD,60000,2021-02-24,Seed,,,,Yes,Remesh offers an AI-powered platform that enables users to have live conversations with their customers at scale.,"Analytics, Artificial Intelligence (AI), Business Intelligence, Market Research, Project Management, Social Media",http://remesh.ai,,"New York, New York, United States, North America",$10M to $50M,39007000,USD,39007000,Early Stage Venture,9,Techstars,Techstars,1,,"123,961"
Grant - Iubi,https://www.crunchbase.com/funding_round/iubi-grant--2db72c8f,Iubi,https://www.crunchbase.com/organization/iubi,Grant,20000,USD,20000,2021-01-01,,,,,No,"Iubi is a robotics company which has developed the Iubi AI-companion robot, which gamifies routines of kids in treatment.","Artificial Intelligence (AI), Child Care, Elder Care, Gaming, Health Care, Home Health Care, Medical, Personal Health",http://iubi.me,,"Concepcion, Bio-Bio, Chile, South America",Less than $1M,20000,USD,20000,,1,,CORFO,1,,"204,165"
Grant - digna,https://www.crunchbase.com/funding_round/digna-grant--af6c69b7,digna,https://www.crunchbase.com/organization/digna,Grant,170000,EUR,199365,2021-03-31,,,,,No,Data Observability and Modern Data Quality For Data Platforms,"Artificial Intelligence (AI), Data Management, Database, Enterprise Software, Information Technology, Machine Learning",https://digna.ai,,"Vienna, Wien, Austria, Europe",,220000,EUR,255460,,2,Vienna Business Agency,Vienna Business Agency,1,,"525,729"
Grant - YARP - Yet Another Recruiting Platform,https://www.crunchbase.com/funding_round/yarp-yet-another-recruiting-platform-grant--cd309fe2,YARP - Yet Another Recruiting Platform,https://www.crunchbase.com/organization/yarp-yet-another-recruiting-platform,Grant,40000,USD,40000,2021-02-11,,,,,No,"With YARP you can find the right employees in minutes, not weeks!","Data Mining, Information Technology, Natural Language Processing, Recruiting, SaaS, Software",https://yarp.site?lang=eng,,"New Castle, Delaware, United States, North America",,170000,USD,170000,,2,,,,,"259,367"
Angel Round - Channels Inc.,https://www.crunchbase.com/funding_round/chanels-angel--72a81873,Channels Inc.,https://www.crunchbase.com/organization/chanels,Angel,30000,USD,30000,2021-02-01,Seed,,,,Yes,Channels is a SaaS company focused on providing a communications platform for the physical worker rather than the remote.,"Event Management, Internet, Natural Language Processing, SaaS, Software",https://www.seechannels.tech,,"Dubai, Dubai, United Arab Emirates, Asia",$1M to $10M,571780,USD,571780,Seed,4,,,,,"526,726"
Seed Round - Tensor Networks,https://www.crunchbase.com/funding_round/tensor-networks-seed--c16f3330,Tensor Networks,https://www.crunchbase.com/organization/tensor-networks,Seed,200000,USD,200000,2021-10-01,Seed,4000000,USD,4000000,Yes,Mobile App and SaaS for Pattern-of-Life Analysis Platform SARAHAI.,"Artificial Intelligence (AI), Big Data, Business Intelligence, Enterprise Applications, Physical Security, Public Safety, Software",http://www.tensornetworks.com/,,"Sunnyvale, California, United States, North America",$1M to $10M,500000,USD,500000,Seed,2,,,,,"433,335"
Pre Seed Round - Vidarex,https://www.crunchbase.com/funding_round/vidarex-kft-pre-seed--3e7ac491,Vidarex,https://www.crunchbase.com/organization/vidarex-kft,Pre-Seed,15000000,HUF,52493,2021-05-20,Seed,,,,Yes,Vidarex is a scalable and distributed cloud-based video surveillance platform.,"Analytics, Artificial Intelligence (AI), Cyber Security, Security",http://www.vidarex.com,,"Baja, Bacs-Kiskun, Hungary, Europe",,15000000,HUF,52493,Seed,1,,Hiventures,1,,"558,340"
Pre Seed Round - Arva Intelligence,https://www.crunchbase.com/funding_round/arva-intelligence-pre-seed--62772ee3,Arva Intelligence,https://www.crunchbase.com/organization/arva-intelligence,Pre-Seed,75000,USD,75000,2021-04-13,Seed,,,,Yes,Arva Intelligence is an artificial intelligence company serving the agriculture sector.,"Agriculture, Artificial Intelligence (AI), Machine Learning",https://www.arvaintelligence.com/,,"Salt Lake City, Utah, United States, North America",Less than $1M,75000,USD,75000,Seed,2,SVG Ventures,SVG Ventures,1,,"262,371"
Pre Seed Round - Convint.ai,https://www.crunchbase.com/funding_round/convint-ai-pte-ltd-pre-seed--8abe8a66,Convint.ai,https://www.crunchbase.com/organization/convint-ai-pte-ltd,Pre-Seed,100000,SGD,74160,2021-11-01,Seed,250000,SGD,185400,Yes,Convint. AI is a conversational intelligence platform that helps to engage with multiple stakeholders.,Artificial Intelligence (AI),https://www.convint.ai,,"Singapore, Central Region, Singapore, Asia",,100000,SGD,74160,Seed,1,Virender Aggarwal,Virender Aggarwal,1,,"435,122"
Seed Round - SONAH GmbH,https://www.crunchbase.com/funding_round/sonah-seed--b18ac11e,SONAH GmbH,https://www.crunchbase.com/organization/sonah,Seed,25000,EUR,29382,2021-08-24,Seed,,,,Yes,SONAH developed a flexible embedded vision sensor that we install at building or streetlights to solve urban problems.,"Apps, Artificial Intelligence (AI), Computer Vision, Embedded Systems, Information Technology, Internet, Machine Learning, Parking, Smart Cities, Software",http://www.sonah.tech,,"Aachen, Nordrhein-Westfalen, Germany, Europe",,60000,EUR,71890,Seed,3,,TK-Solutions,1,,"437,398"
Pre Seed Round - Independents,https://www.crunchbase.com/funding_round/independents-pre-seed--7886a364,Independents,https://www.crunchbase.com/organization/independents,Pre-Seed,200000,USD,200000,2021-04-13,Seed,,,,Yes,"Independents hopes to connect and match independent advertising and creative teams to fit brands' needs, using AI.","Advertising, Artificial Intelligence (AI), Marketing",https://independents.ai/,,"Singapore, Central Region, Singapore, Asia",Less than $1M,200000,USD,200000,Seed,1,Accelerating Asia,Accelerating Asia,1,,"613,440"
Series A - ViomaTech (HealWell24),https://www.crunchbase.com/funding_round/hwell24-plus-healthcare-series-a--b0d2dd6b,ViomaTech (HealWell24),https://www.crunchbase.com/organization/hwell24-plus-healthcare,Series A,200000,USD,200000,2021-09-01,Early Stage Venture,9500000,USD,9500000,Yes,HealWell24 is a healthcare marketplace and doctor patient network platform and connects patients to nearby doctors.,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Internet, Medical",http://www.healwell24.com/,,"Mumbai, Maharashtra, India, Asia",Less than $1M,2103333,USD,2103333,M&A,8,Tainwala Group,"ABHISHEK Pandey, Kemexel Ventures (KEMEXEL GROUP COMPANIES), Plus Healthcare, Tainwala Group",4,1,"575,428"
Seed Round - Makes.ai,https://www.crunchbase.com/funding_round/makes-ai-seed--65b9105c,Makes.ai,https://www.crunchbase.com/organization/makes-ai,Seed,80000,BRL,14167,2021-12-02,Seed,,,,Yes,AI Solutions to Help Companies Grow.,"Analytics, Artificial Intelligence (AI), Computer Vision, Consulting, CRM, Machine Learning, Natural Language Processing, Software",https://makes.ai/,,"Goiânia, Goias, Brazil, South America",,660000,BRL,127134,Seed,5,,Juvenilton Bezerra,1,,"575,911"
Debt Financing - Cythereal,https://www.crunchbase.com/funding_round/cythereal-inc-debt-financing--3bf90058,Cythereal,https://www.crunchbase.com/organization/cythereal-inc,Debt Financing,36000,USD,36000,2021-12-15,,,,,No,"Cythereal’s mission is to predict, prevent & investigate zero-day malware attacks by malware analysis & machine learning.","Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS",http://www.cythereal.com,,"Lafayette, Louisiana, United States, North America",Less than $1M,1036000,USD,1036000,Seed,2,,,,,"614,073"
Angel Round - Dozera AI,https://www.crunchbase.com/funding_round/dozera-ai-angel--6809aa1d,Dozera AI,https://www.crunchbase.com/organization/dozera-ai,Angel,1000,USD,1000,2021-02-02,Seed,,,,Yes,Dozera AI is an AI research and deployment company that conducts research and implements machine learning.,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software",https://www.dozera.in,,"Los Angeles, California, United States, North America",,95741098,USD,95741098,Seed,3,,Hani Yadav,1,,"577,130"
Grant - Theneo,https://www.crunchbase.com/funding_round/theneo-grant--8799e683,Theneo,https://www.crunchbase.com/organization/theneo,Grant,100000,GEL,32154,2021-10-01,,,,,No,Next-Gen API Documentation with AI Brilliance. Generate Stripe-like API docs in just a few seconds,"Artificial Intelligence (AI), Developer Tools, SEO, Software",https://theneo.io/,"Women Founded, Women Led","San Francisco, California, United States, North America",Less than $1M,532154,USD,532154,,3,,,,,"538,284"
Debt Financing - Logmind,https://www.crunchbase.com/funding_round/logmind-debt-financing--4bb7ccd7,Logmind,https://www.crunchbase.com/organization/logmind,Debt Financing,200000,CHF,216812,2021-12-13,,,,,No,Logmind is an AI-accelerated log data analytics platform for the visibility and automated insights into unstructured log data.,"Analytics, Apps, Artificial Intelligence (AI), Big Data, DevOps, Information Technology, Machine Learning, Productivity Tools, Software",https://www.logmind.com,,"Lausanne, Vaud, Switzerland, Europe",Less than $1M,280000,CHF,297726,Seed,7,Foundation for Technological Innovation (FIT),Foundation for Technological Innovation (FIT),1,,"587,111"
Seed Round - Brenpower,https://www.crunchbase.com/funding_round/bren-i-leri-seed--999c115c,Brenpower,https://www.crunchbase.com/organization/bren-i-leri,Seed,121000,USD,121000,2021-07-13,Seed,7500000,USD,7500000,Yes,"Brenpower is an industrial solution, utilizing IoT and AI technologies to reduce carbon emissions and enhance operational efficiency.","Artificial Intelligence (AI), Chemical, Energy, Energy Efficiency, Food and Beverage, Industrial Automation, Internet of Things, Oil and Gas, Paper Manufacturing",https://www.brenpower.co,,"London, England, United Kingdom, Europe",,501000,USD,501000,Seed,3,Keiretsu Forum Turkey,Keiretsu Forum Turkey,1,,"134,531"
Seed Round - TripYeah,https://www.crunchbase.com/funding_round/tripyeah-seed--9839cc7f,TripYeah,https://www.crunchbase.com/organization/tripyeah,Seed,20000,USD,20000,2021-05-12,Seed,,,,Yes,Next-Generation Travel Meta-Optimizer.,"Machine Learning, Tourism, Travel",https://www.tripyeah.com/,,"Santiago, Region Metropolitana, Chile, South America",Less than $1M,462500,USD,462500,M&A,5,CORFO,CORFO,1,,"638,587"
Pre Seed Round - Stride Ahead,https://www.crunchbase.com/funding_round/stride-ahead-pre-seed--a7a41279,Stride Ahead,https://www.crunchbase.com/organization/stride-ahead,Pre-Seed,7350000,INR,100968,2021-02-07,Seed,,,,Yes,Stride Ahead is a B2B plug and play SaaS leverages behavioral analytics and AI to improve conversions for education sector,"Artificial Intelligence (AI), Business Intelligence, Education, Machine Learning, Psychology, SaaS, Sales Automation, Software, Subscription Service",https://strideahead.io/,,"Delhi, Delhi, India, Asia",Less than $1M,8450000,INR,116839,Seed,2,Rachit Poddar,Rachit Poddar,1,,"239,957"
Pre Seed Round - iBookr.ai Kft.,https://www.crunchbase.com/funding_round/ibookr-ai-kft-pre-seed--c605df6a,iBookr.ai Kft.,https://www.crunchbase.com/organization/ibookr-ai-kft,Pre-Seed,30000000,HUF,105639,2021-06-02,Seed,,,,Yes,FinTech,"Accounting, Artificial Intelligence (AI), Enterprise Software",https://ibookr.com,,"Gyor, Gyor, Hungary, Europe",,164999,USD,164999,Seed,2,,Hiventures,1,,"136,533"
Pre Seed Round - CryptoMate,https://www.crunchbase.com/funding_round/cryptomate-pre-seed--00bf7b99,CryptoMate,https://www.crunchbase.com/organization/cryptomate,Pre-Seed,200000,USD,200000,2021-08-01,Seed,,,,Yes,It's time to become a Crypto Company. Plug and play crypto APIs for the mass adoption of web3 business models.,"Artificial Intelligence (AI), B2B, Blockchain, Developer APIs, FinTech, Information Technology, Web3",https://cryptomate.me,,"Buenos Aires, Distrito Federal, Argentina, South America",,1250000,USD,1250000,Seed,3,,"Flori Ventures, SBX Capital, Trampoline Venture Partners",3,,"136,627"
Seed Round - SOAP Health,https://www.crunchbase.com/funding_round/soap-health-seed--2b64a5be,SOAP Health,https://www.crunchbase.com/organization/soap-health,Seed,150000,USD,150000,2021-11-15,Seed,,,,Yes,"SOAP's patented, clinically validated, AI powered patient intake combines early disease risk and symptom assessment to improve diagnosis","Artificial Intelligence (AI), Health Care, Hospital, Medical, mHealth, Predictive Analytics",https://soap.health,Women Founded,"Boca Raton, Florida, United States, North America",$1M to $10M,3400000,USD,3400000,Seed,5,Jumpstart Foundry,"Jumpstart Foundry, Right Side Capital Management",2,,"241,068"
Pre Seed Round - Pipedream Labs,https://www.crunchbase.com/funding_round/pipedream-labs-pre-seed--4d9a0717,Pipedream Labs,https://www.crunchbase.com/organization/pipedream-labs,Pre-Seed,120000,USD,120000,2021-01-25,Seed,,,,Yes,Pipedream Labs is a hyper logistics company that provides underground tunnel and tube works.,"Artificial Intelligence (AI), Delivery, Logistics, Robotics",https://pipedreamlabs.co,,"Austin, Texas, United States, North America",$1M to $10M,24147169,USD,24147169,,6,Techstars,Techstars,1,1,"212,993"
Pre Seed Round - gravityAI,https://www.crunchbase.com/funding_round/gravityai-pre-seed--172b851c,gravityAI,https://www.crunchbase.com/organization/gravityai,Pre-Seed,120000,USD,120000,2021-01-28,Seed,,,,Yes,"gravityAI is a marketplace for enterprise product teams to explore, test, procure, and integrate AI solution.","Artificial Intelligence (AI), Software",https://www.gravity-ai.com/,,"New York, New York, United States, North America",$1M to $10M,2070000,USD,2070000,Seed,4,Techstars,Techstars,1,1,"137,472"
Pre Seed Round - Cybrik,https://www.crunchbase.com/funding_round/cybrik-pre-seed--bd819005,Cybrik,https://www.crunchbase.com/organization/cybrik,Pre-Seed,120000,USD,120000,2021-09-13,Seed,,,,Yes,Cybrik project intelligence is a cloud based AI platform for radically improving engineering and construction projects,"Artificial Intelligence (AI), Construction, Information Technology, Infrastructure, Machine Learning",https://www.cybrik.ai/,,"Madrid, Madrid, Spain, Europe",Less than $1M,120000,USD,120000,Seed,2,Techstars,Techstars,1,1,"303,702"
Seed Round - Ayonix Pty Ltd,https://www.crunchbase.com/funding_round/ayonix-corporation-seed--69d8620e,Ayonix Pty Ltd,https://www.crunchbase.com/organization/ayonix-corporation,Seed,15000,USD,15000,2021-03-10,Seed,50000000,USD,50000000,Yes,"AI Technology company in Australia. AI products for healthcare, Security and Governments","3D Technology, Analytics, Artificial Intelligence (AI), Computer Vision, Information and Communications Technology (ICT), Machine Learning, Military, SaaS, Smart Cities, Smart Home",http://www.ayonix.com,,"Clayton, Victoria, Australia, Oceania",,15000,USD,15000,Seed,1,,,,,"238,694"
Pre Seed Round - Kankun.io,https://www.crunchbase.com/funding_round/kaancun-pre-seed--700add19,Kankun.io,https://www.crunchbase.com/organization/kaancun,Pre-Seed,100000,USD,100000,2021-01-14,Seed,,,,Yes,Kankun.io develops AI-driven websites to assist our clients in finding information in several key and ever-expanding verticals.,"Artificial Intelligence (AI), Machine Learning, SaaS, Vertical Search",https://kankun.io/,,"Cancún, Quintana Roo, Mexico, North America",,100000,USD,100000,Seed,1,,,,,"304,249"
