Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Announced Date,Organization Description,Diversity Spotlight,Organization Industries,Organization Location,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Investor Names,Number of Investors,Number of Partner Investors,CB Rank (Funding Round)
Pre Seed Round - Trustwise AI,https://www.crunchbase.com/funding_round/trustwise-ai-pre-seed--a859a77f,Trustwise AI,https://www.crunchbase.com/organization/trustwise-ai,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-12-15,Trustwise is an digital safety company leveraging the power of next generation AI,,"Artificial Intelligence (AI), Cyber Security, Information Technology, Software","Austin, Texas, United States, North America",https://www.trustwise.ai,$10M to $50M,4550000,USD,4550000,Seed,3,,,,,"313,122"
Seed Round - Little Picasso,https://www.crunchbase.com/funding_round/little-picasso-seed--727f0122,Little Picasso,https://www.crunchbase.com/organization/little-picasso,Seed,500000000,KRW,382562,Seed,,,,Yes,2022-12-12,Little Picasso AI app manages children's artwork and helps them choose colors and tools.,,"Apps, Art, Artificial Intelligence (AI), Child Care, Children","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://www.littlepicasso.io/,,900000000,KRW,696924,Seed,3,TIPS Program,TIPS Program,1,,"184,472"
Grant - Factually Health,https://www.crunchbase.com/funding_round/factually-health-grant--98b33137,Factually Health,https://www.crunchbase.com/organization/factually-health,Grant,450000,CAD,332498,,,,,No,2023-01-01,AI-Driven Clarity: Revolutionizing how the Health and Wellness Sector empowers its patients and customers with only FACTUAL Health Info,,"Artificial Intelligence (AI), Fitness, Health Care, Information Technology, Machine Learning, Medical, Software, Wellness","Montréal, Quebec, Canada, North America",https://www.factuallyhealth.com/,Less than $1M,450000,CAD,332498,,3,,,,,"493,192"
Seed Round - Gregario,https://www.crunchbase.com/funding_round/gregario-seed--6a2c966d,Gregario,https://www.crunchbase.com/organization/gregario,Seed,500000,USD,500000,Seed,7500000,USD,7500000,Yes,2022-09-08,"Saas that captures, processes and uses AI over e-commerce and last mile information to generate insights for CPG companies",,"Artificial Intelligence (AI), E-Commerce, E-Commerce Platforms, Food and Beverage, Lead Generation, Machine Learning, Mobile Apps, Restaurants, Retail, Retail Technology","Santiago, Region Metropolitana, Chile, South America",https://www.gregario.cl,,500000,USD,500000,Seed,1,Invexor Venture Partners,Invexor Venture Partners,1,,"551,772"
Pre Seed Round - Bel,https://www.crunchbase.com/funding_round/bel-8cc2-pre-seed--cced272d,Bel,https://www.crunchbase.com/organization/bel-8cc2,Pre-Seed,450000,USD,450000,Seed,5400000,USD,5400000,Yes,2023-03-15,AI powered Real Estate Marketplace,,"Artificial Intelligence (AI), Machine Learning, Marketplace, Natural Language Processing, Real Estate","Rio De Janeiro, Rio de Janeiro, Brazil, South America",https://www.bel.vc,Less than $1M,450000,USD,450000,Seed,1,,,,,"552,386"
Pre Seed Round - Berri AI,https://www.crunchbase.com/funding_round/berri-ai-pre-seed--a26b1b84,Berri AI,https://www.crunchbase.com/organization/berri-ai,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-04-05,Berri AI is an API platform for SaaS businesses to create ChatGPT apps programmatically.,,"Artificial Intelligence (AI), Developer Tools, SaaS","San Francisco, California, United States, North America",https://berri.ai,,500000,USD,500000,Seed,2,Y Combinator,"Vishal Rao, Y Combinator",2,,"609,657"
Pre Seed Round - CKM Analytix,https://www.crunchbase.com/funding_round/ckm-analytix-pre-seed--3e2b9422,CKM Analytix,https://www.crunchbase.com/organization/ckm-analytix,Pre-Seed,300000,USD,300000,Seed,,,,Yes,2022-03-14,"CKM Analytix develops and distributes T-K, an Intelligence Engine for service operations in SaaS delivery",,"Apps, Artificial Intelligence (AI), Information Technology, Machine Learning, Predictive Analytics, SaaS, Software","New York, New York, United States, North America",https://www.ckmanalytix.com,,1500000,USD,1500000,Seed,2,,,,,"327,361"
Pre Seed Round - TRAiNED,https://www.crunchbase.com/funding_round/trained-7888-pre-seed--7f2e9a0f,TRAiNED,https://www.crunchbase.com/organization/trained-7888,Pre-Seed,264999,USD,264999,Seed,,,,Yes,2023-03-06,TRAiNED utilizes artificial technology to automate manual processes while achieving productivity improvements.,,"Artificial Intelligence (AI), Data Collection and Labeling, Data Integration, Information Technology, Productivity Tools","Pittsburgh, Pennsylvania, United States, North America",https://gettrained.ai/,,264999,USD,264999,Seed,1,,,,,"327,542"
Seed Round - foodforecast,https://www.crunchbase.com/funding_round/foodforecast-seed--f4c33417,foodforecast,https://www.crunchbase.com/organization/foodforecast,Seed,500000,EUR,528242,Seed,,,,Yes,2022-06-22,IT Software using Artificial Intelligence,,"Artificial Intelligence (AI), Bakery, Food and Beverage, Machine Learning, Restaurants, Software","Cologne, Nordrhein-Westfalen, Germany, Europe",https://foodforecast.com,,500000,EUR,528242,Seed,1,,,,,"611,254"
Pre Seed Round - Wrtn Technologies,https://www.crunchbase.com/funding_round/wrtn-technologies-pre-seed--58ac1c6c,Wrtn Technologies,https://www.crunchbase.com/organization/wrtn-technologies,Pre-Seed,500000000,KRW,406805,Seed,,,,Yes,2022-04-15,Wrtn Technologies develops an AI and NLP-based writing assistant to enhance creativity and productivity.,,"Artificial Intelligence (AI), Content, Machine Learning, Natural Language Processing","Seoul, Seoul-t'ukpyolsi, South Korea, Asia",https://wrtn.io,$1M to $10M,44300000000,KRW,33273959,Early Stage Venture,5,TIPS Program,TIPS Program,1,,"612,308"
Pre Seed Round - Kardi Ai,https://www.crunchbase.com/funding_round/kardi-ai-pre-seed--1b828c96,Kardi Ai,https://www.crunchbase.com/organization/kardi-ai,Pre-Seed,350000,EUR,374043,Seed,,,,Yes,2022-05-25,Worry-free heart care from home enabled by commercially available trackers and cutting edge AI,,"Artificial Intelligence (AI), Health Care, Machine Learning, Medical Device","Olomouc, Olomoucky kraj, Czech Republic, Europe",https://www.kardi.ai,,1850000,EUR,2024675,Seed,2,BrightCap Ventures,"BrightCap Ventures, DEPO Ventures",2,,"613,268"
Grant - AgriSynth,https://www.crunchbase.com/funding_round/agrisynth-grant--dbef33a1,AgriSynth,https://www.crunchbase.com/organization/agrisynth,Grant,327396,GBP,378051,,,,,No,2022-09-01,AgriSynth is a B2B Saas company that trains agricultural AI to procure image datasets.,,"AgTech, Artificial Intelligence (AI), Software","Fressingfield, Suffolk, United Kingdom, Europe",https://agrisynth.io,,587396,GBP,717840,Seed,6,Innovate UK Smart Grant,Innovate UK Smart Grant,1,,"354,682"
Seed Round - Stocksnips,https://www.crunchbase.com/funding_round/stocksnips-seed--f8ebfe75,Stocksnips,https://www.crunchbase.com/organization/stocksnips,Seed,425000,USD,425000,Seed,,,,Yes,2022-12-12,StockSnips's AI based platform quantifies investor sentiment that generates alpha,,"Analytics, Artificial Intelligence (AI), Finance, Financial Services, FinTech, Machine Learning","Pittsburgh, Pennsylvania, United States, North America",http://stocksnips.net/,$1M to $10M,2150000,USD,2150000,Seed,5,Walter Winshall,Walter Winshall,1,,"641,731"
Pre Seed Round - BinarBase,https://www.crunchbase.com/funding_round/binarbase-pre-seed--b8fc1918,BinarBase,https://www.crunchbase.com/organization/binarbase,Pre-Seed,400000,EUR,396475,Seed,2000000,EUR,1982373,Yes,2022-10-05,Data For Everyone. Powered by AI.,,"Analytics, Artificial Intelligence (AI), Big Data, Business Intelligence, Data Integration, Data Visualization, Database, Enterprise Software, Machine Learning","Bratislava, Bratislava, Slovakia (Slovak Republic), Europe",https://binarbase.com/,,400000,EUR,396475,Seed,2,Zero One Hundred,Zero One Hundred,1,,"641,802"
Seed Round - EarReality,https://www.crunchbase.com/funding_round/earreality-seed--cfce6df8,EarReality,https://www.crunchbase.com/organization/earreality,Seed,300000,EUR,321558,Seed,4500000,EUR,4823368,Yes,2023-03-20,"Interactive Audio Stories & Games (Saas, Agency, Publisher)",,"Audio, Audiobooks, Automotive, Digital Media, Gamification, Gaming, Generative AI, Software, Speech Recognition","Heimsheim, Baden-Wurttemberg, Germany, Europe",https://twist-tales.com,Less than $1M,600000,EUR,648087,Seed,2,,,,,"181,828"
Seed Round - WritePath,https://www.crunchbase.com/funding_round/writepath-seed--ff4c0229,WritePath,https://www.crunchbase.com/organization/writepath,Seed,340000,USD,340000,Seed,,,,Yes,2022-12-15,"Cloud-based B2B translation, copy writing and editing platform",,"Education, Natural Language Processing, Printing","Taipei, T'ai-pei, Taiwan, Asia",http://writepath.co,,865000,USD,865000,Seed,2,"Alex Lee, Mark Chang Mun Kee","Alex Lee, Mark Chang Mun Kee",2,,"142,143"
Pre Seed Round - Surmount AI,https://www.crunchbase.com/funding_round/surmount-ai-pre-seed--e5c7353b,Surmount AI,https://www.crunchbase.com/organization/surmount-ai,Pre-Seed,750000,USD,750000,Seed,,,,Yes,2022-02-01,A data-driven hedge fund in your pocket,,"FinTech, Machine Learning, Software, Trading Platform","San Francisco, California, United States, North America",https://surmount.ai,$1M to $10M,1250000,USD,1250000,Seed,2,Techstars,Techstars,1,,"534,654"
Corporate Round - Blue Orange Digital,https://www.crunchbase.com/funding_round/1987-corporate-round--782202c0,Blue Orange Digital,https://www.crunchbase.com/organization/1987,Corporate Round,699999,USD,699999,,,,,Yes,2022-04-13,Blue Orange is a data science and machine learning consulting and development firm.,,"Analytics, Artificial Intelligence (AI), Big Data, Cloud Data Services, Data Integration, Data Visualization, Machine Learning, Predictive Analytics, Software","New York, New York, United States, North America",https://blueorange.digital/,$1M to $10M,699999,USD,699999,,1,Oliver Wyman,Oliver Wyman,1,,"535,335"
Seed Round - Agrud Technologies,https://www.crunchbase.com/funding_round/agrud-seed--397b8059,Agrud Technologies,https://www.crunchbase.com/organization/agrud,Seed,390000,USD,390000,Seed,,,,Yes,2022-04-25,"Marketanalyst, from Agrud, is a WealthTech platform as a service for enhancing Digital Engagement",,"Analytics, Artificial Intelligence (AI), Financial Services, FinTech, Machine Learning, Market Research","Singapore, Central Region, Singapore, Asia",https://www.agrudtech.com/,$1M to $10M,1918250,USD,1918250,Early Stage Venture,5,,,,,"310,428"
Seed Round - WorkOnGrid,https://www.crunchbase.com/funding_round/workongrid-seed--ecd2dc86,WorkOnGrid,https://www.crunchbase.com/organization/workongrid,Seed,700000,USD,700000,Seed,,,,Yes,2022-05-31,WorkOnGrid is an information technology and services company. It is to help businesses adopt technology through products and more.,,"Analytics, Artificial Intelligence (AI), Data Visualization, Developer APIs, Enterprise Software, Information Technology, Software","Bangalore, Karnataka, India, Asia",https://www.workongrid.com/,,850000,USD,850000,Seed,2,Indian Angel Network,"Indian Angel Network, Jaideep Mehta, KRS Jamwal, Pramod Jajoo, Shalil Gupta",5,1,"310,597"
Pre Seed Round - Fieldhouse,https://www.crunchbase.com/funding_round/fieldhouse-cf20-pre-seed--f122284a,Fieldhouse,https://www.crunchbase.com/organization/fieldhouse-cf20,Pre-Seed,635000,USD,635000,Seed,,,,Yes,2022-07-28,Fieldhouse democratizes digital training data to provide athletes with AI-driven actionable insights from their personalized data,,"Artificial Intelligence (AI), SaaS, Sports","New York, New York, United States, North America",https://www.fieldhouse.app/,,635000,USD,635000,Seed,3,,,,,"471,013"
Debt Financing - Smile,https://www.crunchbase.com/funding_round/smile-ba26-debt-financing--6e46ef4a,Smile,https://www.crunchbase.com/organization/smile-ba26,Debt Financing,340000,USD,340000,,,,,No,2022-05-11,Smile develops an AI-driven dating app designed to build meaningful human connections.,"Women Founded, Women Led","Artificial Intelligence (AI), Dating, Mobile Apps, Social Media","Boston, Massachusetts, United States, North America",https://www.smiledatingapp.com/,Less than $1M,340000,USD,340000,Seed,2,,,,,"471,393"
Non Equity Assistance - FinanceGPT Labs,https://www.crunchbase.com/funding_round/ipoxcap-non-equity-assistance--30323fe6,FinanceGPT Labs,https://www.crunchbase.com/organization/ipoxcap,Non-equity Assistance,300000,USD,300000,,,,,No,2022-09-07,Democrating access to high performance financial analysis tools and insights.,,"Analytics, Artificial Intelligence (AI), Asset Management, Big Data, Financial Services, FinTech, Generative AI, Machine Learning, Market Research, Trading Platform","Middletown, Delaware, United States, North America",https://financegptlabs.com,,520000,USD,520000,,7,Microsoft for Startups,Microsoft for Startups,1,,"282,662"
Grant - Whp.AI,https://www.crunchbase.com/funding_round/whpai-grant--6f5ac450,Whp.AI,https://www.crunchbase.com/organization/whpai,Grant,290000,EUR,321146,,,,,No,2022-03-31,"WhpAI is an AI company that discovers the candidate's potential skills in the resume, LinkedIn profile, or employee card in the company HMS.",,"Artificial Intelligence (AI), Business Intelligence, Human Resources, Machine Learning, Natural Language Processing, PaaS, Recruiting, Software","Bari, Puglia, Italy, Europe",https://whp.ai,,508000,EUR,560204,,3,,,,,"172,053"
Seed Round - WealthAgile,https://www.crunchbase.com/funding_round/wealthagile-seed--09305a9f,WealthAgile,https://www.crunchbase.com/organization/wealthagile,Seed,475000,CAD,353526,Seed,3100000,CAD,2307224,Yes,2022-12-01,crypto marketplace aggregator that connects retail investors with top institution-sourced index portfolios.,,"Artificial Intelligence (AI), Asset Management, B2B, B2C, Blockchain, Cryptocurrency, FinTech, Machine Learning, SaaS, Web3","Toronto, Ontario, Canada, North America",https://wealthagile.com/,$1M to $10M,1421000,CAD,1096800,Seed,4,,,,,"479,421"
Venture Round - Strados Labs,https://www.crunchbase.com/funding_round/strados-labs-series-unknown--b82f291c,Strados Labs,https://www.crunchbase.com/organization/strados-labs,Venture - Series Unknown,585000,USD,585000,,,,,Yes,2022-06-03,Strados Labs innovates respiratory monitoring using smart biosensors and artificial intelligence.,Women Founded,"Artificial Intelligence (AI), Health Care, Medical, Medical Device, mHealth, PaaS, Wearables","Philadelphia, Pennsylvania, United States, North America",https://www.stradoslabs.com/,$1M to $10M,8158997,USD,8158997,,8,,,,,"479,809"
Pre Seed Round - Loma,https://www.crunchbase.com/funding_round/loma-2fc1-pre-seed--d0bdbdab,Loma,https://www.crunchbase.com/organization/loma-2fc1,Pre-Seed,530000,GBP,712582,Seed,,,,Yes,2022-01-31,Using AI to unblock resale's biggest bottleneck and riskiest process.,,"Big Data, E-Commerce, Enterprise Software, Machine Learning, Manufacturing, Retail Technology, SaaS","London, England, United Kingdom, Europe",https://asklomafirst.com/,,530000,GBP,712582,Seed,1,Haatch,"Haatch, SPWOne",2,5,"239,163"
Series A - ProfilePrint,https://www.crunchbase.com/funding_round/profileprint-series-a--d9eecc50,ProfilePrint,https://www.crunchbase.com/organization/profileprint,Series A,600000,USD,600000,Early Stage Venture,,,,Yes,2022-08-11,ProfilePrint provides a food ingredient analysis platform.,,"Artificial Intelligence (AI), Food and Beverage, Machine Learning","Singapore, Central Region, Singapore, Asia",https://theprofileprint.com/,$1M to $10M,1359013,USD,1359013,Early Stage Venture,5,Cargill,Cargill,1,,"240,341"
Seed Round - Vatis Tech,https://www.crunchbase.com/funding_round/vatis-tech-seed--47dff88d,Vatis Tech,https://www.crunchbase.com/organization/vatis-tech,Seed,650000,EUR,697987,Seed,,,,Yes,2023-01-10,"Vatis Tech provides a speech recognition application programming interface for multiple fields, in multiple languages.",,"Artificial Intelligence (AI), Speech Recognition","Bucharest, Bucuresti, Romania, Europe",https://vatis.tech/,,850000,EUR,935454,Seed,2,"Early Game Ventures, Malin-Iulian Stefanescu, Sparking Capital","Early Game Ventures, Malin-Iulian Stefanescu, Sparking Capital",3,2,"386,720"
Angel Round - PONS,https://www.crunchbase.com/funding_round/pons-digital-angel--cfe25f17,PONS,https://www.crunchbase.com/organization/pons-digital,Angel,250000,USD,250000,Seed,,,,Yes,2022-02-11,PONS AI system converts any mobile ultrasound with AI into a powerful high-quality data source.,"Middle Eastern / North African Founded, Middle Eastern / North African Led","Artificial Intelligence (AI), Health Care, Home Health Care, Life Science, Machine Learning, Medical Device, Software","Jersey City, New Jersey, United States, North America",https://www.ponstech.co/,Less than $1M,655000,USD,655000,Seed,7,,SOSV,1,,"386,869"
Convertible Note - The Good Face Project,https://www.crunchbase.com/funding_round/the-good-face-project-convertible-note--eae09746,The Good Face Project,https://www.crunchbase.com/organization/the-good-face-project,Convertible Note,420000,USD,420000,,,,,No,2022-01-30,"Innovation platform for the next generation of beauty, enabling transparent, sustainable, compliant and competitive product development.","Women Founded, Women Led","Artificial Intelligence (AI), B2B, Beauty, Cosmetics, Machine Learning, Retail Technology, Software","La Jolla, California, United States, North America",https://thegoodfaceproject.com/,$1M to $10M,7290000,USD,7290000,Seed,6,,,,,"224,076"
Seed Round - Lawfully,https://www.crunchbase.com/funding_round/lawfully-seed--2346299d,Lawfully,https://www.crunchbase.com/organization/lawfully,Seed,500000,USD,500000,Seed,20000000,USD,20000000,Yes,2022-07-24,Lawfully is an immigration legaltech company aiming to help immigrants and lawyers using data analytics and AI technology.,,"Analytics, Artificial Intelligence (AI), Legal, Legal Tech, Machine Learning","New York, New York, United States, North America",https://www.lawfully.com/,$1M to $10M,2800000,USD,2800000,Seed,7,,Lotte Ventures,1,,"224,365"
Seed Round - Tesseract Ventures,https://www.crunchbase.com/funding_round/tesseract-ventures-seed--a49ca0d3,Tesseract Ventures,https://www.crunchbase.com/organization/tesseract-ventures,Seed,508000,USD,508000,Seed,,,,Yes,2022-12-28,Tesseract Ventures develops data visualization tools and robotic technology to help companies work smarter and innovate faster.,,"Artificial Intelligence (AI), Cyber Security, Electronics, Information Technology, Productivity Tools, Robotics","Overland Park, Kansas, United States, North America",http://tesseractventures.io,$1M to $10M,3758000,USD,3758000,Seed,4,,,,,"387,829"
Angel Round - BeforeSunset AI,https://www.crunchbase.com/funding_round/beforesunset-angel--72fe6147,BeforeSunset AI,https://www.crunchbase.com/organization/beforesunset,Angel,300000,USD,300000,Seed,,,,Yes,2022-05-07,AI-powered productivity tool for busy professionals&teams to manage their day.,Women Founded,"Artificial Intelligence (AI), Enterprise Software, Productivity Tools, SaaS, Software","Wilmington, Delaware, United States, North America",https://www.beforesunset.ai/,,350000,USD,350000,Seed,4,,,,,"387,908"
Seed Round - Envolve Tech,https://www.crunchbase.com/funding_round/envolve-technology-seed--f595c6d9,Envolve Tech,https://www.crunchbase.com/organization/envolve-technology,Seed,600000,GBP,721614,Seed,,,,Yes,2023-03-01,"We provide behaviour-driven recommendations across multiple onsite E-commerce platforms, from automated chat to click-through overlays.",,"Advertising, Artificial Intelligence (AI), Machine Learning, Marketing, Messaging, Natural Language Processing, Predictive Analytics, SaaS, Social Media, Software","Newport, Newport, United Kingdom, Europe",http://www.envolvetech.com/,$1M to $10M,1320000,GBP,1685147,Seed,3,,,,,"388,571"
Pre Seed Round - Dojah,https://www.crunchbase.com/funding_round/dojah-pre-seed--dc5afd58,Dojah,https://www.crunchbase.com/organization/dojah,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2022-01-20,"Dojah is an AI powered fraud prevention and KYC Platform to identity for growth, security, and compliance in the businesses.",Women Founded,"Artificial Intelligence (AI), Data Integration, Developer APIs, Fraud Detection, Identity Management, Internet","San Francisco, California, United States, North America",https://www.dojah.io,$1M to $10M,510000,USD,510000,Seed,6,Y Combinator,Y Combinator,1,,"389,631"
Seed Round - Procys,https://www.crunchbase.com/funding_round/procys-seed--9143d782,Procys,https://www.crunchbase.com/organization/procys,Seed,500000,EUR,568698,Seed,,,,Yes,2022-01-01,Procys automates document data processing with cutting-edge machine learning to help teams save time and money,,"Artificial Intelligence (AI), FinTech, Machine Learning","Rotterdam, Zuid-Holland, The Netherlands, Europe",https://procys.com,Less than $1M,500000,EUR,568698,Seed,1,Arno Vis,Arno Vis,1,,"531,042"
Pre Seed Round - Birdseye,https://www.crunchbase.com/funding_round/birdseye-5349-pre-seed--d12dcedb,Birdseye,https://www.crunchbase.com/organization/birdseye-5349,Pre-Seed,500000,USD,500000,Seed,,,,Yes,2023-03-29,Empowering retailers to boost revenue and build enduring relationships with their customers.,,"Artificial Intelligence (AI), Data Integration, Marketing, SaaS, Software","Toronto, Ontario, Canada, North America",http://www.birdseyeglobal.com,,3500000,USD,3500000,Seed,2,Drive Capital,Drive Capital,1,,"531,714"
Angel Round - CITEC,https://www.crunchbase.com/funding_round/citec-f9b1-angel--08f626ec,CITEC,https://www.crunchbase.com/organization/citec-f9b1,Angel,500000,EUR,544675,Seed,,,,Yes,2023-01-26,"CITEC offers personalized portfolio management and rebalancing technology to online brokers, wealth and asset managers.",,"Artificial Intelligence (AI), Asset Management, FinTech, SaaS, Software, Wealth Management","Miami, Florida, United States, North America",https://citecsolutions.com,,500000,EUR,544675,Seed,1,,,,,"226,494"
Seed Round - Gramik,https://www.crunchbase.com/funding_round/agri-junction-seed--9573b60d,Gramik,https://www.crunchbase.com/organization/agri-junction,Seed,40000000,INR,490953,Seed,1500000000,INR,18410724,Yes,2022-10-04,"Gramik is a social commerce platform that enables farmers to connect with technology, training, and financial help from others.",,"AgTech, Artificial Intelligence (AI), E-Commerce, Machine Learning","Lucknow, Uttar Pradesh, India, Asia",https://www.gramik.in/,,103250000,INR,1290893,Seed,4,,,,,"227,184"
Pre Seed Round - Dropmed,https://www.crunchbase.com/funding_round/dropmed-ab-pre-seed--93540d1e,Dropmed,https://www.crunchbase.com/organization/dropmed-ab,Pre-Seed,3050000,SEK,323696,Seed,25000000,SEK,2653244,Yes,2022-01-30,Dropmed is an AI-powered medical marketplace featuring easy E-Commerce transition and purchasing from the source,,"Artificial Intelligence (AI), E-Commerce, Health Care, Marketplace, Medical, Medical Device","Strängnäs, Sodermanlands Lan, Sweden, Europe",https://www.dropmed.se/,,789013,USD,789013,Seed,3,,,,,"580,666"
Grant - Wildlife Imaging Systems,https://www.crunchbase.com/funding_round/wildlife-imaging-systems-grant--1f6375c8,Wildlife Imaging Systems,https://www.crunchbase.com/organization/wildlife-imaging-systems,Grant,255993,USD,255993,,,,,No,2022-02-09,Wildlife Imaging Systems develops a machine vision platform to help the research community conserve wildlife through video capture.,,"Image Recognition, Machine Learning, Motion Capture, Video","Hinesburg, Vermont, United States, North America",https://www.wildlifeimagingsystems.com,,680610,USD,680610,,3,National Science Foundation,National Science Foundation,1,,"229,883"
Seed Round - Filmustage,https://www.crunchbase.com/funding_round/filmustage-seed--b86a7051,Filmustage,https://www.crunchbase.com/organization/filmustage,Seed,550000,USD,550000,Seed,,,,Yes,2023-03-20,Automatic movie script breakdown and scheduling service,,"Artificial Intelligence (AI), Content Creators, Film, Film Distribution, Film Production, Media and Entertainment, SaaS, Software, Video","Santa Monica, California, United States, North America",https://filmustage.com/,,550000,USD,550000,Seed,3,Flyer One Ventures,"Flyer One Ventures, Geek Ventures, IMAGURU Startup Hub, Vesta Capital",4,2,"387,298"
Seed Round - Jidoka Technologies,https://www.crunchbase.com/funding_round/jidoka-technologies-seed--7333d8d2,Jidoka Technologies,https://www.crunchbase.com/organization/jidoka-technologies,Seed,30000000,INR,392436,Seed,,,,Yes,2022-04-19,"Jidoka Technologies engages in the field of industrial automation, delivering cutting-edge engineering solutions.",,"Artificial Intelligence (AI), Industrial Automation, Machine Learning","Chennai, Tamil Nadu, India, Asia",http://www.jidoka-tech.ai/,$1M to $10M,732436,USD,732436,Seed,3,The Chennai Angels,The Chennai Angels,1,1,"535,156"
Seed Round - MakeDashy,https://www.crunchbase.com/funding_round/makedashy-seed--b53af32b,MakeDashy,https://www.crunchbase.com/organization/makedashy,Seed,600000000,KRW,497603,Seed,,,,Yes,2022-01-06,"MakeDashy AI based business tools analyzes customer lifecycle values, retention rates to increase customer loyalty.",,"Artificial Intelligence (AI), Business Intelligence, Sales","San Jose, California, United States, North America",https://www.makedashy.com/,,2200000000,KRW,1612314,Seed,2,Kakao Ventures,Kakao Ventures,1,1,"378,051"
Pre Seed Round - DarkHorse,https://www.crunchbase.com/funding_round/darkhorse-05c3-pre-seed--afab7365,DarkHorse,https://www.crunchbase.com/organization/darkhorse-05c3,Pre-Seed,430000,USD,430000,Seed,10000000,USD,10000000,Yes,2022-05-01,"The world's first scalable youth sports community – leveraging cutting-edge tech & analytics for holistic, player-performance analysis.",,"Analytics, Big Data, Computer Vision, Hardware, Machine Learning, SaaS, Software, Sports","Palo Alto, California, United States, North America",https://www.thedarkhorse.ai ,Less than $1M,1290000,USD,1290000,Seed,6,Scott Sandell,"Confidential ., Harris Barton, Kapil Agrawal, Scott Sandell",4,,"535,760"
Pre Seed Round - The Taster Society (Formerly Second Winery),https://www.crunchbase.com/funding_round/second-winery-pre-seed--23a1e3eb,The Taster Society (Formerly Second Winery),https://www.crunchbase.com/organization/second-winery,Pre-Seed,300000,EUR,316367,Seed,3500000,EUR,3690951,Yes,2023-01-03,Receive curated samples of top wines&spirits on a monthly basis and enjoy with a guided tasting before committing to a full bottle purchase.,,"3D Technology, Artificial Intelligence (AI), B2C, Digital Entertainment, E-Learning, Marketplace, Software, Wine And Spirits, Winery","London, England, United Kingdom, Europe",https://www.secondwinery.com/,,750000,EUR,805714,Seed,2,,,,,"362,887"
Series A - SiteSee,https://www.crunchbase.com/funding_round/sitesee-series-a--e8deeaa1,SiteSee,https://www.crunchbase.com/organization/sitesee,Series A,577012,USD,577012,Early Stage Venture,14000000,USD,14000000,Yes,2022-11-10,Artificial Intelligence Digital Twin for infrastructure analysis.,,"Analytics, Artificial Intelligence (AI), Information Technology, Infrastructure, Machine Learning, SaaS, Telecommunications","Brisbane, Queensland, Australia, Oceania",http://www.sitesee.io,Less than $1M,1494874,USD,1494874,Early Stage Venture,5,,,,,"536,103"
Seed Round - Clearbox AI,https://www.crunchbase.com/funding_round/clearbox-ai-solutions-seed--d5719f9a,Clearbox AI,https://www.crunchbase.com/organization/clearbox-ai-solutions,Seed,385000,EUR,423913,Seed,,,,Yes,2023-04-30,Clearbox AI helps companies to unlock and enrich AI and Data projects through the generation of Synthetic Data.,,"Artificial Intelligence (AI), Information Technology, Machine Learning, SaaS, Software","Turin, Piemonte, Italy, Europe",https://clearbox.ai,$1M to $10M,755000,EUR,849551,Seed,5,,,,,"575,066"
Pre Seed Round - Facedapter,https://www.crunchbase.com/funding_round/facedapter-pre-seed--95cfd3c9,Facedapter,https://www.crunchbase.com/organization/facedapter,Pre-Seed,430000,EUR,468606,Seed,,,,Yes,2022-03-08,"Facial recognition software to recognize and match 3D/NIR, Thermal images to 2D images on passport/ID or an existing database.",,"Artificial Intelligence (AI), Machine Learning, Software","Geneva, Geneve, Switzerland, Europe",https://www.facedapter.com/,,430000,EUR,468606,Seed,1,,Startup Wise Guys,1,,"575,974"
Pre Seed Round - STRUQT,https://www.crunchbase.com/funding_round/struqt-pre-seed--283687b3,STRUQT,https://www.crunchbase.com/organization/struqt,Pre-Seed,245000,EUR,257728,Seed,,,,Yes,2022-06-20,Transdisciplinary media and product lab,,"Augmented Reality, Machine Learning, Product Design, Product Research, Smart Cities, Software, Virtual Reality","Maastricht, Limburg, The Netherlands, Europe",https://www.struqt.org,,245000,EUR,257728,Seed,1,,,,,"370,734"
Seed Round - younet,https://www.crunchbase.com/funding_round/younet-8852-seed--a5f3385a,younet,https://www.crunchbase.com/organization/younet-8852,Seed,800000,CAD,631522,Seed,,,,Yes,2022-06-01,Younet is an AI platform that enables users to create and train personalized AI models using their own data.,,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","Toronto, Ontario, Canada, North America",https://www.younet.ai,,1655000,CAD,1280464,Seed,2,,,,,"394,331"
Angel Round - Resolute Future,https://www.crunchbase.com/funding_round/resolute-future-angel--67b9e1d7,Resolute Future,https://www.crunchbase.com/organization/resolute-future,Angel,300000,USD,300000,Seed,,,,Yes,2023-05-01,Personalized Guide for Entrepreneurs Building a Better Future,,"Artificial Intelligence (AI), Marketplace, Search Engine, Software","Dallas, Texas, United States, North America",https://www.resolutefuture.com,,550000,USD,550000,Seed,2,,,,,"373,729"
