Organization Name,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Number of Founders,Founders,Number of Employees,Number of Lead Investors,Number of Investors,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),Accelerator Application Deadline,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors
Medelse,75000,,$1M to $10M,Active,1/1/2017,year,,,,,2,"Thomas Gendron, Tristan Renoul",Nov-50,,3,https://www.crunchbase.com/organization/medelse,,"CRM, Health Care, Human Resources, Recruiting, Staffing Agency","Paris, Ile-de-France, France",Medelse provides medical recruitment digital solutions.,"361,560","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.medelse.com,https://twitter.com/medelse,https://www.facebook.com/medelse.remplacement.medical/,https://www.linkedin.com/company/medelse/,,,,,,,,,,,,,"Administrative Services, Health Care, Information Technology, Professional Services, Sales and Marketing, Software",5,Seed,11/1/2023,,,,Convertible Note,,,,Seed,,,,,,,"FJ Labs, NUMA, Patrice Roulive"
Meeriad,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/meeriad,,"B2B, Health Care, Mental Health, Psychology, SaaS, Software, Wellness","Paris, Ile-de-France, France",B2B Saas for mental wellness,"418,486","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.meeriad.com/,,,https://www.linkedin.com/company/30242122,contact@meeriad.com,,,,,,,,,,,,"Health Care, Other, Software",1,Seed,1/1/2022,,,,Pre-Seed,,,,Pre-Seed,,,,,,,Inovexus
Meet My Mama,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/meet-my-mama,,Restaurants,"Paris, Ile-de-France, France",Meet My Mama to delight your day-to-day business by offering you cuisines from around the world.,"60,106","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://meetmymama.com,https://twitter.com/meetmymamma,https://www.facebook.com/pg/meetmymama/,https://www.linkedin.com/company/meet-my-mama/,yomama@meetmymama.com,,,,,,,,,,,,Food and Beverage,1,,11/13/2024,3000000,EUR,3169770,Venture - Series Unknown,3000000,EUR,3169770,Venture - Series Unknown,3000000,EUR,3169770,3000000,EUR,3169770,"BNP Paribas, KIMPA - Impact Investing, Up Group, Fair equity, Olympe Capital"
MentorShow,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/mentorshow,,"Advice, E-Learning, Education, Edutainment, Service Industry, Training","Paris, Ile-de-France, France",MentorShow is an online learning and training platform that offers video courses created and hosted by recognized experts in their field.,"34,925","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://mentorshow.com,https://twitter.com/mentor_show?lang=eu,https://www.facebook.com/MentorShow,https://www.linkedin.com/company/mentorshow,info@mentorshow.com,,,,,,,,,,,,"Education, Media and Entertainment, Other, Software",4,Early Stage Venture,3/10/2023,15000000,EUR,15984757,Series A,15000000,EUR,15984757,Series A,20984757,USD,20984757,20984757,USD,20984757,"Edward Lando, Pareto Holdings, FJ Labs, CrÃ©dit Mutuel Innovation, Left Lane Capital"
Micco,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/micco-020a,,"Financial Services, FinTech","Paris, Ile-de-France, France",Micco is a financial super-app designed for immigrants and their SMEs.,"504,565","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.getmicco.com/,,,https://www.linkedin.com/company/getmicco,hello@getmicco.com,,,,,,,,,,,,Financial Services,,,,,,,,,,,,,,,,,,
Mindday,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/mindday,,"Health Care, Wellness","Paris, Ile-de-France, France","Mindday provides programs, activities, content and tools as well as certified professionals.","51,968","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.mindday.com/,,,https://www.linkedin.com/company/mindday,,,,,,,,,,,,,Health Care,1,Seed,7/9/2021,2000000,EUR,2375551,Seed,2000000,EUR,2375551,Seed,2000000,EUR,2375551,2000000,EUR,2375551,"Edward Lando, Pareto Holdings, XAnge, Jon Oringer, Nadav Ben-Chanoch"
Mindflow,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/mindflow,,"Cyber Security, DevOps, Information Technology, SaaS","Paris, Ile-de-France, France",Mindflow is GenAI enterprise automation platform that allows all cyber and IT teams to orchestrate and automate their workflows at scale.,"17,658","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://mindflow.io/,https://twitter.com/Mindflow_io/,,https://www.linkedin.com/company/mindflow/,marketing@mindflow.io,,,,,,,,,,,,"Information Technology, Privacy and Security, Software",3,Seed,3/12/2024,5000000,EUR,5463287,Seed,5000000,EUR,5463287,Seed,5000000,EUR,5463287,5000000,EUR,5463287,"AGORANOV, Nauta Capital, Auriga Cyber â€‹â€‹Ventures, Olivier Pomel, Thales Corporate Ventures"
Mithril Security,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/mithril-security,,"Cloud Security, Cyber Security, Network Security, Security","Paris, Ile-de-France, France",Mithril Security is a simple framework for data science collaboration.,"34,518","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.mithrilsecurity.io,https://twitter.com/mithrilsecurity?lang=en,,https://www.linkedin.com/company/mithril-security-company,contact@mithrilsecurity.io,,,,,,,,,,,,"Information Technology, Privacy and Security",2,Seed,5/26/2023,1200000,EUR,1287761,Pre-Seed,1200000,EUR,1287761,Pre-Seed,2470000,EUR,2640475,2470000,EUR,2640475,"SkyDeck Berkeley, Auriga Cyber â€‹â€‹Ventures, IT-Farm, Polytechnique Ventures"
Mnemo Therapeutics,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/mnemo-therapeutics,,Biotechnology,"Paris, Ile-de-France, France",Mnemo Therapeutics specializes in biotechnology and life science.,"37,444","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.mnemo-tx.com/,https://twitter.com/MnemoTx,,https://www.linkedin.com/company/mnemo-therapeutics/,,,,,,,,,,,,,"Biotechnology, Science and Engineering",2,Early Stage Venture,6/16/2021,75000000,EUR,89963223,Series A,75000000,EUR,89963223,Series A,75000000,EUR,89963223,75000000,EUR,89963223,"Alexandria Venture Investments, Emerson Collective, Casdin Capital, Sofinnova Partners, Redmile Group"
Mo-ka,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/mo-ka-035e,,"Cyber Security, Fraud Detection, Security","Paris, Ile-de-France, France","Mo-ka provides a SaaS solution for securing retail self-checkouts, aiming to reduce fraud and error.","426,403","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://mo-ka.com,,,https://www.linkedin.com/company/ai-checkout,contact@mo-ka.com,,,,,,,,,,,,"Financial Services, Information Technology, Payments, Privacy and Security",1,Seed,2/6/2023,,,,Seed,,,,Seed,,,,,,,Anthony Nakache
Mobibam,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/mobibam,,"Furniture, Product Design","Paris, Ile-de-France, France",Specializing in the design of custom furniture,"127,109","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.mobibam.com/,https://twitter.com/mobibam,https://www.facebook.com/Mobibam/,https://www.linkedin.com/company/mobibam/?originalSubdomain=fr,,,,,,,,,,,,,"Consumer Goods, Design",1,Seed,4/6/2018,1000000,EUR,1228773,Seed,1000000,EUR,1228773,Seed,1000000,EUR,1228773,1000000,EUR,1228773,
ModaResa,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/modaresa,,"Apps, Scheduling, Software","Paris, Ile-de-France, France",ModaResa is a scheduling and reporting app between wholesale brands and their retailers.,"375,418","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://modaresa.com/,,,https://www.linkedin.com/company/modaresa,,,,,,,,,,,,,"Apps, Information Technology, Software",,,,,,,,,,,,,,,,,,
Moneybounce,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/moneybounce,,Financial Services,"Paris, Ile-de-France, France",Moneybounce provides credit and money manager for people between 18 and 30 years old.,"92,179","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.moneybounce.fr,https://twitter.com/moneybounce_fr,https://www.facebook.com/Moneybounce,https://www.linkedin.com/company/moneybounce/?viewAsMember=true,arthur@moneybounce.fr,,,,,,,,,,,,Financial Services,2,Seed,12/1/2022,1000000,EUR,1052750,Seed,1000000,EUR,1052750,Seed,1607750,USD,1607750,1607750,USD,1607750,
MonitoHR,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/monitohr,,"Analytics, Artificial Intelligence (AI), Human Resources, Machine Learning, Recruiting","Paris, Ile-de-France, France",MonitoHR collects and analyzes HR data using its machine learning algorithm.,"2,703,021","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.monitohr.com,,,https://www.linkedin.com/company/monitohr,hello@monitohr.com,,,,,,,,,,,,"Administrative Services, Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,,,,,,,,,,,,,,,,
My Digital Buildings,,,,Active,1/1/2019,year,,,,,2,"Emeric Mourot, Nicolas Gerchenzon",Nov-50,,9,https://www.crunchbase.com/organization/my-digital-buildings,,"3D Technology, Consulting, Information Services","Paris, Ile-de-France, France",My Digital Buildings is a software platform for creating and exploiting spatial building data.,"68,820","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.mydigitalbuildings.com,,,https://in.linkedin.com/company/my-digital-buildings,,,,,,,,,,,,,"Hardware, Information Technology, Professional Services, Software",2,Seed,9/18/2024,1200000,EUR,1333683,Seed,1200000,EUR,1333683,Seed,1200000,EUR,1333683,2000000,EUR,2223453,"Bpifrance, Paris Business Angels, CIC, Les Business Angels des Grandes Ã‰coles, Grenoble Angels"
My Holy,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/my-holy,,"Consumer Goods, Women's","Paris, Ile-de-France, France",My Holy provides organic cotton menstrual panties and clothingÂ products.,"1,874,329","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.myholy.fr,,,https://www.linkedin.com/company/myholy,team@myholy.fr,,,,,,,,,,,,"Community and Lifestyle, Consumer Goods",,,,,,,,,,,,,,,,,,
My Job Glasses,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/my-job-glasses,,Recruiting,"Paris, Ile-de-France, France",My Job Glasses is the result of an encounter between two young and passionate entrepreneurs.,"73,947","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.myjobglasses.com,https://twitter.com/myjobglasses,https://www.facebook.com/myjobglasses/,https://www.linkedin.com/company/my-job-glasses,,,,,,,,,,,,,Professional Services,3,Early Stage Venture,5/27/2020,5000000,EUR,5508246,Series A,5000000,EUR,5508246,Series A,6560000,EUR,7380392,6560000,EUR,7380392,"WILCO, Alliance Entreprendre, Xavier Niel, Alyan Group, Jean-Marc BUCHET"
MyBen,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/myben,,Transportation,"Paris, Ile-de-France, France",MyBen is a platform of meetings between Transport specialized in the bulk and Companies needing to evacuate in Tipping trailer.,"2,261,989","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.myben.fr/,https://twitter.com/MyBen_fr,https://www.facebook.com/MyBen.fr/,https://www.linkedin.com/company/myben/,contact@myben.fr,,,,,,,,,,,,Transportation,,,,,,,,,,,,,,,,,,
NANONAP,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/nanonap,,,"Paris, Ile-de-France, France",Deep Tech for Deep Sleep,"1,681,535","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://nanonap.co,,,https://www.linkedin.com/company/nanonap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naker,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/naker,,"Computer, E-Commerce, Software","Paris, Ile-de-France, France",Naker is a virtual studio that creates a new online shopping experience and sells products.,"126,381","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.naker.io/,,,https://www.linkedin.com/company/naker/,,,,,,,,,,,,,"Commerce and Shopping, Consumer Electronics, Hardware, Software",1,Seed,11/13/2023,400000,EUR,428052,Angel,400000,EUR,428052,Angel,400000,EUR,428052,400000,EUR,428052,
Nalia,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/nalia,,"CRM, Information Technology, Mobile Apps","Paris, Ile-de-France, France",Nalia is a CRM tool that analyses data and provides real-time alerts.,"116,510","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://nalia.io,,https://www.facebook.com/Nalia-106127301232070,https://www.linkedin.com/company/meet-nalia,contact@nalia.io,,,,,,,,,,,,"Apps, Information Technology, Mobile, Sales and Marketing, Software",1,Seed,9/20/2021,2000000,USD,2000000,Seed,2000000,USD,2000000,Seed,2000000,USD,2000000,2000000,USD,2000000,
Navee,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/navee,,"Content, Digital Media","Paris, Ile-de-France, France",Navee derives insights from images to boost content moderation systems on digital platforms.,"255,136","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://navee.co/,https://twitter.com/the_navee,,https://www.linkedin.com/company/thenavee/,,,,,,,,,,,,,Media and Entertainment,1,,5/1/2019,,,,Non-equity Assistance,,,,,,,,,,,AGORANOV
Nefture,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/nefture,,"Blockchain, Cyber Security, Decentralized Finance (DeFi), Information Technology, Smart Contracts, Web Development, Web3","Paris, Ile-de-France, France","Nefture protects DeFi asset managers institutional investors against on-chain vulnerabilities, including scams, hacks and financial threats.","314,715","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.nefture.com,https://twitter.com/nefture_,,https://www.linkedin.com/company/nefture/,celim@nefture.com,,,,,,,,,,,,"Blockchain and Cryptocurrency, Information Technology, Internet Services, Other, Privacy and Security, Software",,,,,,,,,,,,,,,,,,
Neoplants,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/neoplants,,Biotechnology,"Paris, Ile-de-France, France",Neoplants is a Biotechnology Company.,"17,717","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.neoplants.com,,,https://www.linkedin.com/company/neoplants/,lio@neoplants.co,,,,,,,,,,,,"Biotechnology, Science and Engineering",2,Seed,10/27/2022,20000000,USD,20000000,Seed,20000000,USD,20000000,Seed,20000000,USD,20000000,20000000,USD,20000000,"Entrepreneur First, AGORANOV, Heartcore Capital, Partech, Collaborative Fund"
Nockee,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/nockee,,"CRM, Real Estate, Software","Paris, Ile-de-France, France","Nockee provides a tool for managing real estate rentals, from listing to inspections.","898,574","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.nockee.fr,,https://www.facebook.com/avecnockee,https://www.linkedin.com/company/nockee,contact@nockee.fr,,,,,,,,,,,,"Information Technology, Real Estate, Sales and Marketing, Software",,,,,,,,,,,,,,,,,,
NomadHer,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/nomadher,,"Hospitality, Tourism, Travel","Paris, Ile-de-France, France","NomadHer is the app for female globetrotters, encouraging solo travelling safely.","5,386","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.nomadher.com,https://twitter.com/@nomadher,https://www.facebook.com/nomadher/,https://linkedin.com/company/nomadher,hello@nomadher.com,,,,,,,,,,,,Travel and Tourism,6,Seed,12/27/2024,1500000000,KRW,1017779,Seed,1500000000,KRW,1017779,Seed,2500000000,KRW,1765403,2500000000,KRW,1765403,"CNTTECH, MYSC, Korea Credit Guarantee Fund, The Circle Founders Club, NBH Capital"
Noota,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/scribe-e157,,"Artificial Intelligence (AI), CRM, Information Technology, Meeting Software, Productivity Tools, Sales Automation","Paris, Ile-de-France, France","Noota is your go-to platform to record, transcribe, and generate insightful meeting reports. Ultimate sidekick for a productivity boost !","220,370","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.noota.io/,https://twitter.com/noota_io,https://www.facebook.com/groups/216602660266844,https://www.linkedin.com/company/noota/,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Messaging and Telecommunications, Sales and Marketing, Science and Engineering, Software",,,,,,,,,,,,,,,,,,
Numerized,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/numerized,,"3D Technology, E-Commerce, Information Technology","Paris, Ile-de-France, France","Numerized is a 3D & augmented experience for the web, business, and e-commerce.","2,923,817","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://numerized.com,https://twitter.com/Numerized,https://www.facebook.com/numerized.3D,https://www.linkedin.com/company/numerized,support@numerized.com,,,,,,,,,,,,"Commerce and Shopping, Hardware, Information Technology, Software",,,,,,,,,,,,,,,,,,
Nunki,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/nunki-2,,"Artificial Intelligence (AI), Information Services, Information Technology, Machine Learning, Software","Paris, Ile-de-France, France",Real-time risk and event detection AI platform,"348,913","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,http://nunki.co,https://twitter.com/NunkiApp,https://www.facebook.com/NunkiApp,https://www.linkedin.com/company/nunki,contact@nunki.co,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Science and Engineering, Software",2,Seed,8/1/2017,,,,Seed,,,,Seed,,,,,,,NUMA
OOPLA,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/oopla,,E-Commerce,"Paris, Ile-de-France, France",OOPLA is an online store offering turnkey solutions for a more ecological daily life.,"1,178,548","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://oopla.fr,https://twitter.com/ooplafr,https://www.facebook.com/OoplaFr/,https://www.linkedin.com/company/oopla/,bonjour@oopla.fr,,,,,,,,,,,,Commerce and Shopping,,,,,,,,,,,,,,,,,,
OVRSEA,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/ovrsea,,"Logistics, Shipping, Software, Supply Chain Management","Paris, Ile-de-France, France",OVRSEA is a digital freight forwarder using cutting-edge technologies to provide a transparent and reliable service in global trade.,"51,296","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://ovrsea.com,https://twitter.com/ovrsea_com,,https://www.linkedin.com/company/ovrsea,contact@ovrsea.com,,,,,,,,,,,,"Software, Transportation",1,M&A,1/31/2019,1900000,EUR,2175152,Seed,1900000,EUR,2175152,Seed,1900000,EUR,2175152,1900000,EUR,2175152,"Bpifrance, Kima Ventures, Eduardo Ronzano, Guillaume le Dieu de Ville"
Okarito,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/okarito,,"Accounting, Business Travel, Human Resources, Software, Travel","Paris, Ile-de-France, France",Travel management platform for SMBs,"83,797","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.okarito.io,https://twitter.com/Okarito_travel,https://www.facebook.com/okaritotravel/,https://www.linkedin.com/company/okarito/,remi@okarito.io,,,,,,,,,,,,"Administrative Services, Financial Services, Professional Services, Software, Travel and Tourism",2,M&A,6/26/2020,2100000,EUR,2355895,Seed,2100000,EUR,2355895,Seed,2100000,EUR,2355895,2100000,EUR,2355895,"Kima Ventures, Axeleo Capital, Alexandre Berriche, Geoffroy Roux de Bezieux"
OneFlash,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/oneflash,,"Apps, Energy Storage, Rental","Paris, Ile-de-France, France",OneFlash is an application that allows users to rent mobile power banks from stations.,"55,860","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.oneflash.fr,,https://www.facebook.com/OneFlashEnergie,https://www.linkedin.com/company/oneflash/,hello@oneflash.fr,,,,,,,,,,,,"Apps, Commerce and Shopping, Energy, Software",1,Seed,10/26/2022,3000000,EUR,3027642,Seed,3000000,EUR,3027642,Seed,3000000,EUR,3027642,3000000,EUR,3027642,"Kima Ventures, Julien Callede, Bernard Mourad"
Opale,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/opale-9fc9,,,"Paris, Ile-de-France, France",Generative AI for leading investors,"1,423,899","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://opale.ai/,,,https://www.linkedin.com/company/opaleai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimiz Construction,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/optimiz-construction,,Construction,"Paris, Ile-de-France, France","Optimiz Construction is a solution to optimize the cutting and laying of materials to save time, money, and CO2.","92,146","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.optimiz-construction.fr/,,,https://www.linkedin.com/company/optimiz-construction/,contact@optimiz-construction.fr,,,,,,,,,,,,Real Estate,1,Seed,6/12/2023,1500000,EUR,1614379,Seed,1500000,EUR,1614379,Seed,1500000,EUR,1614379,1500000,EUR,1614379,"Kima Ventures, AFI Ventures, SistaFund, JÃ©rÃ´me Manuguerra, Nicolas Mondollot"
Orus Energy,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/orus-energy,,"Electrical Distribution, Energy Management","Paris, Ile-de-France, France",Orus Energy leverages the power of AI to unlock potential of electrical flexibility in commercial buildings.,"28,407","European Union (EU), Europe, Middle East, and Africa (EMEA)",,https://www.orus-energy.com/,,,https://www.linkedin.com/company/orus-energy/about/,,,,,,,,,,,,,Energy,1,Seed,7/5/2024,2200000,EUR,2386412,Pre-Seed,2200000,EUR,2386412,Pre-Seed,2200000,EUR,2386412,2200000,EUR,2386412,"Ring Capital, Asterion Ventures, b2venture, Pierre Tremolieres, Myriam Maestroni"
Outmind,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/outmind,,"Information Technology, Internet, Software","Paris, Ile-de-France, France","SaaS allowing to do text searches within all your tools, finding internal information or the right colleague that can help you.","47,937","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://outmind.ai,https://twitter.com/outmind_ai,,https://www.linkedin.com/company/19051917,hello@outmind.fr,,,,,,,,,,,,"Information Technology, Internet Services, Software",4,Seed,5/15/2023,,,,Grant,2000000,EUR,1967731,Seed,2500000,EUR,2574906,2500000,EUR,2574906,"Bpifrance, MSM, Super Capital VC, Sharpstone Capital, WinEquity"
Ovizer,75013,,,Active,,,,,,,1,FranÃ§ois Zanna,10-Jan,,,https://www.crunchbase.com/organization/ovizer,,"3D Technology, Internet, Retail, SaaS","Paris, Ile-de-France, France",Ovizer offers flexible 3D content SaaS solutions for retail firms to grow by offering an interactive online shopping experience.,"2,598,373","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://ovizer.com/,,,https://www.linkedin.com/company/ovizer/,contact@ovizer.com,,,,,,,,,,,,"Commerce and Shopping, Hardware, Internet Services, Software",,,,,,,,,,,,,,,,,,
Ozzen,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/ozzen,,"Information Technology, Mobile Apps, SaaS, Software","Paris, Ile-de-France, France",Ozzen provides an easier for healthcare workers to concentrate on important: themselves and their patients.,"1,085,074","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.ozzen.fr,,https://www.facebook.com/ozzen.tech,https://www.linkedin.com/company/ozzen,contact@ozzen.fr,,,,,,,,,,,,"Apps, Information Technology, Mobile, Software",,,,,,,,,,,,,,,,,,
Panda Guide,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/panda-guide,,"Software, Virtual Assistant","Paris, Ile-de-France, France",Panda Guide is the virtual companion dedicated to the autonomy of the visually impaired (visually impaired or blind).,"2,519,639","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.panda-guide.fr/,,,,,,,,,,,,,,,,Software,,,,,,,,,,,,,,,,,,
Paradigme,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/paradigme,,"Apparel, Beauty, Fashion","Paris, Ile-de-France, France",Paradigme is the second-hand fashion platform.,"79,296","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://paradigme.fr,,https://www.facebook.com/people/Paradigme,https://www.linkedin.com/company/paradigmefr,contact@paradigme.fr,,,,,,,,,,,,"Clothing and Apparel, Consumer Goods, Design",1,Seed,4/24/2024,1200000,EUR,1284003,Seed,1200000,EUR,1284003,Seed,1200000,EUR,1284003,1200000,EUR,1284003,"Showroomprive, Campus Fund, Hartwood, Vanessa Daurian Proust, Ilan Benhaim"
Pazapa,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/pazapa-c012,,"Leasing, Real Estate, Rental Property, Residential","Paris, Ile-de-France, France","Pazapa specializes in real estate leasing, enabling homeownership within 36 months while living in the property.","1,642,959","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://pazapa.co,,,https://www.linkedin.com/company/pazapaco,hello@pazapa.co,,,,,,,,,,,,"Financial Services, Real Estate",,,,,,,,,,,,,,,,,,
Pelikan Mobility,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/pelikan-mobility,,"Electric Vehicle, Logistics, Software, Transportation","Paris, Ile-de-France, France",Building a new type of EV leasing company for commercial fleets: tech-enabled and operations-centric.,"35,166","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.pelikan-mobility.com,,,https://www.linkedin.com/company/pelikan-mobility,info@pelikan-mobility.com,,,,,,,,,,,,"Software, Transportation",2,Seed,3/21/2024,4000000,EUR,4344841,Seed,4000000,EUR,4344841,Seed,4364319,USD,4364319,4364319,USD,4364319,"Techstars, Seedcamp, Pale blue dot, Frst"
Pepeats,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/pepeats,,"Consulting, Food and Beverage, Location Based Services, Restaurants, Service Industry","Paris, Ile-de-France, France","Pepeats brings online the concept of word-of-mouth for bars and restaurants. Currently in Paris, France.","1,165,271","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.pepeats.com,http://www.twitter.com/pep_eats,https://www.facebook.com/pepeats/,https://www.linkedin.com/company/pepeats,hello@pepeats.com,,,,,,,,,,,,"Data and Analytics, Food and Beverage, Internet Services, Navigation and Mapping, Other, Professional Services",,,,,,,,,,,,,,,,,,
Petty Well,,,,,,,,,,,,,,,,https://www.crunchbase.com/organization/petty-well,,"Food and Beverage, Food Processing, Pet","Paris, Ile-de-France, France",Petty Well is a pet food manufacturer for both cats and dogs with nutritional value by a tailor-made formula.,"339,502","European Union (EU), Europe, Middle East, and Africa (EMEA)",For Profit,https://www.pettywell.com,https://twitter.com/petty_Well_fr,https://www.facebook.com/pettywell1,https://www.linkedin.com/company/petty-well/about/,hello@pettywell.com,,,,,,,,,,,,"Community and Lifestyle, Food and Beverage",1,Seed,10/16/2023,,,,Seed,,,,Seed,,,,,,,"Leap Venture Studio, Michelson Impact Ventures"
